unitid,line,efres01,efres02,efres03,efres04,efres05,centers
"100645","1","62","32","7","0","0","0"
"100645","12","8","1","0","0","0","0"
"100645","13","2","0","0","0","0","0"
"100645","17","1","0","0","0","0","0"
"100645","22","0","0","1","0","0","0"
"100645","28","2","0","0","0","0","0"
"100645","36","4","3","0","0","0","0"
"100645","45","1","0","0","0","0","0"
"100645","51","1","0","0","0","0","0"
"100645","64","1","1","0","0","0","0"
"100645","65","82","37","8","0","0","0"
"100663","1","921","686","712","220","415","0"
"100663","4","0","0","2","0","1","0"
"100663","5","1","1","0","0","0","0"
"100663","6","1","1","2","2","4","0"
"100663","8","0","0","2","0","0","0"
"100663","9","1","1","0","1","0","0"
"100663","10","0","0","0","0","1","0"
"100663","12","3","2","14","6","11","0"
"100663","13","2","1","5","6","12","0"
"100663","17","3","3","2","2","2","0"
"100663","18","2","2","1","0","1","0"
"100663","19","3","3","2","1","1","0"
"100663","20","1","0","0","0","0","0"
"100663","21","0","0","2","2","4","0"
"100663","22","1","1","1","1","2","0"
"100663","24","0","0","1","2","3","0"
"100663","25","0","0","0","0","5","0"
"100663","26","0","0","6","0","3","0"
"100663","27","0","0","0","0","1","0"
"100663","28","2","1","4","5","8","0"
"100663","29","0","0","0","0","3","0"
"100663","32","0","0","1","0","1","0"
"100663","34","1","1","1","0","0","0"
"100663","35","0","0","0","0","1","0"
"100663","36","4","3","2","1","4","0"
"100663","37","0","0","1","4","6","0"
"100663","39","3","3","1","0","2","0"
"100663","40","0","0","2","0","0","0"
"100663","41","0","0","0","0","1","0"
"100663","42","2","2","3","0","3","0"
"100663","45","0","0","0","1","0","0"
"100663","47","7","7","5","1","6","0"
"100663","48","1","0","1","1","3","0"
"100663","51","0","0","0","2","3","0"
"100663","53","1","0","1","0","2","0"
"100663","55","0","0","1","0","2","0"
"100663","56","0","0","0","0","1","0"
"100663","61","1","1","0","0","0","0"
"100663","64","12","1","25","0","78","0"
"100663","65","973","720","800","258","590","0"
"100706","1","484","378","521","0","138","0"
"100706","5","1","1","1","0","1","0"
"100706","6","1","0","1","0","2","0"
"100706","10","0","0","0","0","1","0"
"100706","12","3","2","5","0","3","0"
"100706","13","4","4","1","0","1","0"
"100706","17","0","0","6","0","1","0"
"100706","18","0","0","2","0","1","0"
"100706","19","0","0","1","0","0","0"
"100706","20","0","0","1","0","0","0"
"100706","21","0","0","1","0","2","0"
"100706","22","2","2","5","0","1","0"
"100706","24","0","0","2","0","1","0"
"100706","25","0","0","2","0","0","0"
"100706","26","5","4","6","0","0","0"
"100706","28","0","0","6","0","2","0"
"100706","29","1","0","3","0","1","0"
"100706","34","1","1","1","0","0","0"
"100706","35","0","0","0","0","1","0"
"100706","36","4","3","2","0","0","0"
"100706","37","0","0","2","0","2","0"
"100706","39","0","0","5","0","1","0"
"100706","42","2","2","0","0","3","0"
"100706","44","1","1","0","0","0","0"
"100706","45","0","0","1","0","0","0"
"100706","47","8","7","12","0","10","0"
"100706","48","2","2","1","0","5","0"
"100706","64","1","0","0","0","4","0"
"100706","65","520","407","588","0","181","0"
"100724","1","490","223","87","0","19","0"
"100724","2","0","0","1","0","0","0"
"100724","4","1","1","0","0","0","0"
"100724","6","3","0","1","0","0","0"
"100724","8","1","1","0","0","0","0"
"100724","9","1","1","0","0","0","0"
"100724","12","18","9","3","0","0","0"
"100724","13","19","6","3","0","0","0"
"100724","17","60","32","13","0","0","0"
"100724","18","3","2","0","0","0","0"
"100724","21","1","0","0","0","0","0"
"100724","22","12","5","0","0","0","0"
"100724","24","2","0","0","0","0","0"
"100724","25","2","1","0","0","0","0"
"100724","26","51","26","8","0","0","0"
"100724","28","3","0","4","0","0","0"
"100724","29","1","1","0","0","0","0"
