unitid,efres01,efres02,line,out_stat
"100636","6369","5250","65",""
"100636","6369","5250","66",""
"100654","608","516","1",""
"100654","3","3","2",""
"100654","2","2","5",""
"100654","12","9","6",""
"100654","2","2","9",""
"100654","3","2","11",""
"100654","19","16","12",""
"100654","66","58","13",""
"100654","80","68","17",""
"100654","25","22","18",""
"100654","1","1","19",""
"100654","7","7","21",""
"100654","6","6","22",""
"100654","1","1","24",""
"100654","1","1","25",""
"100654","44","39","26",""
"100654","1","0","27",""
"100654","1","1","28",""
"100654","8","6","29",""
"100654","1","1","32",""
"100654","3","2","34",""
"100654","7","6","36",""
"100654","1","0","37",""
"100654","15","13","39",""
"100654","2","2","40",""
"100654","1","1","44",""
"100654","6","5","45",""
"100654","22","19","47",""
"100654","4","4","48",""
"100654","1","1","51",""
"100654","2","2","53",""
"100654","1","1","55",""
"100654","2","0","57",""
"100654","3","0","63",""
"100654","31","0","64",""
"100654","992","817","65",""
"100663","1088","732","1",""
"100663","1","","6",""
"100663","3","2","12",""
"100663","10","6","13",""
"100663","4","4","17",""
"100663","2","2","18",""
"100663","3","2","21",""
"100663","1","","22",""
"100663","2","2","24",""
"100663","1","","26",""
"100663","5","4","28",""
"100663","1","1","31",""
"100663","1","1","36",""
"100663","1","1","42",""
"100663","1","","45",""
"100663","6","6","47",""
"100663","1","1","48",""
"100663","2","2","51",""
"100663","1","1","63",""
"100663","1134","767","65",""
"100672","49","28","1",""
"100672","4","1","12",""
"100672","2","1","13",""
"100672","1","","17",""
"100672","1","","26",""
"100672","5","2","36",""
"100672","1","1","47",""
"100672","63","33","65",""
"100706","504","363","1",""
"100706","2","2","5",""
"100706","1","1","8",""
"100706","3","3","12",""
"100706","11","11","13",""
"100706","1","1","17",""
"100706","3","3","18",""
"100706","1","0","20",""
"100706","2","","21",""
"100706","2","2","22",""
"100706","2","1","26",""
"100706","8","7","28",""
"100706","3","3","34",""
"100706","2","2","36",""
"100706","1","1","37",""
"100706","2","2","39",""
"100706","2","2","42",""
"100706","1","1","44",""
"100706","25","19","47",""
"100706","1","1","48",""
"100706","1","1","51",""
"100706","2","2","55",""
"100706","18","11","64",""
"100706","598","439","65",""
"100724","839","757","1",""
"100724","3","2","4",""
"100724","3","3","5",""
"100724","31","29","6",""
"100724","1","1","8",""
"100724","3","3","9",""
"100724","3","3","11",""
"100724","141","124","12",""
"100724","121","112","13",""
"100724","1","0","15",""
"100724","48","39","17",""
"100724","10","8","18",""
"100724","1","1","19",""
"100724","1","0","21",""
"100724","15","12","22",""
"100724","10","7","24",""
"100724","5","4","25",""
"100724","97","80","26",""
"100724","2","2","27",""
"100724","43","43","28",""
"100724","7","6","29",""
"100724","13","9","34",""
"100724","1","1","35",""
"100724","32","24","36",""
"100724","2","1","37",""
"100724","56","52","39",""
"100724","1","1","41",""
"100724","4","3","42",""
"100724","1","1","44",""
"100724","5","3","45",""
"100724","6","4","47",""
"100724","5","5","48",""
"100724","1","1","51",""
"100724","1","0","53",""
"100724","8","7","55",""
"100724","11","10","57",""
"100724","1","1","63",""
"100724","1","0","64",""
"100724","1534","1359","65",""
"100751","1561","1501","1",""
"100751","1","1","4",""
"100751","4","4","5",""
"100751","9","7","6",""
"100751","6","6","8",""
"100751","5","5","9",""
"100751","1","1","11",""
"100751","169","162","12",""
"100751","195","187","13",""
"100751","1","","15",""
"100751","9","9","17",""
"100751","4","4","18",""
"100751","1","1","20",""
"100751","11","10","21",""
"100751","68","67","22",""
"100751","2","2","23",""
"100751","7","6","24",""
"100751","4","2","25",""
"100751","6","6","26",""
"100751","2","2","27",""
"100751","60","57","28",""
"100751","8","8","29",""
