unitid,line,efres01,efres02,part,centers,ic01,ic02
"100636","98","6125","3339","C","","P","I"
"100636","99","6125","3339","C","","P","I"
"100654","1","495","408","C","","R","R"
"100654","2","2","2","C","","R","R"
"100654","6","8","5","C","","R","R"
"100654","9","2","1","C","","R","R"
"100654","10","2","2","C","","R","R"
"100654","11","2","2","C","","R","R"
"100654","12","12","10","C","","R","R"
"100654","13","49","45","C","","R","R"
"100654","17","40","37","C","","R","R"
"100654","18","17","16","C","","R","R"
"100654","20","1","1","C","","R","R"
"100654","21","2","2","C","","R","R"
"100654","22","1","1","C","","R","R"
"100654","24","2","2","C","","R","R"
"100654","25","1","1","C","","R","R"
"100654","26","36","33","C","","R","R"
"100654","27","1","1","C","","R","R"
"100654","28","2","2","C","","R","R"
"100654","29","6","6","C","","R","R"
"100654","31","1","1","C","","R","R"
"100654","34","2","2","C","","R","R"
"100654","36","6","5","C","","R","R"
"100654","37","2","0","C","","R","R"
"100654","39","26","22","C","","R","R"
"100654","40","2","2","C","","R","R"
"100654","41","1","1","C","","R","R"
"100654","45","2","2","C","","R","R"
"100654","47","25","22","C","","R","R"
"100654","48","5","2","C","","R","R"
"100654","51","2","1","C","","R","R"
"100654","53","4","4","C","","R","R"
"100654","55","2","2","C","","R","R"
"100654","57","3","2","C","","R","R"
"100654","90","20","3","C","","R","R"
"100654","99","784","648","C","","R","R"
"100663","1","1067","878","C","","R","R"
"100663","6","5","4","C","","R","R"
"100663","12","1","1","C","","R","R"
"100663","13","8","8","C","","R","R"
"100663","15","1","1","C","","R","R"
"100663","17","4","4","C","","R","R"
"100663","18","1","1","C","","R","R"
"100663","21","1","1","C","","R","R"
"100663","22","4","4","C","","R","R"
"100663","28","3","3","C","","R","R"
"100663","34","1","1","C","","R","R"
"100663","36","4","3","C","","R","R"
"100663","37","1","1","C","","R","R"
"100663","39","1","1","C","","R","R"
"100663","42","1","1","C","","R","R"
"100663","45","2","2","C","","R","R"
"100663","47","5","5","C","","R","R"
"100663","48","3","2","C","","R","R"
"100663","51","1","1","C","","R","R"
"100663","53","1","1","C","","R","R"
"100663","55","1","1","C","","R","R"
"100663","90","1","0","C","","R","N"
"100663","99","1117","924","C","","R","R"
"100672","1","36","21","C","","R","R"
"100672","9","1","1","C","","R","R"
"100672","12","2","1","C","","R","R"
"100672","18","1","1","C","","R","R"
"100672","26","1","0","C","","R","N"
"100672","28","3","1","C","","R","R"
"100672","36","3","3","C","","R","R"
"100672","42","1","0","C","","R","N"
"100672","90","3","2","C","","R","R"
"100672","99","51","30","C","","R","R"
"100706","1","390","317","C","","R","R"
"100706","5","3","3","C","","R","R"
"100706","6","3","3","C","","R","R"
"100706","10","1","1","C","","R","R"
"100706","12","3","2","C","","R","R"
"100706","13","10","9","C","","R","R"
"100706","17","8","7","C","","R","R"
"100706","18","3","3","C","","R","R"
"100706","20","1","0","C","","R","R"
"100706","21","3","2","C","","R","R"
"100706","22","1","1","C","","R","R"
"100706","24","3","1","C","","R","R"
"100706","26","3","2","C","","R","R"
"100706","28","3","3","C","","R","R"
"100706","29","4","3","C","","R","R"
"100706","32","1","1","C","","R","R"
"100706","34","1","1","C","","R","R"
"100706","36","3","3","C","","R","R"
"100706","39","3","3","C","","R","R"
"100706","40","1","0","C","","R","R"
"100706","42","2","2","C","","R","R"
"100706","44","1","1","C","","R","R"
"100706","45","1","1","C","","R","R"
"100706","47","36","33","C","","R","R"
"100706","48","4","4","C","","R","R"
"100706","51","3","1","C","","R","R"
"100706","53","1","1","C","","R","R"
"100706","90","10","8","C","","R","R"
"100706","99","506","416","C","","R","R"
"100724","1","568","485","C","","R","R"
"100724","4","2","2","C","","R","R"
"100724","6","24","18","C","","R","R"
"100724","11","3","2","C","","R","R"
"100724","12","84","72","C","","R","R"
"100724","13","74","63","C","","R","R"
"100724","17","33","31","C","","R","R"
"100724","18","15","13","C","","R","R"
"100724","20","1","1","C","","R","R"
"100724","21","2","1","C","","R","R"
"100724","22","12","10","C","","R","R"
"100724","23","6","5","C","","R","R"
"100724","24","1","0","C","","R","N"
"100724","26","113","92","C","","R","R"
"100724","27","2","2","C","","R","R"
"100724","28","15","12","C","","R","R"
"100724","29","4","3","C","","R","R"
"100724","31","2","1","C","","R","R"
"100724","32","1","1","C","","R","R"
"100724","34","11","8","C","","R","R"
"100724","36","16","5","C","","R","R"
"100724","37","1","1","C","","R","R"
"100724","39","28","27","C","","R","R"
"100724","40","1","1","C","","R","R"
"100724","42","2","2","C","","R","R"
"100724","45","3","3","C","","R","R"
"100724","47","7","7","C","","R","R"
"100724","48","7","7","C","","R","R"
"100724","51","1","0","C","","R","N"
"100724","53","2","2","C","","R","R"
"100724","55","34","25","C","","R","R"
"100724","57","15","0","C","","R","N"
"100724","78","2","2","C","","R","R"
"100724","90","6","0","C","","R","N"
"100724","99","1098","904","C","","R","R"
"100751","1","1665","1588","C","","R","R"
"100751","2","5","5","C","","R","R"
"100751","4","3","2","C","","R","R"
"100751","5","6","6","C","","R","R"
"100751","6","11","9","C","","R","R"
"100751","8","5","5","C","","R","R"
"100751","9","4","4","C","","R","R"
"100751","10","1","1","C","","R","R"
"100751","12","106","100","C","","R","R"
"100751","13","141","140","C","","R","R"
"100751","17","18","18","C","","R","R"
"100751","18","8","7","C","","R","R"
"100751","19","1","1","C","","R","R"
"100751","21","18","17","C","","R","R"
"100751","22","111","108","C","","R","R"
"100751","24","4","4","C","","R","R"
"100751","25","6","5","C","","R","R"
"100751","26","5","5","C","","R","R"
"100751","28","86","86","C","","R","R"
"100751","29","6","6","C","","R","R"
"100751","32","1","1","C","","R","R"
"100751","34","7","6","C","","R","R"
"100751","35","1","1","C","","R","R"
"100751","36","7","7","C","","R","R"
"100751","37","17","17","C","","R","R"
"100751","39","7","7","C","","R","R"
"100751","40","1","1","C","","R","R"
"100751","41","2","2","C","","R","R"
"100751","42","16","14","C","","R","R"
"100751","45","22","22","C","","R","R"
"100751","47","118","115","C","","R","R"
"100751","48","50","46","C","","R","R"
"100751","51","56","54","C","","R","R"
"100751","53","2","2","C","","R","R"
"100751","54","3","3","C","","R","R"
"100751","55","6","6","C","","R","R"
"100751","72","1","1","C","","R","R"
"100751","90","20","9","C","","R","R"
"100751","99","2547","2431","C","","R","R"
"100760","1","866","371","C","","R","R"
"100760","12","2","1","C","","R","R"
"100760","13","6","4","C","","R","R"
"100760","90","4","2","C","","R","R"
"100760","99","878","378","C","","R","R"
"100821","1","162","10","C","","R","R"
"100821","12","2","2","C","","R","R"
"100821","99","164","12","C","","R","R"
"100830","1","779","779","C","","R","R"
"100830","4","1","1","C","","R","R"
"100830","6","3","3","C","","R","R"
"100830","11","2","2","C","","R","R"
"100830","12","3","3","C","","R","R"
"100830","13","3","3","C","","R","R"
"100830","17","1","1","C","","R","R"
"100830","21","1","1","C","","R","R"
"100830","22","1","1","C","","R","R"
"100830","28","1","1","C","","R","R"
"100830","36","2","2","C","","R","R"
"100830","39","2","2","C","","R","R"
"100830","45","2","2","C","","R","R"
"100830","47","1","1","C","","R","R"
