unitid,line,"xefres01",efres01,"xefres02",efres02
"100654","1",10,"653",10,"547"
"100654","2",10,"2",10,"2"
"100654","5",10,"5",10,"5"
"100654","6",10,"28",10,"24"
"100654","8",10,"1",10,"1"
"100654","9",10,"1",10,"1"
"100654","11",10,"2",10,"2"
"100654","12",10,"21",10,"19"
"100654","13",10,"133",10,"124"
"100654","17",10,"39",10,"36"
"100654","18",10,"12",10,"9"
"100654","21",10,"1",10,"1"
"100654","22",10,"5",10,"5"
"100654","24",10,"1",10,"1"
"100654","25",10,"1",10,"1"
"100654","26",10,"53",10,"47"
"100654","28",10,"4",10,"4"
"100654","29",10,"48",10,"45"
"100654","34",10,"1",10,"1"
"100654","36",10,"6",10,"4"
"100654","37",10,"4",10,"1"
"100654","39",10,"29",10,"27"
"100654","41",10,"1",10,"1"
"100654","47",10,"24",10,"23"
"100654","48",10,"3",10,"3"
"100654","49",10,"1",10,"1"
"100654","53",10,"1",10,"0"
"100654","55",10,"11",10,"9"
"100654","57",10,"9",10,"6"
"100654","78",10,"9",10,"6"
"100654","90",10,"33",10,"4"
"100654","99",10,"1142",10,"960"
"100706","1",10,"507",10,"474"
"100706","5",10,"1",10,"1"
"100706","8",10,"2",10,"2"
"100706","13",10,"2",10,"1"
"100706","17",10,"4",10,"4"
"100706","18",10,"2",10,"2"
"100706","21",10,"2",10,"2"
"100706","22",10,"3",10,"3"
"100706","26",10,"2",10,"2"
"100706","29",10,"2",10,"2"
"100706","30",10,"1",10,"1"
"100706","34",10,"1",10,"1"
"100706","37",10,"3",10,"3"
"100706","39",10,"1",10,"1"
"100706","41",10,"1",10,"1"
"100706","42",10,"1",10,"1"
"100706","45",10,"1",10,"1"
"100706","47",10,"80",10,"80"
"100706","48",10,"2",10,"2"
"100706","53",10,"1",10,"1"
"100706","57",10,"1",10,"1"
"100706","90",10,"7",10,"3"
"100706","98",10,"1",10,"0"
"100706","99",10,"628",10,"589"
"100751","1",10,"1799",10,"1759"
"100751","5",10,"4",10,"4"
"100751","6",10,"6",10,"6"
"100751","8",10,"2",10,"2"
"100751","9",10,"1",10,"1"
"100751","12",10,"46",10,"45"
"100751","13",10,"147",10,"145"
"100751","17",10,"6",10,"6"
"100751","18",10,"8",10,"8"
"100751","19",10,"1",10,"1"
"100751","20",10,"1",10,"1"
"100751","21",10,"24",10,"24"
"100751","22",10,"67",10,"66"
"100751","24",10,"2",10,"2"
"100751","25",10,"1",10,"1"
"100751","26",10,"2",10,"2"
"100751","27",10,"2",10,"2"
"100751","28",10,"50",10,"50"
"100751","29",10,"3",10,"3"
"100751","32",10,"2",10,"2"
"100751","34",10,"1",10,"1"
"100751","35",10,"1",10,"1"
"100751","36",10,"7",10,"6"
"100751","37",10,"8",10,"8"
"100751","39",10,"7",10,"7"
"100751","40",10,"4",10,"4"
"100751","41",10,"2",10,"1"
"100751","42",10,"1",10,"1"
"100751","45",10,"13",10,"13"
"100751","46",10,"2",10,"2"
"100751","47",10,"109",10,"106"
"100751","48",10,"37",10,"35"
"100751","51",10,"31",10,"28"
"100751","53",10,"1",10,"1"
"100751","54",10,"1",10,"1"
"100751","57",10,"1",10,"0"
"100751","90",10,"20",10,"6"
"100751","99",10,"2420",10,"2351"
"100858","1",10,"2447",10,"2417"
"100858","2",10,"3",10,"2"
"100858","4",10,"3",10,"3"
"100858","5",10,"13",10,"12"
