unitid,efcstate,line,"xefres01",efres01,"xefres02",efres02
"100654","1","1",10,"651",10,"602"
"100654","4","4",10,"2",10,"1"
"100654","5","5",10,"2",10,"2"
"100654","6","6",10,"19",10,"16"
"100654","8","8",10,"2",10,"2"
"100654","9","9",10,"4",10,"4"
"100654","11","11",10,"1",10,"1"
"100654","12","12",10,"13",10,"12"
"100654","13","13",10,"74",10,"64"
"100654","17","17",10,"76",10,"69"
"100654","18","18",10,"38",10,"34"
"100654","20","20",10,"1",10,"1"
"100654","21","21",10,"5",10,"5"
"100654","22","22",10,"2",10,"1"
"100654","24","24",10,"2",10,"2"
"100654","25","25",10,"1",10,"1"
"100654","26","26",10,"49",10,"49"
"100654","27","27",10,"2",10,"2"
"100654","28","28",10,"11",10,"9"
"100654","29","29",10,"55",10,"53"
"100654","32","32",10,"2",10,"1"
"100654","34","34",10,"3",10,"3"
"100654","36","36",10,"9",10,"9"
"100654","37","37",10,"4",10,"4"
"100654","39","39",10,"17",10,"17"
"100654","40","40",10,"3",10,"2"
"100654","45","45",10,"4",10,"4"
"100654","47","47",10,"42",10,"41"
"100654","48","48",10,"10",10,"10"
"100654","49","49",10,"1",10,"1"
"100654","51","51",10,"4",10,"2"
"100654","53","53",10,"3",10,"3"
"100654","55","55",10,"5",10,"5"
"100654","57","57",10,"4",10,"3"
"100654","58","999",10,"1121",10,"1035"
"100654","78","78",10,"3",10,"3"
"100654","89","999",10,"3",10,"3"
"100654","90","90",10,"13",10,"2"
"100654","99","99",10,"1137",10,"1040"
"100663","1","1",10,"1377",10,"1277"
"100663","4","4",10,"2",10,"2"
"100663","6","6",10,"5",10,"5"
"100663","12","12",10,"7",10,"6"
"100663","13","13",10,"38",10,"34"
"100663","15","15",10,"1",10,"1"
"100663","17","17",10,"5",10,"4"
"100663","18","18",10,"2",10,"2"
"100663","20","20",10,"1",10,"1"
"100663","21","21",10,"1",10,"1"
"100663","22","22",10,"1",10,"1"
"100663","25","25",10,"3",10,"3"
"100663","26","26",10,"2",10,"2"
"100663","28","28",10,"25",10,"23"
"100663","29","29",10,"2",10,"2"
"100663","32","32",10,"1",10,"1"
"100663","36","36",10,"1",10,"1"
"100663","37","37",10,"5",10,"5"
"100663","39","39",10,"4",10,"4"
"100663","40","40",10,"1",10,"1"
"100663","45","45",10,"5",10,"5"
"100663","47","47",10,"10",10,"10"
"100663","48","48",10,"7",10,"7"
"100663","51","51",10,"1",10,"1"
"100663","53","53",10,"1",10,"1"
"100663","55","55",10,"1",10,"1"
"100663","56","56",10,"1",10,"1"
"100663","58","999",10,"1510",10,"1402"
"100663","90","90",10,"21",10,"14"
"100663","99","99",10,"1531",10,"1416"
"100690","1","1",10,"1",10,"0"
"100690","58","999",10,"1",10,"0"
"100690","99","99",10,"1",10,"0"
"100706","1","1",10,"704",10,"628"
"100706","5","5",10,"1",10,"1"
"100706","6","6",10,"2",10,"1"
"100706","9","9",10,"1",10,"1"
"100706","12","12",10,"6",10,"5"
"100706","13","13",10,"10",10,"10"
"100706","15","15",10,"1",10,"1"
"100706","17","17",10,"2",10,"2"
"100706","18","18",10,"6",10,"6"
"100706","20","20",10,"3",10,"3"
"100706","21","21",10,"4",10,"4"
"100706","22","22",10,"1",10,"1"
"100706","24","24",10,"2",10,"2"
"100706","26","26",10,"1",10,"1"
"100706","28","28",10,"2",10,"2"
"100706","29","29",10,"1",10,"1"
"100706","34","34",10,"2",10,"2"
"100706","37","37",10,"1",10,"1"
"100706","39","39",10,"1",10,"1"
"100706","40","40",10,"2",10,"1"
"100706","42","42",10,"3",10,"3"
"100706","47","47",10,"42",10,"39"
"100706","48","48",10,"4",10,"4"
"100706","51","51",10,"1",10,"0"
"100706","53","53",10,"1",10,"1"
"100706","57","57",10,"5",10,"4"
"100706","58","999",10,"809",10,"725"
"100706","90","90",10,"29",10,"8"
"100706","99","99",10,"838",10,"733"
"100724","1","1",10,"833",10,"758"
"100724","5","5",10,"5",10,"5"
"100724","6","6",10,"26",10,"23"
"100724","8","8",10,"1",10,"1"
"100724","9","9",10,"3",10,"3"
"100724","10","10",10,"2",10,"2"
"100724","12","12",10,"46",10,"39"
"100724","13","13",10,"209",10,"195"
"100724","15","15",10,"1",10,"1"
"100724","16","16",10,"1",10,"0"
"100724","17","17",10,"28",10,"27"
"100724","18","18",10,"6",10,"5"
"100724","20","20",10,"1",10,"1"
"100724","21","21",10,"1",10,"1"
"100724","22","22",10,"6",10,"6"
"100724","24","24",10,"5",10,"3"
"100724","25","25",10,"2",10,"2"
"100724","26","26",10,"52",10,"51"
"100724","27","27",10,"6",10,"6"
"100724","28","28",10,"13",10,"12"
"100724","29","29",10,"9",10,"9"
"100724","31","31",10,"3",10,"2"
"100724","34","34",10,"9",10,"9"
"100724","36","36",10,"11",10,"9"
"100724","37","37",10,"4",10,"2"
"100724","39","39",10,"18",10,"17"
"100724","42","42",10,"2",10,"2"
"100724","45","45",10,"3",10,"2"
"100724","47","47",10,"10",10,"10"
"100724","48","48",10,"8",10,"8"
"100724","51","51",10,"3",10,"2"
"100724","55","55",10,"3",10,"3"
"100724","57","57",10,"7",10,"6"
"100724","58","999",10,"1337",10,"1222"
"100724","60","60",10,"1",10,"1"
"100724","78","78",10,"4",10,"4"
"100724","89","999",10,"5",10,"5"
"100724","90","90",10,"3",10,"2"
"100724","99","99",10,"1345",10,"1229"
"100751","1","1",10,"2898",10,"2833"
"100751","2","2",10,"1",10,"1"
"100751","5","5",10,"8",10,"8"
"100751","6","6",10,"22",10,"22"
"100751","8","8",10,"10",10,"10"
"100751","9","9",10,"7",10,"7"
"100751","10","10",10,"4",10,"4"
"100751","12","12",10,"152",10,"151"
"100751","13","13",10,"407",10,"402"
"100751","15","15",10,"3",10,"3"
"100751","16","16",10,"2",10,"2"
"100751","17","17",10,"25",10,"25"
"100751","18","18",10,"11",10,"10"
"100751","19","19",10,"2",10,"2"
"100751","21","21",10,"22",10,"22"
"100751","22","22",10,"81",10,"81"
"100751","24","24",10,"27",10,"27"
"100751","25","25",10,"5",10,"3"
"100751","26","26",10,"9",10,"9"
"100751","27","27",10,"1",10,"1"
"100751","28","28",10,"58",10,"57"
"100751","29","29",10,"14",10,"14"
"100751","30","30",10,"1",10,"1"
"100751","33","33",10,"2",10,"2"
"100751","34","34",10,"12",10,"11"
"100751","35","35",10,"8",10,"8"
"100751","36","36",10,"7",10,"7"
"100751","37","37",10,"39",10,"38"
"100751","39","39",10,"26",10,"26"
"100751","40","40",10,"4",10,"4"
"100751","42","42",10,"14",10,"14"
"100751","44","44",10,"2",10,"2"
"100751","45","45",10,"30",10,"29"
"100751","47","47",10,"172",10,"170"
"100751","48","48",10,"165",10,"160"
"100751","50","50",10,"2",10,"2"
"100751","51","51",10,"82",10,"81"
"100751","53","53",10,"6",10,"6"
"100751","54","54",10,"4",10,"4"
"100751","55","55",10,"2",10,"2"
"100751","57","57",10,"2",10,"2"
"100751","58","999",10,"4349",10,"4263"
"100751","90","90",10,"29",10,"20"
"100751","99","99",10,"4378",10,"4283"
"100760","1","1",10,"512",10,"362"
"100760","6","6",10,"1",10,"0"
"100760","13","13",10,"4",10,"4"
"100760","29","29",10,"1",10,"0"
"100760","47","47",10,"2",10,"1"
"100760","48","48",10,"2",10,"2"
"100760","51","51",10,"1",10,"0"
"100760","58","999",10,"523",10,"369"
"100760","90","90",10,"1",10,"1"
"100760","99","99",10,"524",10,"370"
"100830","1","1",10,"596",10,"434"
"100830","12","12",10,"6",10,"4"
"100830","13","13",10,"5",10,"4"
"100830","17","17",10,"1",10,"1"
"100830","25","25",10,"1",10,"1"
"100830","26","26",10,"1",10,"1"
"100830","34","34",10,"1",10,"0"
"100830","47","47",10,"1",10,"0"
"100830","49","49",10,"1",10,"1"
"100830","51","51",10,"3",10,"2"
"100830","53","53",10,"1",10,"1"
"100830","57","57",10,"16",10,"0"
"100830","58","999",10,"633",10,"449"
"100830","99","99",10,"633",10,"449"
"100858","1","1",10,"2473",10,"2423"
"100858","4","4",10,"4",10,"3"
"100858","5","5",10,"7",10,"6"
"100858","6","6",10,"21",10,"20"
"100858","8","8",10,"7",10,"7"
"100858","9","9",10,"4",10,"3"
"100858","10","10",10,"5",10,"5"
"100858","11","11",10,"1",10,"1"
"100858","12","12",10,"243",10,"238"
"100858","13","13",10,"691",10,"682"
"100858","16","16",10,"1",10,"1"
"100858","17","17",10,"16",10,"16"
"100858","18","18",10,"8",10,"8"
"100858","20","20",10,"3",10,"3"
"100858","21","21",10,"20",10,"19"
"100858","22","22",10,"24",10,"23"
"100858","23","23",10,"1",10,"1"
"100858","24","24",10,"24",10,"22"
"100858","25","25",10,"4",10,"4"
"100858","26","26",10,"7",10,"6"
"100858","27","27",10,"2",10,"2"
"100858","28","28",10,"24",10,"24"
"100858","29","29",10,"17",10,"17"
"100858","31","31",10,"3",10,"3"
"100858","32","32",10,"2",10,"2"
"100858","33","33",10,"3",10,"3"
"100858","34","34",10,"10",10,"10"
"100858","36","36",10,"10",10,"10"
"100858","37","37",10,"47",10,"47"
"100858","38","38",10,"1",10,"0"
"100858","39","39",10,"20",10,"20"
"100858","40","40",10,"3",10,"3"
"100858","41","41",10,"2",10,"2"
"100858","42","42",10,"10",10,"10"
"100858","44","44",10,"4",10,"4"
"100858","45","45",10,"31",10,"28"
"100858","47","47",10,"151",10,"149"
"100858","48","48",10,"94",10,"93"
"100858","49","49",10,"1",10,"1"
"100858","50","50",10,"3",10,"3"
"100858","51","51",10,"56",10,"56"
"100858","53","53",10,"5",10,"4"
"100858","54","54",10,"3",10,"3"
"100858","55","55",10,"5",10,"5"
"100858","56","56",10,"2",10,"2"
"100858","58","999",10,"4073",10,"3992"
"100858","78","78",10,"1",10,"0"
"100858","89","999",10,"1",10,"0"
"100858","90","90",10,"18",10,"18"
"100858","99","99",10,"4092",10,"4010"
"100937","1","1",10,"192",10,"192"
"100937","6","6",10,"5",10,"5"
"100937","9","9",10,"1",10,"1"
"100937","12","12",10,"9",10,"9"
"100937","13","13",10,"19",10,"19"
"100937","17","17",10,"3",10,"3"
"100937","18","18",10,"1",10,"1"
"100937","20","20",10,"1",10,"1"
"100937","21","21",10,"3",10,"3"
"100937","22","22",10,"11",10,"11"
"100937","27","27",10,"1",10,"1"
"100937","28","28",10,"10",10,"10"
"100937","37","37",10,"4",10,"4"
"100937","47","47",10,"17",10,"17"
"100937","48","48",10,"7",10,"7"
"100937","51","51",10,"1",10,"1"
"100937","55","55",10,"1",10,"1"
"100937","58","999",10,"286",10,"286"
"100937","90","90",10,"6",10,"6"
"100937","99","99",10,"292",10,"292"
"101028","1","1",10,"206",10,"135"
"101028","13","13",10,"107",10,"64"
"101028","37","37",10,"1",10,"1"
"101028","57","57",10,"18",10,"12"
"101028","58","999",10,"332",10,"212"
"101028","99","99",10,"332",10,"212"
"101073","1","1",10,"213",10,"67"
"101073","5","5",10,"2",10,"0"
"101073","12","12",10,"9",10,"4"
"101073","13","13",10,"21",10,"4"
"101073","22","22",10,"24",10,"10"
"101073","24","24",10,"2",10,"2"
"101073","26","26",10,"2",10,"2"
"101073","27","27",10,"1",10,"0"
"101073","28","28",10,"2",10,"0"
"101073","29","29",10,"1",10,"0"
"101073","36","36",10,"1",10,"0"
"101073","37","37",10,"1",10,"0"
"101073","39","39",10,"1",10,"0"
"101073","47","47",10,"2",10,"0"
"101073","48","48",10,"8",10,"3"
"101073","58","999",10,"290",10,"92"
"101073","90","90",10,"2",10,"1"
"101073","99","99",10,"292",10,"93"
"101116","1","1",10,"70",10,"22"
"101116","13","13",10,"1",10,"0"
"101116","58","999",10,"71",10,"22"
"101116","99","99",10,"71",10,"22"
"101143","1","1",10,"275",10,"61"
"101143","12","12",10,"5",10,"0"
"101143","22","22",10,"5",10,"5"
"101143","58","999",10,"285",10,"66"
"101143","98","98",10,"28",10,"0"
"101143","99","99",10,"313",10,"66"
"101161","1","1",10,"806",10,"619"
"101161","12","12",10,"6",10,"4"
"101161","13","13",10,"5",10,"3"
"101161","21","21",10,"1",10,"1"
"101161","27","27",10,"1",10,"1"
"101161","28","28",10,"3",10,"1"
"101161","47","47",10,"3",10,"3"
"101161","48","48",10,"1",10,"1"
"101161","57","57",10,"144",10,"107"
"101161","58","999",10,"970",10,"740"
"101161","99","99",10,"970",10,"740"
"101189","1","1",10,"186",10,"112"
"101189","6","6",10,"1",10,"1"
"101189","12","12",10,"8",10,"5"
"101189","13","13",10,"22",10,"15"
"101189","18","18",10,"1",10,"1"
"101189","21","21",10,"1",10,"0"
"101189","23","23",10,"1",10,"1"
"101189","26","26",10,"2",10,"1"
"101189","37","37",10,"3",10,"1"
"101189","42","42",10,"1",10,"0"
"101189","45","45",10,"6",10,"3"
"101189","47","47",10,"8",10,"5"
"101189","48","48",10,"3",10,"2"
"101189","51","51",10,"3",10,"2"
"101189","58","999",10,"246",10,"149"
"101189","98","98",10,"3",10,"0"
"101189","99","99",10,"249",10,"149"
"101231","1","1",10,"11",10,"2"
"101231","58","999",10,"11",10,"2"
"101231","99","99",10,"11",10,"2"
"101240","1","1",10,"1123",10,"864"
"101240","12","12",10,"2",10,"0"
"101240","13","13",10,"16",10,"12"
"101240","17","17",10,"2",10,"0"
"101240","18","18",10,"1",10,"1"
"101240","26","26",10,"3",10,"2"
"101240","28","28",10,"1",10,"1"
"101240","32","32",10,"1",10,"0"
"101240","41","41",10,"1",10,"0"
"101240","45","45",10,"3",10,"2"
"101240","47","47",10,"1",10,"1"
"101240","58","999",10,"1154",10,"883"
"101240","90","90",10,"8",10,"5"
"101240","99","99",10,"1162",10,"888"
"101286","1","1",10,"718",10,"395"
"101286","12","12",10,"23",10,"13"
"101286","13","13",10,"12",10,"1"
"101286","34","34",10,"1",10,"0"
"101286","37","37",10,"1",10,"0"
"101286","54","54",10,"1",10,"0"
"101286","57","57",10,"56",10,"36"
"101286","58","999",10,"812",10,"445"
"101286","99","99",10,"812",10,"445"
"101295","1","1",10,"719",10,"464"
"101295","5","5",10,"1",10,"1"
"101295","12","12",10,"1",10,"1"
"101295","13","13",10,"4",10,"3"
"101295","28","28",10,"1",10,"1"
"101295","34","34",10,"1",10,"1"
"101295","35","35",10,"1",10,"0"
"101295","37","37",10,"1",10,"0"
"101295","42","42",10,"1",10,"0"
"101295","47","47",10,"6",10,"6"
