unitid,part,"line",efres01,efres02,centers,ic01,ic02
"101693","C","90","15","5","1","R","R"
"101693","C","99","315","214","1","R","R"
"102368","C","12","94","80","1","R","I"
"102368","C","13","32","27","1","R","I"
"102368","C","22","3","3","1","R","I"
"102368","C","28","2","2","1","R","I"
"102368","C","30","1","1","1","R","I"
"102368","C","45","1","1","1","R","I"
"102368","C","51","3","3","1","R","I"
"104160","C","04","931","305","1","R","R"
"104160","C","99","1041","342","1","M","R"
"105172","C","99","219","106","1","R","R"
"107044","C","47","80","78","1","R","R"
"107044","C","90","21","17","1","R","C"
"107840","C","28","1","1","1","R","I"
"107840","C","51","2","1","1","R","I"
"107840","C","90","29","16","1","R","I"
"107840","C","99","127","70","1","M","I"
"107877","C","29","22","22","1","R","R"
"110945","C","06","27","8","1","R","I"
"110945","C","99","27","8","1","R","I"
"115010","C","06","1788","371","1","R","R"
"115010","C","99","2350","483","1","R","R"
"121150","C","90","59","43","1","R","R"
"131496","C","23","5","4","1","R","R"
"131496","C","48","56","55","1","R","R"
"131496","C","57","26","25","1","R","R"
"131496","C","90","88","82","1","R","R"
"131496","C","99","1408","1399","1","R","R"
"133553","C","02","5","4","1","R","I"
"133553","C","04","15","11","1","R","I"
"133553","C","05","3","2","1","R","I"
"133553","C","06","131","100","1","R","I"
"133553","C","08","15","11","1","R","I"
"133553","C","12","141","108","1","R","I"
"133553","C","13","27","21","1","R","I"
"133553","C","15","19","15","1","R","I"
"133553","C","16","6","5","1","R","I"
"133553","C","18","13","10","1","R","I"
"133553","C","19","5","4","1","R","I"
"133553","C","20","2","2","1","R","I"
"133553","C","21","10","8","1","R","I"
"133553","C","22","4","3","1","R","I"
"133553","C","23","15","11","1","R","I"
"133553","C","24","34","26","1","R","I"
"133553","C","26","20","15","1","R","I"
"133553","C","28","3","2","1","R","I"
"133553","C","30","7","5","1","R","I"
"133553","C","31","5","4","1","R","I"
"133553","C","32","7","5","1","R","I"
"133553","C","34","36","28","1","R","I"
"133553","C","35","7","5","1","R","I"
"133553","C","36","83","64","1","R","I"
"133553","C","37","19","15","1","R","I"
"133553","C","38","2","2","1","R","I"
"133553","C","39","27","21","1","R","I"
"133553","C","40","5","4","1","R","I"
"133553","C","45","12","9","1","R","I"
"133553","C","46","5","4","1","R","I"
"133553","C","47","6","5","1","R","I"
"133553","C","48","48","37","1","R","I"
