unitid,line,"xef01",efres01,"xef02",efres02,centers
"100858","99","R","3671","R","3363","-5"
"102076","47","R","1","R","1","-5"
"104179","4","R","3282","R","3084","-5"
"105589","42","R","4","R","3","-5"
"107512","28","R","2","R","2","-5"
"110495","6","R","457","R","451","-5"
"110945","90","R","1","I","1","-5"
"114415","34","R","1","R","1","-5"
"118684","99","R","300","R","201","-5"
"121309","32","R","7","R","7","-5"
"123165","8","R","6","R","6","-5"
"126359","99","R","299","R","54","-5"
"127060","19","R","5","R","5","-5"
"128391","53","R","2","R","1","-5"
"130624","6","R","13","R","8","-5"
"131450","45","R","1","R","1","-5"
"133021","22","R","2","R","2","-5"
"133960","99","R","136","R","53","-5"
"135717","23","R","3","R","0","-5"
"137096","48","R","2","R","2","-5"
"138725","39","R","1","I","0","-5"
"139658","9","R","33","R","33","-5"
"140483","20","R","1","R","1","-5"
"141361","45","R","2","R","2","-5"
"142559","27","R","1","R","1","-5"
"144892","39","R","1","R","1","-5"
"146506","26","R","2","R","2","-5"
"148016","9","R","1","R","1","-5"
"150066","39","R","64","R","60","-5"
"151111","47","R","1","R","0","-5"
"152363","8","R","1","R","1","-5"
"153278","90","Z","0","R","1","-5"
"153922","19","R","657","R","443","-5"
"154855","60","R","1","R","1","-5"
"155496","19","R","1","R","1","-5"
"156745","1","R","3","R","3","-5"
"157863","6","R","3","R","2","-5"
"160001","22","R","142","R","71","-5"
"161086","11","R","2","R","2","-5"
"162609","45","R","1","R","1","-5"
"163912","33","R","2","R","2","-5"
"164739","32","R","1","R","1","-5"
"165662","6","R","31","R","29","-5"
"166656","34","R","1","R","0","-5"
"167729","44","R","2","R","2","-5"
"168421","36","R","48","R","48","-5"
"170082","99","R","2528","R","2482","-5"
"172264","99","R","191","R","176","-5"
"173850","38","R","1","R","0","-5"
"174792","27","R","355","R","353","-5"
"175883","99","R","2914","R","1241","-5"
"176938","48","R","1","R","1","-5"
"178369","17","R","9","R","7","-5"
"179326","39","R","4","R","3","-5"
"180461","35","R","1","R","1","-5"
"181394","55","R","5","R","4","-5"
"182661","51","R","1","R","1","-5"
"184603","2","R","1","A","1","-5"
"187532","50","R","1","R","1","-5"
"188429","30","R","1","R","1","-5"
"190372","24","R","12","C","12","-5"
"191241","42","R","67","R","64","-5"
"192466","25","R","9","R","8","-5"
"194152","29","R","1","R","1","-5"
"195191","36","R","10","R","5","-5"
"196176","33","R","1","R","1","-5"
"197151","32","R","1","R","1","-5"
"198206","42","R","1","R","1","-5"
"198534","51","R","23","R","2","-5"
"199069","36","R","1","I","1","-5"
"199421","1","R","2","R","0","-5"
"200059","27","R","4","R","4","-5"
"201645","33","R","6","I","6","-5"
"202903","40","R","2","R","2","-5"
"204486","18","R","109","R","106","-5"
"205841","25","R","1","Z","0","-5"
"207041","99","R","628","R","438","-5"
"207582","90","R","7","Z","0","-5"
"209551","9","R","9","R","7","-5"
"210960","53","R","1","R","0","-5"
"212054","12","R","2","R","2","-5"
"213303","24","R","4","R","4","-5"
