unitid,"xf2a01",f2a01,"xf2a02",f2a02,"xf2a03",f2a03,"xf2a04",f2a04,"xf2a05",f2a05,"xf2a06",f2a06,"xf2a11",f2a11,"xf2a12",f2a12,"xf2a13",f2a13,"xf2a14",f2a14,"xf2b01",f2b01,"xf2b02",f2b02,"xf2b03",f2b03,"xf2b04",f2b04,"xf2b05",f2b05,"xf2b06",f2b06,"xf2b07",f2b07,"xf2c01",f2c01,"xf2c02",f2c02,"xf2c03",f2c03,"xf2c04",f2c04,"xf2c05",f2c05,"xf2c06",f2c06,"xf2c07",f2c07,"xf2c08",f2c08,"xf2c09",f2c09,"xf2d01",f2d01,"xf2d02",f2d02,"xf2d03",f2d03,"xf2d04",f2d04,"xf2d05",f2d05,"xf2d06",f2d06,"xf2d07",f2d07,"xf2d08",f2d08,"xf2d09",f2d09,"xf2d10",f2d10,"xf2d11",f2d11,"xf2d12",f2d12,"xf2d13",f2d13,"xf2d14",f2d14,"xf2d15",f2d15,"xf2d16",f2d16,"xf2e011",f2e011,"xf2e012",f2e012,"xf2e021",f2e021,"xf2e022",f2e022,"xf2e031",f2e031,"xf2e032",f2e032,"xf2e041",f2e041,"xf2e042",f2e042,"xf2e051",f2e051,"xf2e052",f2e052,"xf2e061",f2e061,"xf2e062",f2e062,"xf2e071",f2e071,"xf2e072",f2e072,"xf2e081",f2e081,"xf2e082",f2e082,"xf2e091",f2e091,"xf2e092",f2e092,"xf2e101",f2e101,"xf2e102",f2e102,"xf2e111",f2e111,"xf2e112",f2e112,"xf2e121",f2e121,"xf2e122",f2e122,"xf2e141",f2e141,"xf2e151",f2e151,"xf2e161",f2e161,"xf2e171",f2e171
"100690",10,"374175",10,"3123426",10,"1438541",10,"1522598",10,"162287",10,"1684885",10,"279448",10,"1028166",10,"1837548",10,"0",10,"2898929",10,"2814839",10,"0",10,"84090",10,"1600795",10,"0",10,"1684885",10,"223324",10,"11400",13,"0",13,"0",13,"0",10,"921452",10,"1156176",10,"921452",13,"0",10,"1987711",13,"0",13,"0",13,"0",10,"28770",13,"0",13,"0",10,"836984",13,"0",10,"28492",13,"0",13,"0",13,"0",13,"0",10,"16972",10,"2898929",10,"1242869",10,"696353",13,"0",13,"0",13,"0",13,"0",10,"84032",10,"58893",10,"279262",10,"175677",10,"1208676",10,"392969",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"2814839",10,"1323892",10,"269211",10,"131249",10,"79703",10,"1010784"
"100937",10,"125845171",10,"229015150",10,"37986160",10,"78609944",10,"112419046",10,"191028990",10,"2389079",10,"72933696",10,"32877841",10,"0",10,"49732583",10,"49888964",10,"916013",10,"759632",10,"190269358",10,"0",10,"191028990",10,"450688",10,"198324",10,"687897",10,"1216415",10,"4034014",10,"4857892",10,"11445230",13,"0",13,"0",10,"21258704",10,"0",10,"0",10,"0",10,"704189",10,"719312",10,"51059",10,"11782294",13,"0",10,"7296289",10,"1221788",10,"6404568",13,"0",13,"0",10,"294380",10,"49732583",10,"13294810",10,"7293560",13,"0",13,"0",13,"0",13,"0",10,"2430486",10,"692010",10,"7429025",10,"2495526",10,"6356913",10,"4002410",10,"8932500",10,"343320",10,"11445230",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"49888964",10,"14826826",10,"3810877",10,"5466909",10,"899391",10,"24884961"
"101073",10,"4037428",10,"15391408",10,"272998",10,"9918442",10,"5199968",10,"15118410",10,"39303",10,"11280509",10,"1518971",10,"0",10,"5043772",10,"4368079",10,"0",10,"675693",10,"14442717",10,"0",10,"15118410",10,"981456",10,"615367",10,"9894",10,"1911813",13,"0",13,"0",10,"3518530",10,"2715867",10,"802663",10,"804054",13,"0",13,"0",13,"0",10,"1596823",10,"9894",13,"0",10,"1799627",10,"25000",10,"70658",13,"0",10,"737716",13,"0",13,"0",10,"0",10,"5043772",10,"1628913",10,"465784",10,"49761",10,"38060",13,"0",13,"0",10,"251238",10,"105237",10,"232354",10,"171333",10,"1145202",10,"496841",10,"1060611",10,"219928",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"4368079",10,"1497183",10,"332008",10,"300195",13,"0",10,"2238693"
"101189",10,"10324200",10,"44542030",10,"15948747",10,"17405428",10,"11187855",10,"28593283",10,"996659",10,"22271973",10,"9785244",13,"0",10,"22973771",10,"20191186",10,"0",10,"2782585",10,"25810698",10,"0",10,"28593283",10,"2776629",10,"456645",10,"1242366",13,"0",10,"215379",10,"1415166",10,"6106185",10,"3207128",10,"266797",10,"14144633",13,"0",13,"0",13,"0",10,"2088584",13,"0",13,"0",10,"3178293",10,"19052",10,"1526809",13,"0",10,"1198825",13,"0",13,"0",10,"817575",10,"22973771",10,"7893986",10,"4742038",13,"0",13,"0",13,"0",13,"0",10,"2000941",10,"581298",10,"4383112",10,"1623494",10,"3985297",10,"1713234",10,"1927850",10,"101232",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"20191186",10,"8761296",10,"1386224",10,"1473335",10,"677618",10,"7892713"
"101435",10,"34747106",10,"67342219",10,"25850283",10,"2925336",10,"38566600",10,"41491936",10,"1036015",10,"22207929",10,"8854036",13,"0",10,"12026354",10,"12941240",10,"0",10,"-914886",10,"42406822",10,"0",10,"41491936",10,"336605",10,"250985",10,"271941",13,"0",10,"1917413",10,"1747771",10,"4524715",10,"3665184",13,"0",10,"3570992",13,"0",13,"0",13,"0",10,"602903",13,"0",13,"0",10,"1909926",13,"0",10,"1373409",10,"2180278",13,"0",13,"0",13,"0",10,"2388846",10,"12026354",10,"4692345",10,"2576019",13,"0",13,"0",13,"0",13,"0",10,"804574",10,"346456",10,"3168764",10,"1087437",10,"1762905",10,"1192273",10,"2512652",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"12941240",10,"5202185",10,"1014538",10,"1228713",10,"1082977",10,"4412827"
"101453",10,"4983166",10,"8209013",10,"1803706",10,"1263334",10,"5141973",10,"6405307",10,"520462",10,"1421203",10,"1677945",13,"0",10,"2896111",10,"2663143",10,"0",10,"232968",10,"6172339",10,"0",10,"6405307",10,"169724",10,"16686",13,"0",13,"0",10,"158199",10,"30804",10,"375413",10,"30804",13,"0",10,"642233",13,"0",13,"0",13,"0",10,"186410",13,"0",13,"0",10,"1734262",10,"32410",10,"182048",10,"27669",10,"91079",13,"0",13,"0",10,"0",10,"2896111",10,"474049",10,"418322",10,"9229",13,"0",10,"26127",10,"917",10,"122529",10,"83001",10,"336822",10,"208970",10,"1437575",10,"448046",10,"98613",10,"11390",10,"158199",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"2663143",10,"1170646",10,"226324",10,"160091",10,"57579",10,"1048503"
"101541",10,"5973160",10,"23578100",10,"7421366",10,"806776",10,"15349958",10,"16156734",10,"280336",10,"11163021",10,"3818021",13,"0",10,"7173340",10,"7697487",10,"0",10,"-524147",10,"16680881",10,"0",10,"16156734",10,"257641",10,"15050",10,"167033",13,"0",10,"649813",10,"559600",10,"1649137",10,"0",10,"0",10,"2181337",13,"0",13,"0",13,"0",10,"319691",13,"0",13,"0",10,"2709293",10,"0",10,"110285",10,"0",10,"1291857",10,"0",10,"0",10,"560877",10,"7173340",10,"2649642",10,"1009715",13,"0",13,"0",13,"0",13,"0",10,"415963",10,"239124",10,"981539",10,"537820",10,"1524040",10,"417307",10,"967475",10,"0",10,"1158828",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"7697487",10,"2203966",10,"429666",10,"602016",10,"273506",10,"4188333"
"101648",10,"654361",10,"13764914",10,"964904",10,"11442952",10,"1357058",10,"12800010",10,"9295655",13,"0",10,"1783628",13,"0",10,"5699940",10,"6065561",10,"-277123",10,"-642744",10,"13442754",10,"0",10,"12800010",10,"131799",10,"23930",10,"16000",13,"0",10,"48100",10,"498847",10,"718676",10,"718676",13,"0",10,"3457030",13,"0",10,"465975",13,"0",10,"0",10,"0",10,"0",10,"761563",10,"0",10,"12935",10,"0",10,"741710",10,"0",10,"260727",10,"0",10,"5699940",10,"996157",10,"785711",13,"0",13,"0",13,"0",13,"0",10,"221607",10,"144176",10,"1878449",10,"883035",10,"1038922",10,"407423",10,"798112",10,"142092",10,"498847",13,"0",13,"0",13,"0",10,"633467",13,"0",10,"0",10,"0",10,"6065561",10,"2362437",10,"238950",13,"0",10,"19202",10,"3444972"
"101675",10,"9901621",10,"31438738",10,"6069360",10,"16453391",10,"8915987",10,"25369378",10,"1413500",10,"21011405",10,"8170296",13,"0",10,"20370729",10,"19047068",10,"0",10,"1323661",10,"24045717",10,"0",10,"25369378",10,"3313557",10,"1013890",10,"674094",10,"6208",10,"717113",10,"198408",10,"5923270",10,"98582",13,"0",10,"7983721",13,"0",13,"0",13,"0",10,"7429257",13,"0",13,"0",10,"2971090",10,"192903",10,"-799440",13,"0",10,"2301348",13,"0",13,"0",10,"291850",10,"20370729",10,"4483143",10,"2470083",13,"0",13,"0",13,"0",13,"0",10,"838428",10,"267041",10,"2061734",10,"1170871",10,"2878606",10,"908461",10,"2861887",10,"31587",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"5923270",10,"0",10,"19047068",10,"4848043",10,"626043",10,"1056757",10,"0",10,"12516225"
"101693",10,"7324105",10,"26781331",10,"10498627",10,"6485093",10,"9797611",10,"16282704",10,"819206",10,"19541030",10,"6194782",10,"0",10,"16270631",10,"15142277",10,"0",10,"1128354",10,"15154350",10,"0",10,"16282704",10,"1751339",10,"479896",10,"794668",10,"0",10,"411956",10,"3230354",10,"6668213",10,"3767310",10,"0",10,"9704323",10,"0",10,"0",10,"0",10,"185446",10,"0",10,"0",10,"3643771",10,"0",10,"348082",10,"0",10,"2076213",10,"0",10,"0",10,"312796",10,"16270631",10,"6370104",10,"4312022",10,"0",10,"0",10,"0",10,"0",10,"618290",10,"335775",10,"1037082",10,"560406",10,"2623160",10,"1284017",10,"2756941",10,"762454",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1736700",10,"114227",10,"15142277",10,"7368901",10,"1723299",10,"971190",10,"639257",10,"4439630"
