unitid,"xf2a01",f2a01,"xf2a02",f2a02,"xf2a03",f2a03,"xf2a04",f2a04,"xf2a05",f2a05,"xf2a06",f2a06,"xf2a11",f2a11,"xf2a12",f2a12,"xf2a13",f2a13,"xf2a14",f2a14,"xf2b01",f2b01,"xf2b02",f2b02,"xf2b03",f2b03,"xf2b04",f2b04,"xf2b05",f2b05,"xf2b06",f2b06,"xf2b07",f2b07,"xf2c01",f2c01,"xf2c02",f2c02,"xf2c03",f2c03,"xf2c04",f2c04,"xf2c05",f2c05,"xf2c06",f2c06,"xf2c07",f2c07,"xf2c08",f2c08,"xf2c09",f2c09,"xf2d01",f2d01,"xf2d02",f2d02,"xf2d03",f2d03,"xf2d04",f2d04,"xf2d05",f2d05,"xf2d06",f2d06,"xf2d07",f2d07,"xf2d08",f2d08,"xf2d09",f2d09,"xf2d10",f2d10,"xf2d11",f2d11,"xf2d12",f2d12,"xf2d13",f2d13,"xf2d14",f2d14,"xf2d15",f2d15,"xf2d16",f2d16,"xf2e011",f2e011,"xf2e012",f2e012,"xf2e013",f2e013,"xf2e014",f2e014,"xf2e015",f2e015,"xf2e016",f2e016,"xf2e017",f2e017,"xf2e021",f2e021,"xf2e022",f2e022,"xf2e023",f2e023,"xf2e024",f2e024,"xf2e025",f2e025,"xf2e026",f2e026,"xf2e027",f2e027,"xf2e031",f2e031,"xf2e032",f2e032,"xf2e033",f2e033,"xf2e034",f2e034,"xf2e035",f2e035,"xf2e036",f2e036,"xf2e037",f2e037,"xf2e041",f2e041,"xf2e042",f2e042,"xf2e043",f2e043,"xf2e044",f2e044,"xf2e045",f2e045,"xf2e046",f2e046,"xf2e047",f2e047,"xf2e051",f2e051,"xf2e052",f2e052,"xf2e053",f2e053,"xf2e054",f2e054,"xf2e055",f2e055,"xf2e056",f2e056,"xf2e057",f2e057,"xf2e061",f2e061,"xf2e062",f2e062,"xf2e063",f2e063,"xf2e064",f2e064,"xf2e065",f2e065,"xf2e066",f2e066,"xf2e067",f2e067,"xf2e071",f2e071,"xf2e072",f2e072,"xf2e073",f2e073,"xf2e074",f2e074,"xf2e075",f2e075,"xf2e076",f2e076,"xf2e077",f2e077,"xf2e081",f2e081,"xf2e082",f2e082,"xf2e083",f2e083,"xf2e084",f2e084,"xf2e085",f2e085,"xf2e086",f2e086,"xf2e087",f2e087,"xf2e091",f2e091,"xf2e092",f2e092,"xf2e093",f2e093,"xf2e094",f2e094,"xf2e095",f2e095,"xf2e096",f2e096,"xf2e097",f2e097,"xf2e101",f2e101,"xf2e102",f2e102,"xf2e103",f2e103,"xf2e104",f2e104,"xf2e105",f2e105,"xf2e106",f2e106,"xf2e107",f2e107,"xf2e111",f2e111,"xf2e112",f2e112,"xf2e113",f2e113,"xf2e114",f2e114,"xf2e115",f2e115,"xf2e116",f2e116,"xf2e117",f2e117,"xf2e121",f2e121,"xf2e122",f2e122,"xf2e123",f2e123,"xf2e124",f2e124,"xf2e125",f2e125,"xf2e126",f2e126,"xf2e127",f2e127,"xf2e131",f2e131,"xf2e132",f2e132,"xf2e133",f2e133,"xf2e134",f2e134,"xf2e135",f2e135,"xf2e136",f2e136,"xf2e137",f2e137
"100690",10,"549088",10,"3573140",10,"1746031",10,"1658423",10,"168686",10,"1827109",10,"540979",10,"1028166",10,"2051154",13,"0",10,"3959580",10,"3817356",10,"0",10,"142224",10,"1684885",10,"0",10,"1827109",10,"364475",10,"15835",13,"0",13,"0",13,"0",10,"1315393",10,"1695703",10,"1315393",13,"0",10,"3169054",13,"0",13,"0",13,"0",10,"28845",13,"0",13,"0",10,"735597",13,"0",10,"18732",13,"0",13,"0",13,"0",13,"0",10,"7352",10,"3959580",10,"1674857",10,"684144",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"131364",10,"74257",13,"0",13,"0",13,"0",13,"0",13,"0",10,"413859",10,"264423",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1597276",10,"552735",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"3817356",10,"1575559",10,"327861",13,"0",10,"148070",10,"71238",10,"1694628"
"100937",10,"131075777",10,"247723679",10,"65060241",10,"73414844",10,"109248594",10,"182663438",10,"2389079",10,"76471147",10,"36488043",10,"0",10,"44444590",10,"52880721",10,"16801683",10,"8365552",10,"191028990",10,"-16731104",10,"182663438",10,"430883",10,"228417",10,"614225",10,"1582196",10,"3359216",10,"7067759",10,"13282696",10,"0",10,"0",10,"22495007",10,"0",10,"0",10,"0",10,"771954",10,"670125",10,"73255",10,"13897432",10,"0",10,"-1964217",10,"1213969",10,"6846071",10,"0",10,"0",10,"440994",10,"44444590",10,"14060979",10,"7570689",10,"1890285",10,"1037449",10,"1706901",10,"378034",10,"1477621",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"2490212",10,"686664",10,"224922",10,"239488",10,"394026",10,"87266",10,"857846",10,"8038293",10,"2698398",10,"655990",10,"681774",10,"1121714",10,"248430",10,"2631987",10,"5974018",10,"4096921",10,"1070850",10,"157597",10,"259292",10,"57426",10,"331932",10,"9034524",10,"337176",10,"89585",10,"1190083",10,"1958027",10,"433652",10,"5026001",10,"13282695",10,"0",10,"0",10,"0",10,"0",10,"0",10,"13282695",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",13,"0",10,"0",10,"0",10,"-3306391",10,"0",10,"0",10,"3306391",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"52880721",10,"15389848",10,"3931632",13,"0",10,"5439960",10,"1204808",10,"26914473"
"101073",10,"4011596",10,"16388138",10,"449321",10,"9978076",10,"5960741",10,"15938817",10,"39303",10,"11717136",10,"1707139",13,"0",10,"5385455",10,"4565048",10,"0",10,"820407",10,"15118410",10,"0",10,"15938817",10,"2000062",10,"70493",10,"395340",13,"0",13,"0",13,"0",10,"2465895",10,"2402377",13,"0",10,"1824415",13,"0",13,"0",13,"0",10,"1236917",10,"4100",13,"0",10,"1397196",13,"0",10,"85684",13,"0",10,"837143",13,"0",13,"0",10,"0",10,"5385455",10,"1542134",10,"1542134",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"262245",10,"262245",13,"0",13,"0",13,"0",13,"0",13,"0",10,"252168",10,"252168",13,"0",13,"0",13,"0",13,"0",13,"0",10,"983750",10,"983750",13,"0",13,"0",13,"0",13,"0",13,"0",10,"863939",10,"863939",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"125315",10,"125315",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"535497",10,"535497",13,"0",13,"0",13,"0",13,"0",13,"0",10,"4565048",10,"4565048",13,"0",13,"0",13,"0",13,"0",10,"0"
"101189",10,"10824208",10,"47527114",10,"17387522",10,"19649023",10,"10490569",10,"30139592",10,"1105004",10,"23700121",10,"10731997",13,"0",10,"22568663",10,"21022354",10,"0",10,"1546309",10,"28593283",10,"0",10,"30139592",10,"3277035",10,"434615",10,"1026551",13,"0",10,"182023",10,"1622958",10,"6543182",10,"2955327",10,"263984",10,"14706913",13,"0",13,"0",13,"0",10,"1896586",13,"0",13,"0",10,"3037678",10,"9899",10,"809120",13,"0",10,"1337313",13,"0",13,"0",10,"771154",10,"22568663",10,"8278179",10,"5056100",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"2054664",10,"611491",13,"0",13,"0",13,"0",13,"0",13,"0",10,"4364625",10,"1688520",13,"0",13,"0",13,"0",13,"0",13,"0",10,"4014579",10,"1799557",13,"0",13,"0",13,"0",13,"0",13,"0",10,"2310307",10,"122441",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"21022354",10,"9278109",10,"1426166",13,"0",10,"1557934",10,"649680",10,"8110465"
"101435",10,"32881144",10,"66053846",10,"26454230",10,"1242329",10,"38357287",10,"39599616",10,"1040546",10,"21976603",10,"10076824",10,"0",10,"9155493",10,"12133992",10,"0",10,"-2978499",10,"42578115",10,"0",10,"39599616",10,"440248",10,"199568",10,"236825",13,"0",10,"1755687",10,"1627140",10,"4259468",10,"3382827",10,"0",10,"3768516",13,"0",13,"0",13,"0",10,"604780",13,"0",13,"0",10,"2313678",13,"0",10,"309091",13,"0",10,"2159428",13,"0",13,"0",10,"0",10,"9155493",10,"4392631",10,"2301399",10,"517746",10,"392976",10,"390684",10,"294612",10,"495214",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"832010",10,"402439",10,"76526",10,"98244",10,"97671",10,"73653",10,"83477",10,"3012588",10,"1230841",10,"278163",10,"208769",10,"207551",10,"156513",10,"930751",10,"1636499",10,"1078068",10,"268766",10,"61402",10,"61044",10,"46033",10,"121186",10,"2260264",13,"0",13,"0",10,"466661",10,"463936",10,"349852",10,"979815",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",10,"-1228052",13,"0",13,"0",10,"1228052",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"12133992",10,"5012747",10,"1141201",13,"0",10,"1220886",10,"920663",10,"3838495"
"101453",10,"4474479",10,"6956113",10,"1492221",10,"1353367",10,"4110525",10,"5463892",10,"527336",10,"1429369",10,"1770149",13,"0",10,"2127500",10,"2581891",10,"-487024",10,"-941415",10,"6405307",10,"0",10,"5463892",10,"165269",10,"17782",13,"0",13,"0",10,"179546",10,"30060",10,"392657",10,"30060",13,"0",10,"690775",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",10,"1628819",10,"36460",10,"-362189",10,"22004",10,"111631",13,"0",13,"0",10,"0",10,"2127500",10,"521916",10,"461336",13,"0",10,"37770",13,"0",13,"0",10,"22810",10,"4452",10,"0",13,"0",10,"117",13,"0",13,"0",10,"4335",10,"25173",10,"0",13,"0",10,"1822",13,"0",13,"0",10,"23351",10,"114781",10,"84686",10,"8355",10,"8307",13,"0",13,"0",10,"13433",10,"223654",10,"141292",13,"0",10,"16186",13,"0",13,"0",10,"66176",10,"1395207",10,"471273",10,"224668",10,"203544",10,"0",10,"52847",10,"442875",10,"117162",10,"11301",13,"0",10,"15213",13,"0",13,"0",10,"90648",10,"179546",13,"0",13,"0",10,"21298",13,"0",13,"0",10,"158248",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",10,"-304257",10,"164055",13,"0",10,"140202",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"2581891",10,"1169888",10,"233023",13,"0",10,"164055",10,"52847",10,"962078"
"101541",10,"4195002",10,"23663503",10,"8144842",10,"981502",10,"14537159",10,"15518661",10,"293126",10,"11513615",10,"3701264",13,"0",10,"7438262",10,"8076335",10,"0",10,"-638073",10,"16156734",10,"0",10,"15518661",10,"358126",10,"16221",10,"149985",13,"0",10,"580364",10,"626210",10,"1730906",13,"0",13,"0",10,"2339480",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"3986559",13,"0",10,"-555047",13,"0",10,"1366195",13,"0",13,"0",10,"301075",10,"7438262",10,"2785391",10,"1147197",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"430150",10,"193441",13,"0",13,"0",13,"0",13,"0",13,"0",10,"983856",10,"511311",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1646909",10,"395360",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1023455",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1206574",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"8076335",10,"2247309",10,"466863",13,"0",10,"629294",10,"294102",10,"4438767"
"101648",10,"668088",10,"14227867",10,"3014501",10,"9851397",10,"1361969",10,"11213366",10,"10268886",13,"0",10,"1944689",13,"0",10,"4432331",10,"5660302",10,"-358673",10,"-1586644",10,"12800010",10,"0",10,"11213366",10,"184205",10,"25941",10,"15500",13,"0",10,"21622",10,"492027",10,"739295",10,"739295",13,"0",10,"2886915",13,"0",10,"446903",13,"0",13,"0",13,"0",13,"0",10,"403163",13,"0",10,"9952",13,"0",10,"484978",13,"0",10,"200420",10,"0",10,"4432331",10,"817311",10,"662134",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"212761",10,"135798",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1898906",10,"929621",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1046718",10,"505261",13,"0",13,"0",13,"0",13,"0",13,"0",10,"626333",10,"149678",13,"0",13,"0",13,"0",13,"0",13,"0",10,"492027",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"566246",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"5660302",10,"2382492",10,"2378492",13,"0",10,"235735",10,"49574",10,"614009"
"101675",10,"10718090",10,"31279244",10,"5422561",10,"18209424",10,"7647259",10,"25856683",10,"1443500",10,"22848816",10,"8895534",13,"0",10,"22190604",10,"21703299",10,"0",10,"487305",10,"25369378",10,"0",10,"25856683",10,"4825633",10,"657247",10,"841775",13,"0",10,"193773",10,"941905",10,"7460333",10,"19318",10,"2860438",10,"8707210",13,"0",13,"0",13,"0",10,"7943058",10,"743626",13,"0",10,"1742746",10,"174160",10,"6340",13,"0",10,"2758127",13,"0",13,"0",10,"115337",10,"22190604",10,"5215472",10,"2921253",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"574061",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"732913",10,"262206",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1332288",10,"954713",13,"0",13,"0",13,"0",13,"0",13,"0",10,"3812668",10,"726170",13,"0",13,"0",13,"0",13,"0",13,"0",10,"3421071",10,"188880",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"6614826",10,"266598",13,"0",13,"0",13,"0",13,"0",13,"0",10,"21703299",10,"5319820",10,"627782",13,"0",10,"244700",13,"0",10,"15510997"
"101693",10,"7383394",10,"27244144",10,"9956413",10,"7293381",10,"9994350",10,"17287731",10,"812038",10,"19565614",10,"6534896",10,"0",10,"17020221",10,"16015194",10,"0",10,"1005027",10,"16282704",10,"0",10,"17287731",10,"2159405",10,"251907",10,"720170",10,"0",10,"366724",10,"3483396",10,"6981602",10,"4015120",10,"0",10,"10815581",10,"0",10,"0",10,"0",10,"251907",10,"0",10,"0",10,"3590509",10,"0",10,"107723",10,"0",10,"2099863",10,"0",10,"0",10,"154638",10,"17020221",10,"7465678",10,"4549536",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"823023",10,"362229",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1186242",10,"672229",13,"0",13,"0",13,"0",13,"0",13,"0",10,"2991991",10,"1369630",13,"0",13,"0",13,"0",13,"0",13,"0",10,"3548260",10,"672434",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"16015194",10,"7626058",10,"2169978",13,"0",10,"813930",10,"635591",10,"4769637"
