unitid,"xf2a01",f2a01,"xf2a02",f2a02,"xf2a03",f2a03,"xf2a04",f2a04,"xf2a05",f2a05,"xf2a06",f2a06,"xf2a11",f2a11,"xf2a12",f2a12,"xf2a13",f2a13,"xf2a14",f2a14,"xf2b01",f2b01,"xf2b02",f2b02,"xf2b03",f2b03,"xf2b04",f2b04,"xf2b05",f2b05,"xf2b06",f2b06,"xf2b07",f2b07,"xf2c01",f2c01,"xf2c02",f2c02,"xf2c03",f2c03,"xf2c04",f2c04,"xf2c05",f2c05,"xf2c06",f2c06,"xf2c07",f2c07,"xf2c08",f2c08,"xf2c09",f2c09,"xf2d01",f2d01,"xf2d02",f2d02,"xf2d03",f2d03,"xf2d04",f2d04,"xf2d05",f2d05,"xf2d06",f2d06,"xf2d07",f2d07,"xf2d08",f2d08,"xf2d09",f2d09,"xf2d10",f2d10,"xf2d11",f2d11,"xf2d12",f2d12,"xf2d13",f2d13,"xf2d14",f2d14,"xf2d15",f2d15,"xf2d16",f2d16,"xf2e011",f2e011,"xf2e012",f2e012,"xf2e013",f2e013,"xf2e014",f2e014,"xf2e015",f2e015,"xf2e016",f2e016,"xf2e017",f2e017,"xf2e021",f2e021,"xf2e022",f2e022,"xf2e023",f2e023,"xf2e024",f2e024,"xf2e025",f2e025,"xf2e026",f2e026,"xf2e027",f2e027,"xf2e031",f2e031,"xf2e032",f2e032,"xf2e033",f2e033,"xf2e034",f2e034,"xf2e035",f2e035,"xf2e036",f2e036,"xf2e037",f2e037,"xf2e041",f2e041,"xf2e042",f2e042,"xf2e043",f2e043,"xf2e044",f2e044,"xf2e045",f2e045,"xf2e046",f2e046,"xf2e047",f2e047,"xf2e051",f2e051,"xf2e052",f2e052,"xf2e053",f2e053,"xf2e054",f2e054,"xf2e055",f2e055,"xf2e056",f2e056,"xf2e057",f2e057,"xf2e061",f2e061,"xf2e062",f2e062,"xf2e063",f2e063,"xf2e064",f2e064,"xf2e065",f2e065,"xf2e066",f2e066,"xf2e067",f2e067,"xf2e071",f2e071,"xf2e072",f2e072,"xf2e073",f2e073,"xf2e074",f2e074,"xf2e075",f2e075,"xf2e076",f2e076,"xf2e077",f2e077,"xf2e081",f2e081,"xf2e082",f2e082,"xf2e083",f2e083,"xf2e084",f2e084,"xf2e085",f2e085,"xf2e086",f2e086,"xf2e087",f2e087,"xf2e091",f2e091,"xf2e092",f2e092,"xf2e093",f2e093,"xf2e094",f2e094,"xf2e095",f2e095,"xf2e096",f2e096,"xf2e097",f2e097,"xf2e101",f2e101,"xf2e102",f2e102,"xf2e103",f2e103,"xf2e104",f2e104,"xf2e105",f2e105,"xf2e106",f2e106,"xf2e107",f2e107,"xf2e111",f2e111,"xf2e112",f2e112,"xf2e113",f2e113,"xf2e114",f2e114,"xf2e115",f2e115,"xf2e116",f2e116,"xf2e117",f2e117,"xf2e121",f2e121,"xf2e122",f2e122,"xf2e123",f2e123,"xf2e124",f2e124,"xf2e125",f2e125,"xf2e126",f2e126,"xf2e127",f2e127,"xf2e131",f2e131,"xf2e132",f2e132,"xf2e133",f2e133,"xf2e134",f2e134,"xf2e135",f2e135,"xf2e136",f2e136,"xf2e137",f2e137,"xf2h01",f2h01,"xf2h02",f2h02,f2fha
"100690",10,"542542",10,"3434166",10,"1441263",10,"1818398",10,"174505",10,"1992903",10,"540979",10,"1028166",10,"2091687",13,"0",10,"5074263",10,"4908469",10,"0",10,"165794",10,"1827109",10,"0",10,"1992903",10,"492911",10,"23093",13,"0",13,"0",10,"0",10,"1789712",10,"2305716",10,"1789712",13,"0",10,"4049814",13,"0",13,"0",13,"0",10,"44223",13,"0",13,"0",10,"931089",13,"0",10,"11823",13,"0",13,"0",13,"0",13,"0",10,"37314",10,"5074263",10,"2024775",10,"734466",10,"119276",10,"160535",13,"0",13,"0",10,"1010498",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"193056",10,"146283",10,"8664",10,"10946",13,"0",13,"0",10,"27163",10,"644530",10,"331086",10,"31548",10,"40134",13,"0",13,"0",10,"241762",10,"2046108",10,"345704",10,"266427",10,"153238",10,"156631",10,"40294",10,"1083814",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",10,"-364853",13,"0",13,"0",10,"364853",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"4908469",10,"1557539",10,"425915",13,"0",10,"156631",10,"40294",10,"2728090",13,"0",13,"0","1"
"100937",10,"107109867",10,"239822495",10,"55945258",10,"84161724",10,"99715513",10,"183877237",10,"2389079",10,"103530637",10,"39862246",10,"0",10,"46817543",10,"45603744",10,"0",10,"1213799",10,"182663438",10,"0",10,"183877237",10,"445797",10,"139349",10,"811900",10,"1591222",10,"3204602",10,"8152894",10,"14345764",10,"11357495",13,"0",10,"12528439",10,"0",10,"0",10,"0",10,"1030326",10,"850642",10,"32377",10,"24768261",13,"0",10,"-1198868",10,"7207141",13,"0",13,"0",13,"0",10,"1599225",10,"46817543",10,"14526482",10,"7576349",10,"2139708",10,"1196363",10,"1814834",10,"645741",10,"1153487",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"3116888",10,"757251",10,"94607",10,"276172",10,"418941",10,"149065",10,"1420852",10,"8570261",10,"2803363",10,"729501",10,"786207",10,"1192644",10,"424358",10,"2634188",10,"7171533",10,"3354395",10,"1061564",10,"181737",10,"275688",10,"98093",10,"2200056",10,"10022531",10,"315916",10,"105023",10,"1372377",10,"2081840",10,"740745",10,"5406630",10,"2988269",10,"16087",13,"0",13,"0",13,"0",13,"0",10,"2972182",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",10,"-3812856",13,"0",13,"0",10,"3812856",10,"-792220",10,"0",10,"0",10,"0",10,"0",10,"0",10,"-792220",10,"45603744",10,"14823361",10,"4130403",13,"0",10,"5783947",10,"2058002",10,"18808031",10,"129660245",10,"105999224","1"
"101073",10,"3714457",10,"16950115",10,"402393",10,"10541160",10,"6006562",10,"16547722",10,"39303",10,"8592010",10,"323802",13,"0",10,"5911785",10,"5197887",10,"0",10,"713898",10,"15833824",10,"0",10,"16547722",10,"2348571",10,"72173",10,"15100",13,"0",10,"2532167",13,"0",10,"4968011",10,"2532167",13,"0",10,"2252620",13,"0",13,"0",13,"0",10,"1830111",13,"0",13,"0",10,"645626",13,"0",10,"86936",13,"0",13,"0",13,"0",13,"0",10,"1096492",10,"5911785",10,"2164841",10,"1592127",10,"530709",13,"0",10,"42005",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"299868",10,"196261",10,"65421",13,"0",10,"38186",13,"0",10,"0",10,"233154",10,"174866",10,"58288",13,"0",13,"0",13,"0",10,"0",10,"1250040",10,"906057",10,"301978",13,"0",10,"42005",13,"0",10,"0",10,"1249984",10,"717328",10,"272992",13,"0",10,"259664",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"5197887",10,"3586639",10,"1229388",13,"0",10,"381860",13,"0",10,"0",13,"0",13,"0","1"
"101189",10,"11135629",10,"47637737",10,"17202155",10,"21125809",10,"9309773",10,"30435582",10,"1219381",10,"28606788",10,"11830704",10,"0",10,"22256355",10,"21960365",10,"0",10,"295990",10,"30139592",10,"0",10,"30435582",10,"3964947",10,"466972",10,"911873",13,"0",10,"182822",10,"2044315",10,"7570929",10,"3219437",10,"289869",10,"15372310",10,"0",10,"0",10,"0",10,"2077435",10,"0",10,"0",10,"2428219",10,"548",10,"366456",10,"0",10,"1411147",10,"0",10,"0",10,"600240",10,"22256355",10,"9212019",10,"5665861",10,"798855",10,"821737",10,"777790",10,"317382",10,"830394",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"2132126",10,"613219",10,"108067",10,"181323",10,"171625",10,"70033",10,"987859",10,"4518611",10,"1678817",10,"290532",10,"333710",10,"315863",10,"128890",10,"1770799",10,"3916483",10,"1724087",10,"302221",10,"123454",10,"116851",10,"47682",10,"1602188",10,"2181126",10,"116348",10,"18235",10,"468738",10,"443669",10,"181042",10,"953094",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",10,"-1928962",13,"0",13,"0",10,"1928962",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"21960365",10,"9798332",10,"1517910",13,"0",10,"1825798",10,"745029",10,"8073296",10,"13142822",10,"12930080","1"
"101435",10,"33428951",10,"62184545",10,"25949324",10,"19143",10,"36216078",10,"36235221",10,"1040546",10,"22522648",10,"10546614",10,"0",10,"9656630",10,"13021025",10,"0",10,"-3364395",10,"39599616",10,"0",10,"36235221",10,"475103",10,"186610",10,"220050",10,"0",10,"1710150",10,"1628312",10,"4220225",10,"4220225",10,"0",10,"3800218",10,"0",10,"0",10,"0",10,"751479",10,"0",10,"0",10,"2521483",10,"0",10,"641124",10,"0",10,"1942326",10,"0",10,"0",10,"0",10,"9656630",10,"4581598",10,"2376502",10,"570360",10,"363343",10,"368741",10,"334281",10,"568371",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"768222",10,"421108",10,"80076",10,"90836",10,"92185",10,"83570",10,"447",10,"3289979",10,"1276673",10,"243322",10,"193026",10,"195894",10,"177587",10,"1203477",10,"1993221",10,"1162362",10,"239918",10,"56772",10,"57616",10,"52231",10,"424322",10,"2388005",13,"0",13,"0",10,"431470",10,"437880",10,"396959",10,"1121696",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",10,"-1135447",13,"0",13,"0",10,"1135447",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"13021025",10,"5236645",10,"1133676",13,"0",10,"1152316",10,"1044628",10,"4453760",30,"",30,"","2"
"101453",10,"4473251",10,"7498094",10,"2132666",10,"1314415",10,"4051013",10,"5365428",10,"1037145",10,"1466451",10,"1848000",13,"0",10,"2399290",10,"2403430",10,"0",10,"-4140",10,"5369568",10,"0",10,"5365428",10,"161854",10,"16259",10,"0",10,"0",10,"140869",10,"42325",10,"361307",10,"42325",10,"0",10,"627565",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",10,"1574086",10,"45560",10,"49111",10,"8490",10,"94478",13,"0",13,"0",10,"0",10,"2399290",10,"549976",10,"482994",13,"0",10,"41916",13,"0",13,"0",10,"25066",10,"10662",13,"0",13,"0",10,"741",13,"0",13,"0",10,"9921",10,"32048",13,"0",13,"0",10,"2443",13,"0",13,"0",10,"29605",10,"109205",10,"78819",10,"5883",10,"8323",13,"0",13,"0",10,"16180",10,"217708",10,"158764",13,"0",10,"16592",13,"0",13,"0",10,"42352",10,"1263035",10,"421799",10,"219981",10,"235935",13,"0",10,"70771",10,"314549",10,"79927",10,"16492",13,"0",10,"10391",13,"0",13,"0",10,"53044",10,"140869",13,"0",13,"0",10,"18313",13,"0",13,"0",10,"122556",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",10,"-334654",10,"161134",13,"0",10,"173520",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"2403430",10,"1158868",10,"225864",13,"0",10,"161134",10,"70771",10,"786793",10,"3009295",10,"3028035","1"
"101541",10,"3960382",10,"30469225",10,"10873475",10,"268068",10,"19327682",10,"19595750",10,"667125",10,"11589588",10,"4179775",13,"0",10,"11593039",10,"7515950",10,"0",10,"4077089",10,"15518661",10,"0",10,"19595750",10,"384317",10,"23235",13,"0",13,"0",10,"743791",10,"637197",10,"1788540",13,"0",13,"0",10,"2626045",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"4554608",13,"0",10,"629769",13,"0",10,"1534393",13,"0",13,"0",10,"2248224",10,"11593039",10,"3068444",10,"1064300",10,"233431",13,"0",10,"417921",10,"170200",10,"1182592",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"442690",10,"207991",10,"77810",13,"0",13,"0",13,"0",10,"156889",10,"1035980",10,"454524",10,"207196",13,"0",10,"125858",10,"122544",10,"125858",10,"1943435",10,"581379",10,"77810",13,"0",13,"0",10,"122544",10,"1161702",10,"1025401",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1025401",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"7515950",10,"2308194",10,"596247",13,"0",10,"543779",10,"415288",10,"3652442",10,"13681462",10,"18795845","1"
"101648",10,"554514",10,"14417424",10,"3443027",10,"9719478",10,"1254919",10,"10974397",10,"10319136",13,"0",10,"1970512",13,"0",10,"5771583",10,"6242332",10,"231786",10,"-238963",10,"11213366",10,"-6",10,"10974397",10,"171660",10,"29988",10,"17500",13,"0",10,"121816",10,"690963",10,"1031927",10,"1031927",13,"0",10,"3839953",13,"0",10,"421546",13,"0",13,"0",13,"0",13,"0",10,"268066",13,"0",10,"14531",13,"0",10,"777890",13,"0",10,"449597",10,"0",10,"5771583",10,"965893",10,"695544",10,"67694",10,"173530",13,"0",13,"0",10,"29125",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"228601",10,"122520",10,"11924",10,"41070",13,"0",13,"0",10,"53087",10,"1783323",10,"722079",10,"70277",10,"320387",13,"0",13,"0",10,"670580",10,"987971",10,"448288",10,"43630",10,"177496",13,"0",13,"0",10,"318557",10,"908421",10,"132590",10,"12904",10,"163204",13,"0",13,"0",10,"599723",10,"690963",13,"0",13,"0",13,"0",13,"0",13,"0",10,"690963",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"677160",13,"0",13,"0",10,"121657",13,"0",13,"0",10,"555503",13,"0",10,"222425",10,"21649",10,"-997344",13,"0",13,"0",10,"753270",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"6242332",10,"2343446",10,"228078",13,"0",13,"0",13,"0",10,"3670808",30,"",30,"","2"
"101675",10,"10873018",10,"32847715",10,"4882358",10,"20342847",10,"7622510",10,"27965357",10,"1656018",10,"24646924",10,"10312796",10,"0",10,"22529760",10,"20421086",10,"0",10,"2108674",10,"25856683",10,"0",10,"27965357",10,"4833066",10,"447801",10,"805400",13,"0",10,"274052",10,"897543",10,"7257862",10,"18738",10,"2774625",10,"10082339",13,"0",13,"0",13,"0",10,"6045135",13,"0",13,"0",10,"2264819",13,"0",10,"178783",13,"0",10,"3635540",13,"0",13,"0",10,"323144",10,"22529760",10,"6827967",10,"3600632",10,"504089",13,"0",13,"0",13,"0",10,"2723246",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"315560",10,"80187",10,"11226",13,"0",13,"0",13,"0",10,"224147",10,"865476",10,"390448",10,"54663",13,"0",13,"0",13,"0",10,"420365",10,"1217105",10,"591418",10,"82799",13,"0",13,"0",13,"0",10,"542888",10,"4748286",10,"572366",10,"80132",13,"0",13,"0",13,"0",10,"4095788",10,"3324377",10,"471710",10,"66039",13,"0",13,"0",13,"0",10,"2786628",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"3122315",10,"0",10,"0",10,"0",10,"0",10,"0",10,"3122315",10,"20421086",10,"5706761",10,"798948",13,"0",13,"0",13,"0",10,"13915377",10,"2346442",10,"2346442","1"
"101693",10,"7936557",10,"27943463",10,"9258577",10,"7608066",10,"11076820",10,"18684886",10,"812038",10,"19894736",10,"7506868",10,"0",10,"18261439",10,"16864284",10,"0",10,"1397155",10,"17287731",10,"0",10,"18684886",10,"2350692",10,"238746",10,"353325",10,"0",10,"634590",10,"3479603",10,"7056956",10,"4274655",10,"0",10,"10637783",10,"0",10,"0",10,"0",10,"238746",10,"0",10,"0",10,"4603373",10,"0",10,"366893",10,"0",10,"2257803",10,"0",10,"0",10,"156841",10,"18261439",10,"7785400",10,"4788253",10,"1383482",10,"682736",10,"337934",10,"202139",10,"390856",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"827708",10,"327551",10,"94560",10,"133340",10,"65999",10,"39478",10,"166780",10,"1253175",10,"691653",10,"214014",10,"57253",10,"28338",10,"16951",10,"244966",10,"3383004",10,"1547611",10,"407734",10,"205138",10,"101537",10,"60736",10,"1060248",10,"3614997",10,"748365",10,"206399",10,"786422",10,"389157",10,"232839",10,"1251815",10,"0",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",10,"-1864889",13,"0",13,"0",10,"1864889",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"16864284",10,"8103433",10,"2306189",13,"0",10,"922965",10,"552143",10,"4979554",10,"7439790",10,"7875905","1"
