unitid,"xf2a01",f2a01,"xf2a02",f2a02,"xf2a03",f2a03,"xf2a04",f2a04,"xf2a05",f2a05,"xf2a05a",f2a05a,"xf2a06",f2a06,"xf2a11",f2a11,"xf2a12",f2a12,"xf2a13",f2a13,"xf2a14",f2a14,"xf2b01",f2b01,"xf2b02",f2b02,"xf2b03",f2b03,"xf2b04",f2b04,"xf2b05",f2b05,"xf2b06",f2b06,"xf2b07",f2b07,"xf2c01",f2c01,"xf2c02",f2c02,"xf2c03",f2c03,"xf2c04",f2c04,"xf2c05",f2c05,"xf2c06",f2c06,"xf2c07",f2c07,"xf2c08",f2c08,"xf2c09",f2c09,"xf2d01",f2d01,"xf2d02",f2d02,"xf2d03",f2d03,"xf2d04",f2d04,"xf2d05",f2d05,"xf2d06",f2d06,"xf2d07",f2d07,"xf2d08",f2d08,"xf2d09",f2d09,"xf2d10",f2d10,"xf2d11",f2d11,"xf2d12",f2d12,"xf2d13",f2d13,"xf2d14",f2d14,"xf2d15",f2d15,"xf2d16",f2d16,"xf2e011",f2e011,"xf2e012",f2e012,"xf2e013",f2e013,"xf2e014",f2e014,"xf2e015",f2e015,"xf2e016",f2e016,"xf2e017",f2e017,"xf2e021",f2e021,"xf2e022",f2e022,"xf2e023",f2e023,"xf2e024",f2e024,"xf2e025",f2e025,"xf2e026",f2e026,"xf2e027",f2e027,"xf2e031",f2e031,"xf2e032",f2e032,"xf2e033",f2e033,"xf2e034",f2e034,"xf2e035",f2e035,"xf2e036",f2e036,"xf2e037",f2e037,"xf2e041",f2e041,"xf2e042",f2e042,"xf2e043",f2e043,"xf2e044",f2e044,"xf2e045",f2e045,"xf2e046",f2e046,"xf2e047",f2e047,"xf2e051",f2e051,"xf2e052",f2e052,"xf2e053",f2e053,"xf2e054",f2e054,"xf2e055",f2e055,"xf2e056",f2e056,"xf2e057",f2e057,"xf2e061",f2e061,"xf2e062",f2e062,"xf2e063",f2e063,"xf2e064",f2e064,"xf2e065",f2e065,"xf2e066",f2e066,"xf2e067",f2e067,"xf2e071",f2e071,"xf2e072",f2e072,"xf2e073",f2e073,"xf2e074",f2e074,"xf2e075",f2e075,"xf2e076",f2e076,"xf2e077",f2e077,"xf2e081",f2e081,"xf2e082",f2e082,"xf2e083",f2e083,"xf2e084",f2e084,"xf2e085",f2e085,"xf2e086",f2e086,"xf2e087",f2e087,"xf2e091",f2e091,"xf2e092",f2e092,"xf2e093",f2e093,"xf2e094",f2e094,"xf2e095",f2e095,"xf2e096",f2e096,"xf2e097",f2e097,"xf2e101",f2e101,"xf2e102",f2e102,"xf2e103",f2e103,"xf2e104",f2e104,"xf2e105",f2e105,"xf2e106",f2e106,"xf2e107",f2e107,"xf2e111",f2e111,"xf2e112",f2e112,"xf2e113",f2e113,"xf2e114",f2e114,"xf2e115",f2e115,"xf2e116",f2e116,"xf2e117",f2e117,"xf2e121",f2e121,"xf2e122",f2e122,"xf2e123",f2e123,"xf2e124",f2e124,"xf2e125",f2e125,"xf2e126",f2e126,"xf2e127",f2e127,"xf2e131",f2e131,"xf2e132",f2e132,"xf2e133",f2e133,"xf2e134",f2e134,"xf2e135",f2e135,"xf2e136",f2e136,"xf2e137",f2e137,"xf2h01",f2h01,"xf2h02",f2h02,f2fha
"100690",10,"750415",10,"5792701",10,"1666407",10,"3951489",10,"174805",13,"0",10,"4126294",10,"610976",10,"1028166",10,"3008432",13,"0",10,"7479943",10,"6913738",10,"0",10,"566205",10,"3560089",10,"0",10,"4126294",10,"655265",10,"51880",13,"0",13,"0",13,"0",10,"2515616",10,"3222761",10,"2515616",13,"0",10,"6201080",13,"0",13,"0",13,"0",10,"51880",13,"0",13,"0",10,"1004708",13,"0",10,"69136",13,"0",13,"0",13,"0",13,"0",10,"153139",10,"7479943",10,"3118896",10,"1867345",10,"84314",10,"153031",13,"0",13,"0",10,"1014206",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"186944",10,"126154",10,"9130",10,"10931",13,"0",13,"0",10,"40729",10,"701331",10,"457942",10,"36547",10,"40080",13,"0",13,"0",10,"166762",10,"2906567",10,"889561",10,"415503",10,"160318",13,"0",13,"0",10,"1441185",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",30,"",30,"",30,"",30,"",30,"",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",31,"",13,"0",13,"0",10,"-364360",10,"165043",13,"0",10,"199317",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"6913738",10,"3341002",10,"545494",31,"",10,"165043",13,"0",10,"2862199",10,"174805",10,"174805","1"
"100937",10,"122404527",10,"252251854",10,"60949820",10,"83795962",10,"107506072",10,"66122063",10,"191302034",10,"18427626",10,"123850757",10,"27750121",10,"0",10,"51576441",10,"52963552",10,"0",10,"-1387111",10,"192689145",10,"0",10,"191302034",10,"378237",10,"273799",10,"256295",10,"321894",10,"9680256",10,"5641457",10,"16551938",10,"14100516",10,"0",10,"14276660",13,"0",13,"0",13,"0",10,"2917070",10,"260995",10,"32894",10,"11406976",13,"0",10,"12391965",13,"0",10,"8248399",13,"0",13,"0",10,"2041482",10,"51576441",10,"16682453",10,"7887912",10,"1864699",10,"1627268",10,"1926058",10,"786955",10,"2589561",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"3297151",10,"1090382",10,"389908",10,"375643",10,"444617",10,"181663",10,"814938",10,"7118796",10,"3136973",10,"900224",10,"1069382",10,"1265736",10,"517158",10,"229323",10,"8573206",10,"3288805",10,"814453",10,"247195",10,"292584",10,"119545",10,"3810624",10,"6136534",10,"359125",10,"101855",10,"1866678",10,"2209428",10,"902735",10,"696713",10,"245142",30,"",30,"",30,"",30,"",30,"",10,"245142",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",31,"",13,"0",13,"0",10,"-5186166",13,"0",13,"0",10,"5186166",10,"10910270",10,"0",10,"0",10,"0",10,"0",10,"0",10,"10910270",10,"52963552",10,"15763197",10,"4071139",31,"",10,"6138423",10,"2508056",10,"24482737",10,"123593848",10,"122404527","1"
"101073",10,"4520556",10,"17118641",10,"2360495",10,"8362425",10,"6395721",13,"0",10,"14758146",10,"400629",10,"12175239",10,"2099049",13,"0",10,"5777404",10,"6146831",10,"0",10,"-369427",10,"15127572",10,"1",10,"14758146",10,"2167685",10,"136976",13,"0",13,"0",10,"3232427",13,"0",10,"5537088",10,"3232427",13,"0",10,"1472881",13,"0",13,"0",13,"0",10,"1697635",13,"0",13,"0",10,"922828",13,"0",10,"287570",13,"0",10,"1200115",13,"0",13,"0",10,"196375",10,"5777404",10,"2570649",10,"1722133",10,"244979",13,"0",10,"41224",13,"0",10,"562313",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"324735",10,"160840",10,"24414",13,"0",13,"0",13,"0",10,"139481",10,"268773",10,"116046",10,"22774",13,"0",10,"38999",13,"0",10,"90954",10,"221309",10,"157248",10,"22765",13,"0",13,"0",13,"0",10,"41296",10,"1476763",10,"546614",10,"71505",13,"0",10,"58404",13,"0",10,"800240",10,"1132584",10,"203562",10,"40113",13,"0",10,"266582",13,"0",10,"622327",13,"0",30,"",30,"",30,"",30,"",30,"",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",31,"",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"152018",10,"0",10,"0",10,"0",10,"0",10,"0",10,"152018",10,"6146831",10,"2906443",10,"426550",31,"",10,"405209",13,"0",10,"2408629",10,"2700030",10,"2950030","1"
"101189",10,"14585859",10,"52142520",10,"18877260",10,"20937870",10,"12327390",10,"7693736",10,"33265260",10,"1255020",10,"30643748",10,"14705148",13,"0",10,"29772696",10,"27107208",10,"0",10,"2665488",10,"30599772",10,"0",10,"33265260",10,"3936870",10,"540169",10,"491372",13,"0",10,"301061",10,"3388012",10,"8657484",10,"3906716",10,"345261",10,"19020422",13,"0",13,"0",13,"0",10,"1859781",13,"0",13,"0",10,"5605757",13,"0",10,"1059649",13,"0",10,"1683544",13,"0",13,"0",10,"543543",10,"29772696",10,"11760482",10,"7233177",10,"1112606",10,"1220736",10,"721307",10,"252991",10,"1219665",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"2697594",10,"864476",10,"154289",10,"258509",10,"152747",10,"53575",10,"1213998",10,"5340044",10,"1937345",10,"337341",10,"488294",10,"288523",10,"101196",10,"2187345",10,"4677961",10,"2084434",10,"376618",10,"172339",10,"101832",10,"35716",10,"1907022",10,"2631127",10,"140172",10,"22867",10,"732441",10,"432784",10,"151795",10,"1151068",13,"0",30,"",30,"",30,"",30,"",30,"",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",31,"",13,"0",13,"0",10,"-2872319",13,"0",13,"0",10,"2872319",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"27107208",10,"12259604",10,"2003721",31,"",10,"1697193",10,"595273",10,"10551417",10,"14026385",10,"16667481","1"
"101435",10,"43110014",10,"74800889",10,"25424244",10,"2863611",10,"46513034",13,"0",10,"49376645",10,"3586849",10,"24782543",10,"11850155",13,"0",10,"24309499",10,"14376885",10,"0",10,"9932614",10,"39444031",10,"0",10,"49376645",10,"582212",10,"92714",10,"136620",13,"0",10,"2744559",10,"2070457",10,"5626562",10,"4815016",13,"0",10,"5485997",13,"0",13,"0",13,"0",10,"248000",13,"0",13,"0",10,"13240839",13,"0",10,"2538079",13,"0",10,"2625080",13,"0",13,"0",10,"171504",10,"24309499",10,"4911000",10,"2115843",10,"358563",10,"434254",10,"442332",10,"451597",10,"1108411",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"850825",10,"380692",10,"70568",10,"108563",10,"110583",10,"112899",10,"67520",10,"3812991",10,"1452976",10,"238263",10,"230697",10,"234969",10,"239911",10,"1416175",10,"2249443",10,"1371200",10,"235363",10,"67852",10,"69114",10,"70562",10,"435352",10,"2552626",13,"0",13,"0",10,"515677",10,"525291",10,"536271",10,"975387",13,"0",30,"",30,"",30,"",30,"",30,"",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",31,"",13,"0",13,"0",10,"-1357043",13,"0",13,"0",10,"1357043",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"14376885",10,"5320711",10,"902757",31,"",10,"1382289",10,"1411240",10,"5359888",10,"36047483",10,"43110014","1"
"101453",10,"5441457",10,"9130669",10,"2395967",10,"1696824",10,"5037878",10,"2844061",10,"6734702",10,"1037145",10,"2038739",10,"2096890",13,"0",10,"2941044",10,"2596516",10,"193758",10,"538286",10,"6196416",10,"0",10,"6734702",10,"115462",10,"12321",13,"0",13,"0",10,"114686",13,"0",10,"242469",10,"2189",13,"0",10,"594178",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1954846",10,"27884",10,"257899",10,"2980",10,"103257",13,"0",13,"0",10,"0",10,"2941044",10,"433556",10,"358249",13,"0",10,"39458",13,"0",13,"0",10,"35849",10,"5935",13,"0",13,"0",10,"457",13,"0",13,"0",10,"5478",10,"27174",13,"0",13,"0",10,"2473",13,"0",13,"0",10,"24701",10,"121546",10,"90126",10,"15183",10,"11062",13,"0",13,"0",10,"5175",10,"227791",10,"162108",13,"0",10,"20731",13,"0",13,"0",10,"44952",10,"1564292",10,"506789",10,"252229",10,"268471",13,"0",10,"74736",10,"462067",10,"101536",10,"17054",13,"0",10,"6705",13,"0",13,"0",10,"77777",10,"114686",30,"",30,"",30,"",30,"",30,"",10,"114686",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",31,"",13,"0",13,"0",10,"-349357",10,"156475",13,"0",10,"192882",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"2596516",10,"1134326",10,"267412",31,"",10,"156475",10,"74736",10,"963567",10,"3784861",10,"4050241","1"
"101541",10,"13289306",10,"37728174",10,"13929614",10,"4844029",10,"18954531",10,"15682659",10,"23798560",10,"1612025",10,"16073733",10,"5023927",10,"0",10,"9329861",10,"8120575",10,"0",10,"1209286",10,"22589274",10,"0",10,"23798560",10,"310212",10,"65558",10,"66135",10,"0",10,"552101",10,"602929",10,"1596935",10,"1155030",10,"0",10,"1404149",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"5140687",10,"0",10,"1068749",10,"0",10,"1415643",10,"0",10,"0",10,"300633",10,"9329861",10,"3402104",10,"1371960",10,"276201",10,"798805",10,"482442",10,"270401",10,"202295",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"432234",10,"248217",10,"92067",10,"0",10,"0",10,"0",10,"91950",10,"1253482",10,"738337",10,"92067",10,"0",10,"0",10,"75712",10,"347366",10,"1875799",10,"513011",10,"97635",10,"272768",10,"120610",10,"194688",10,"677087",10,"1156956",10,"324674",13,"0",10,"266633",10,"201017",10,"0",10,"364632",13,"0",30,"",30,"",30,"",30,"",30,"",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",31,"",10,"0",10,"0",10,"-1338206",10,"0",10,"0",10,"1338206",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"8120575",10,"3196199",10,"557970",31,"",10,"804069",10,"540801",10,"3021536",10,"14403098",10,"15438142","1"
"101648",10,"5007846",10,"7219785",10,"3340339",10,"2376769",10,"1502677",10,"1003573",10,"3879446",10,"0",10,"10901526",10,"329683",13,"0",10,"6446955",10,"6391151",10,"0",10,"55804",10,"3823642",10,"0",10,"3879446",10,"200635",13,"0",13,"0",13,"0",10,"305892",10,"366278",10,"872805",10,"200635",13,"0",10,"4143335",13,"0",10,"344049",13,"0",10,"35708",13,"0",13,"0",10,"1342067",13,"0",10,"141218",13,"0",10,"144180",30,"",30,"",10,"296398",10,"6446955",10,"2337552",10,"634555",10,"63525",10,"175000",13,"0",13,"0",10,"1464472",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"202250",10,"140070",10,"3124",13,"0",13,"0",13,"0",10,"59056",10,"967405",10,"409795",10,"40854",13,"0",13,"0",13,"0",10,"516756",10,"1456895",10,"579664",10,"57913",10,"387973",13,"0",10,"204165",10,"227180",10,"754879",10,"263397",10,"26263",10,"126210",13,"0",13,"0",10,"339009",10,"672170",30,"",30,"",30,"",30,"",30,"",10,"672170",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",31,"",10,"218024",10,"32791",10,"-689183",10,"438368",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"6391151",10,"2245505",10,"224470",31,"",10,"438368",10,"204165",10,"3278643",10,"806098",10,"976700","1"
"101675",10,"13107245",10,"55842629",10,"19218107",10,"28209083",10,"8415439",10,"2346442",10,"36624522",10,"1725072",10,"48977126",10,"12507656",13,"0",10,"21135524",10,"19562214",10,"0",10,"1573310",10,"35051212",10,"0",10,"36624522",10,"4785724",10,"582467",10,"276116",13,"0",10,"326214",10,"1037646",10,"7008167",10,"2886311",13,"0",10,"8504731",13,"0",13,"0",13,"0",10,"3702903",10,"274437",10,"69588",10,"2471588",10,"188045",10,"915562",13,"0",10,"4640808",13,"0",10,"367862",10,"0",10,"21135524",10,"7973345",10,"4525099",10,"371411",13,"0",13,"0",13,"0",10,"3076835",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"485694",10,"113650",10,"8695",13,"0",13,"0",13,"0",10,"363349",10,"900424",10,"446939",10,"33668",13,"0",13,"0",13,"0",10,"419817",10,"1589623",10,"708513",10,"44917",13,"0",13,"0",13,"0",10,"836193",10,"3914248",10,"775063",10,"43033",13,"0",13,"0",13,"0",10,"3096152",10,"4698880",10,"575126",10,"43901",13,"0",13,"0",13,"0",10,"4079853",13,"0",30,"",30,"",30,"",30,"",30,"",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",31,"",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"19562214",10,"7144390",10,"545625",31,"",13,"0",13,"0",10,"11872199",10,"7546486",10,"8031506","1"
"101693",10,"10919324",10,"40683529",10,"17541824",10,"8632667",10,"14509038",10,"10608761",10,"23141705",10,"812038",10,"24415500",10,"9468755",10,"0",10,"21461218",10,"19649917",10,"0",10,"1811301",10,"21330404",10,"0",10,"23141705",10,"1801295",10,"209929",10,"218649",10,"0",10,"963234",10,"4349041",10,"7542148",10,"7542148",10,"0",10,"11058388",10,"0",10,"0",10,"0",10,"209929",10,"0",10,"0",10,"6079693",10,"0",10,"606349",10,"0",10,"3225576",10,"0",10,"0",10,"281283",10,"21461218",10,"8503645",10,"5089600",10,"1572064",10,"729805",10,"384570",10,"267022",10,"460584",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"911998",10,"363356",10,"116449",10,"146740",10,"77324",10,"53689",10,"154440",10,"1416129",10,"764534",10,"252216",10,"59748",10,"31485",10,"21861",10,"286285",10,"4121463",10,"1932358",10,"539802",10,"259369",10,"136674",10,"94898",10,"1158362",10,"4696682",10,"786884",10,"240244",10,"1093563",10,"576252",10,"400114",10,"1599625",10,"0",30,"",30,"",30,"",30,"",30,"",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",31,"",10,"0",10,"0",10,"-2289225",10,"0",10,"0",10,"2289225",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"19649917",10,"8936732",10,"2720775",31,"",10,"1206305",10,"837584",10,"5948521",10,"9913787",10,"10938086","1"
