unitid,"xf1a01",f1a01,"xf1a02",f1a02,"xf1a03",f1a03,"xf1a04",f1a04,"xf1a05",f1a05,"xf1a06",f1a06,"xf1a07",f1a07,"xf1a08",f1a08,"xf1a09",f1a09,"xf1a10",f1a10,"xf1a11",f1a11,"xf1a12",f1a12,"xf1a13",f1a13,"xf1a14",f1a14,"xf1a15",f1a15,"xf1a16",f1a16,"xf1a17",f1a17,"xf1a18",f1a18,"xf1a211",f1a211,"xf1a212",f1a212,"xf1a213",f1a213,"xf1a214",f1a214,"xf1a221",f1a221,"xf1a222",f1a222,"xf1a223",f1a223,"xf1a224",f1a224,"xf1a231",f1a231,"xf1a232",f1a232,"xf1a233",f1a233,"xf1a234",f1a234,"xf1a241",f1a241,"xf1a242",f1a242,"xf1a243",f1a243,"xf1a244",f1a244,"xf1a251",f1a251,"xf1a252",f1a252,"xf1a253",f1a253,"xf1a254",f1a254,"xf1a261",f1a261,"xf1a262",f1a262,"xf1a263",f1a263,"xf1a264",f1a264,"xf1a271",f1a271,"xf1a272",f1a272,"xf1a273",f1a273,"xf1a274",f1a274,"xf1a281",f1a281,"xf1a282",f1a282,"xf1a283",f1a283,"xf1a284",f1a284,"xf1b01",f1b01,"xf1b02",f1b02,"xf1b03",f1b03,"xf1b04",f1b04,"xf1b05",f1b05,"xf1b06",f1b06,"xf1b07",f1b07,"xf1b08",f1b08,"xf1b09",f1b09,"xf1b10",f1b10,"xf1b11",f1b11,"xf1b12",f1b12,"xf1b13",f1b13,"xf1b14",f1b14,"xf1b15",f1b15,"xf1b16",f1b16,"xf1b17",f1b17,"xf1b18",f1b18,"xf1b19",f1b19,"xf1b20",f1b20,"xf1b21",f1b21,"xf1b22",f1b22,"xf1b23",f1b23,"xf1b24",f1b24,"xf1b25",f1b25,"xf1c011",f1c011,"xf1c012",f1c012,"xf1c013",f1c013,"xf1c014",f1c014,"xf1c015",f1c015,"xf1c021",f1c021,"xf1c022",f1c022,"xf1c023",f1c023,"xf1c024",f1c024,"xf1c025",f1c025,"xf1c031",f1c031,"xf1c032",f1c032,"xf1c033",f1c033,"xf1c034",f1c034,"xf1c035",f1c035,"xf1c051",f1c051,"xf1c052",f1c052,"xf1c053",f1c053,"xf1c054",f1c054,"xf1c055",f1c055,"xf1c061",f1c061,"xf1c062",f1c062,"xf1c063",f1c063,"xf1c064",f1c064,"xf1c065",f1c065,"xf1c071",f1c071,"xf1c072",f1c072,"xf1c073",f1c073,"xf1c074",f1c074,"xf1c075",f1c075,"xf1c081",f1c081,"xf1c082",f1c082,"xf1c083",f1c083,"xf1c084",f1c084,"xf1c085",f1c085,"xf1c091",f1c091,"xf1c094",f1c094,"xf1c101",f1c101,"xf1c102",f1c102,"xf1c103",f1c103,"xf1c104",f1c104,"xf1c105",f1c105,"xf1c111",f1c111,"xf1c112",f1c112,"xf1c113",f1c113,"xf1c114",f1c114,"xf1c115",f1c115,"xf1c121",f1c121,"xf1c122",f1c122,"xf1c123",f1c123,"xf1c124",f1c124,"xf1c125",f1c125,"xf1c131",f1c131,"xf1c132",f1c132,"xf1c133",f1c133,"xf1c134",f1c134,"xf1c135",f1c135,"xf1c141",f1c141,"xf1c142",f1c142,"xf1c143",f1c143,"xf1c144",f1c144,"xf1c145",f1c145,"xf1c151",f1c151,"xf1c152",f1c152,"xf1c153",f1c153,"xf1c154",f1c154,"xf1c155",f1c155,"xf1c161",f1c161,"xf1c165",f1c165,"xf1c171",f1c171,"xf1c172",f1c172,"xf1c173",f1c173,"xf1c174",f1c174,"xf1c175",f1c175,"xf1c181",f1c181,"xf1c182",f1c182,"xf1c183",f1c183,"xf1c184",f1c184,"xf1c185",f1c185,"xf1c191",f1c191,"xf1c192",f1c192,"xf1c193",f1c193,"xf1c194",f1c194,"xf1c195",f1c195,"xf1d01",f1d01,"xf1d02",f1d02,"xf1d03",f1d03,"xf1d04",f1d04,"xf1d05",f1d05,"xf1d06",f1d06,"xf1h01",f1h01,"xf1h02",f1h02,"xf1e01",f1e01,"xf1e02",f1e02,"xf1e03",f1e03,"xf1e04",f1e04,"xf1e05",f1e05,"xf1e06",f1e06,"xf1e07",f1e07,"xf1e08",f1e08,"xf1e09",f1e09,"xf1e10",f1e10,"xf1e11",f1e11,f1fha
"100654",10,"62676453",10,"169698990",10,"71943503",10,"0",10,"97755487",10,"160431940",10,"3186395",10,"35369946",10,"38556341",10,"67004618",10,"0",10,"67004618",10,"105560959",10,"50234939",10,"17240892",13,"0",10,"-12604850",10,"54870981",10,"4982207",13,"0",10,"0",10,"4982207",10,"0",13,"0",10,"0",13,"0",10,"138096694",10,"1489749",10,"0",10,"139586443",10,"9530319",10,"3274580",10,"2467159",10,"10337740",10,"9864824",10,"222565",10,"144937",10,"9942452",10,"0",13,"0",10,"0",13,"0",10,"2581990",10,"2448115",10,"179958",10,"4850147",10,"58399297",10,"13544206",10,"0",10,"71943503",10,"27026558",10,"31486643",10,"1998364",10,"2545123",10,"10284659",13,"0",13,"0",10,"6089409",10,"79430756",10,"3671069",10,"47173052",13,"0",13,"0",13,"0",13,"0",13,"0",10,"534898",10,"10688552",10,"62067571",10,"0",10,"0",10,"0",10,"0",10,"0",10,"141498327",10,"27584135",10,"21371681",10,"5301100",13,"0",10,"911354",10,"14288244",10,"7132937",10,"1210037",13,"0",10,"5945270",10,"13663757",10,"8167636",10,"1893005",13,"0",10,"3603116",10,"7272621",10,"4178305",10,"959745",13,"0",10,"2134571",10,"8831280",10,"4832212",10,"1133092",13,"0",10,"2865976",10,"20690943",10,"8102668",10,"3792388",13,"0",10,"8795887",10,"8911911",10,"2634154",10,"681037",13,"0",10,"5596720",10,"4313886",10,"4313886",10,"10682916",30,"",30,"",30,"",10,"10682916",10,"7226236",10,"2836170",10,"698082",13,"0",10,"3691984",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"123465929",10,"59255763",10,"15668486",10,"4313886",10,"44227794",10,"2905716",10,"2905716",10,"0",10,"0",10,"0",10,"0",10,"0",10,"2905716",10,"0",10,"0",10,"0",10,"2905716",10,"126371645",10,"59255763",10,"15668486",10,"4313886",10,"47133510",10,"141498327",10,"126371645",10,"15126682",10,"65012858",10,"-25268559",10,"54870981",30,"",30,"",10,"9024552",10,"1641034",13,"0",13,"0",13,"0",10,"8252369",10,"18917955",10,"8235039",10,"0",10,"8235039",10,"10682916","2"
"100663",10,"466265042",10,"2450033277",10,"1145141913",10,"1295154908",10,"2600046272",10,"3066311314",10,"23752344",10,"255734610",10,"279486954",10,"730001801",10,"16422623",10,"746424424",10,"1025911378",10,"641132403",10,"200883429",10,"276366236",10,"922017868",10,"2040399936",10,"66298669",10,"3902551",10,"30511",10,"70170709",10,"83575703",10,"4319332",10,"0",10,"87895035",10,"1486442658",10,"30268917",10,"2341945",10,"1514369630",10,"581405303",10,"41006551",10,"32160120",10,"590251734",10,"71282097",10,"5055250",10,"0",10,"76337347",10,"0",10,"0",10,"0",10,"0",10,"38961135",10,"83328193",10,"11280506",10,"111008822",10,"1063703490",10,"113834900",10,"32396477",10,"1145141913",10,"73518800",10,"335275830",10,"4755158",10,"51344743",10,"22757692",10,"828804649",10,"48085633",10,"46629295",10,"1411171800",10,"0",10,"310834004",10,"0",10,"10990240",10,"116072",10,"394283",10,"31294101",10,"156104687",10,"6599760",10,"516333147",10,"22542",10,"33860058",10,"14341518",10,"15796955",10,"64021073",10,"1991526020",10,"237877988",10,"169426173",10,"38053140",13,"0",10,"30398675",10,"239564967",10,"132872034",10,"30095181",13,"0",10,"76597752",10,"82292794",10,"40006111",10,"9306028",13,"0",10,"32980655",10,"119199542",10,"74521452",10,"20538427",13,"0",10,"24139663",10,"21778987",10,"11234397",10,"2564881",13,"0",10,"7979709",10,"97589610",10,"43854140",10,"27788101",13,"0",10,"25947369",10,"55576317",10,"21363213",10,"5585839",13,"0",10,"28627265",10,"113834900",10,"113834900",10,"22141254",30,"",30,"",30,"",10,"22141254",10,"33747516",10,"11364477",10,"3203364",13,"0",10,"19179675",10,"771005812",10,"334523690",10,"90783050",13,"0",10,"345699072",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1794609687",10,"839165687",10,"227918011",10,"113834900",10,"613691089",10,"28586537",10,"28586537",10,"898656",10,"0",10,"0",10,"0",10,"898656",10,"29485193",10,"0",10,"0",10,"0",10,"29485193",10,"1824094880",10,"839165687",10,"227918011",10,"113834900",10,"643176282",10,"1991526020",10,"1824094880",10,"167431140",10,"1872968796",10,"0",10,"2040399936",10,"337246637",10,"400677321",10,"8709060",10,"10843426",10,"71485",10,"574468",10,"4242451",10,"22362855",10,"46803745",10,"23891723",10,"770768",10,"24662491",10,"22141254","1"
"100706",10,"77949197",10,"327328393",10,"142769049",10,"61167756",10,"245727100",10,"323676297",10,"2060000",10,"33191760",10,"35251760",10,"54611000",10,"0",10,"54611000",10,"89862760",10,"130845956",10,"6788787",10,"1923979",10,"94254815",10,"233813537",10,"8723446",10,"1188541",10,"0",10,"9911987",10,"0",10,"0",10,"0",10,"0",10,"180333351",10,"4783563",10,"0",10,"185116914",10,"57655111",10,"2739478",10,"2085010",10,"58309579",10,"23584472",10,"1203066",10,"0",10,"24787538",10,"0",10,"0",10,"0",10,"0",10,"25518343",10,"23684032",10,"0",10,"49202375",10,"134656307",10,"9857345",10,"1744603",10,"142769049",10,"28771470",10,"50013378",10,"6337547",10,"8056488",10,"6455635",10,"0",10,"0",10,"2056537",10,"101691055",10,"0",10,"50675495",10,"0",10,"3839774",10,"0",10,"0",10,"1833485",10,"9277360",10,"4654",10,"65630768",10,"0",10,"28073275",10,"53863",10,"0",10,"28127138",10,"195448961",10,"43432555",10,"29590279",10,"8616597",10,"0",10,"5225679",10,"56019612",10,"34710985",10,"9079752",10,"0",10,"12228875",10,"1228713",10,"231874",10,"78449",10,"0",10,"918390",10,"6606014",10,"3983923",10,"1143440",10,"0",10,"1478651",10,"10236140",10,"4472341",10,"1219091",10,"0",10,"4544708",10,"14705918",10,"7913711",10,"3417478",10,"0",10,"3374729",10,"8150195",10,"3081584",10,"1078441",10,"0",10,"3990170",10,"9857345",10,"9857345",10,"211885",30,"",30,"",30,"",10,"211885",10,"4333935",10,"664725",10,"161045",10,"0",10,"3508165",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"154782312",10,"84649422",10,"24794293",10,"9857345",10,"35481252",10,"2450033",10,"2450033",10,"340407",10,"0",10,"0",10,"0",10,"340407",10,"2790440",10,"0",10,"0",10,"0",10,"2790440",10,"157572752",10,"84649422",10,"24794293",10,"9857345",10,"38271692",10,"195448961",10,"157572752",10,"37876209",10,"195937328",10,"0",10,"233813537",10,"41003772",10,"48412234",10,"3839774",10,"646073",10,"5251",10,"0",10,"871339",10,"4161808",10,"9524245",10,"8960358",10,"352002",10,"9312360",10,"211885","1"
"100724",10,"119835184",10,"170594375",10,"70055422",10,"5560450",10,"106099403",10,"225934587",10,"1895000",10,"16497880",10,"18392880",10,"97987968",10,"1931983",10,"99919951",10,"118312831",10,"68043836",10,"18708011",13,"0",10,"20869909",10,"107621756",10,"13773080",10,"519142",10,"0",10,"14292222",10,"7208634",13,"0",10,"0",10,"7208634",10,"87206435",13,"0",10,"0",10,"87206435",10,"21031904",10,"1173306",10,"344134",10,"21861076",10,"9007294",10,"238451",10,"0",10,"9245745",10,"0",13,"0",10,"0",13,"0",10,"15709934",10,"15070328",10,"0",10,"30780262",10,"66923368",10,"3443102",10,"311048",10,"70055422",10,"25525671",10,"24781152",10,"19155100",10,"1587374",10,"9784321",10,"0",10,"0",10,"2269942",10,"83103560",13,"0",10,"42327675",13,"0",13,"0",13,"0",13,"0",10,"337272",10,"5019215",10,"0",10,"47684162",13,"0",13,"0",13,"0",10,"0",10,"0",10,"130787722",10,"29346855",10,"21673733",10,"4760498",13,"0",10,"2912624",10,"1597896",10,"545025",10,"128618",13,"0",10,"924253",10,"3602777",10,"1296041",10,"296684",13,"0",10,"2010052",10,"6976456",10,"3737093",10,"874875",13,"0",10,"2364488",10,"10098330",10,"5367174",10,"1892020",13,"0",10,"2839136",10,"19682868",10,"7762462",10,"3358709",13,"0",10,"8561697",10,"8716878",10,"2227754",10,"702370",13,"0",10,"5786754",10,"3443102",10,"3443102",10,"13370478",30,"",30,"",30,"",10,"13370478",10,"8277965",10,"3219942",10,"982161",13,"0",10,"4075862",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"105113605",10,"45829224",10,"12995935",10,"3443102",10,"42845344",10,"4540747",10,"4540747",10,"317766",10,"0",10,"0",10,"0",10,"317766",10,"4858513",10,"0",10,"0",10,"0",10,"4858513",10,"109972118",10,"45829224",10,"12995935",10,"3443102",10,"47703857",10,"130787722",10,"109972118",10,"20815604",10,"86806152",10,"0",10,"107621756",10,"46135768",10,"52466420",10,"10939691",10,"448207",10,"8508",13,"0",10,"1974072",10,"5310599",10,"18681077",10,"2920830",10,"2389769",10,"5310599",10,"13370478","1"
"100733",10,"5174484",10,"2712107",10,"1756563",10,"5740508",10,"6696052",10,"11870536",10,"0",10,"2026610",10,"2026610",10,"0",10,"0",10,"0",10,"2026610",10,"955544",10,"0",10,"0",10,"8888382",10,"9843926",10,"106750",13,"0",10,"0",10,"106750",10,"56543",13,"0",10,"0",10,"56543",10,"1906216",13,"0",10,"155338",10,"1750878",10,"822461",10,"10946",10,"35471",10,"797936",10,"0",13,"0",10,"0",10,"0",10,"0",13,"0",10,"0",10,"0",10,"0",13,"0",10,"0",10,"0",10,"1749588",10,"179261",10,"172286",10,"1756563",10,"0",10,"0",10,"0",10,"0",10,"0",30,"",30,"",10,"11560736",10,"11560736",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"362005",10,"-31814",10,"330191",10,"0",10,"0",10,"0",10,"0",10,"0",10,"11890927",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"11402381",10,"7274168",10,"2363525",10,"162954",10,"1601734",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",30,"",30,"",30,"",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"0",10,"0",10,"0",10,"0",10,"0",10,"11402381",10,"7274168",10,"2363525",10,"162954",10,"1601734",13,"0",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"11402381",10,"7274168",10,"2363525",10,"162954",10,"1601734",10,"11890927",10,"11402381",10,"488546",10,"9355380",10,"0",10,"9843926",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"","2"
"100751",10,"271633996",10,"1148559000",10,"371410252",10,"806785307",10,"1583934055",10,"1855568051",10,"8449140",10,"163232733",10,"171681873",10,"368695796",10,"14816795",10,"383512591",10,"555194464",10,"418421868",10,"360066581",10,"243961838",10,"277923300",10,"1300373587",10,"22832693",10,"9507472",10,"4250",10,"32335915",10,"23921462",10,"1358102",10,"42488",10,"25237076",10,"716705510",10,"108835894",10,"17771836",10,"807769568",10,"107977115",10,"8096730",10,"9003111",10,"107070734",10,"99775379",10,"3474503",10,"1322",10,"103248560",10,"0",10,"0",10,"0",10,"0",10,"112312973",10,"95287026",10,"134702852",10,"72897147",10,"351000027",10,"27087074",10,"6676849",10,"371410252",10,"162616724",10,"57291890",10,"18610072",10,"4670904",10,"88346775",10,"0",10,"0",10,"33506712",10,"365043077",10,"0",10,"171299493",10,"0",10,"0",10,"250000",10,"613633",10,"34709913",10,"112172853",10,"0",10,"319045892",10,"0",10,"7423318",10,"15922925",10,"0",10,"23346243",10,"707435212",10,"168532917",10,"110663897",10,"32357758",10,"0",10,"25511262",10,"31791020",10,"11017729",10,"2809559",10,"0",10,"17963732",10,"37405526",10,"20709711",10,"5746797",10,"0",10,"10949018",10,"57117239",10,"31723282",10,"8407001",10,"0",10,"16986956",10,"25295628",10,"13681318",10,"3533481",10,"0",10,"8080829",10,"55260521",10,"26712798",10,"13725959",10,"0",10,"14821764",10,"45050460",10,"23982783",10,"7631531",10,"0",10,"13436146",10,"27087074",10,"27087074",10,"14507194",30,"",30,"",30,"",10,"14507194",10,"87105694",10,"27690667",10,"6450444",10,"0",10,"52964583",10,"0",13,"0",13,"0",13,"0",10,"0",10,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"549153273",10,"266182185",10,"80662530",10,"27087074",10,"175221484",10,"15838791",10,"15838791",10,"435604",10,"0",10,"0",10,"0",10,"435604",10,"16274395",10,"0",10,"0",10,"0",10,"16274395",10,"565427668",10,"266182185",10,"80662530",10,"27087074",10,"191495879",10,"707435212",10,"565427668",10,"142007544",10,"1158366043",10,"0",10,"1300373587",10,"445817333",10,"516495678",10,"9797048",10,"4415035",10,"95845",10,"0",10,"10191543",10,"35992420",10,"60491891",10,"40604147",10,"5380550",10,"45984697",10,"14507194","1"
"100760",10,"8759848",10,"30150731",10,"11084381",10,"2466858",10,"21533208",10,"30293056",10,"350000",10,"1942084",10,"2292084",10,"7700000",10,"603524",10,"8303524",10,"10595608",10,"12853673",10,"1212179",10,"500",10,"5631096",10,"19697448",10,"1331474",10,"287500",10,"0",10,"1618974",10,"1297632",10,"529999",10,"0",10,"1827631",10,"23646935",10,"83679",10,"0",10,"23730614",10,"4010284",10,"175275",10,"219377",10,"3966182",10,"511652",10,"14816",10,"4500",10,"521968",10,"0",10,"0",10,"0",13,"0",10,"236149",10,"481865",10,"613678",10,"104336",10,"10115010",10,"1214689",10,"245318",10,"11084381",10,"2754655",10,"5761868",10,"384071",10,"189086",10,"890667",30,"",30,"",10,"11689",10,"9992036",10,"0",10,"9034391",10,"10000",10,"0",10,"0",10,"0",10,"183009",10,"340757",10,"216997",10,"9785154",10,"0",10,"194372",10,"0",10,"0",10,"194372",10,"19971562",10,"8119515",10,"5577823",10,"1436655",10,"0",10,"1105037",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"903839",10,"595604",10,"185627",10,"0",10,"122608",10,"1514416",10,"927664",10,"302529",10,"0",10,"284223",10,"1619750",10,"838281",10,"364806",10,"0",10,"416663",10,"1438311",10,"362826",10,"152330",10,"0",10,"923155",10,"1214689",10,"1214689",10,"2204292",30,"",30,"",30,"",10,"2204292",10,"1560871",10,"418926",10,"140358",10,"0",10,"1001587",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"0",10,"0",10,"0",10,"0",10,"0",10,"18575683",10,"8721124",10,"2582305",10,"1214689",10,"6057565",10,"366545",10,"366545",10,"472081",10,"0",10,"0",10,"0",10,"472081",10,"838626",10,"0",10,"0",10,"0",10,"838626",10,"19414309",10,"8721124",10,"2582305",10,"1214689",10,"6896191",10,"19971562",10,"19414309",10,"557253",10,"19118755",10,"21440",10,"19697448",10,"5056",10,"186521",10,"3378071",10,"68223",10,"13700",10,"0",10,"6923",10,"1212657",10,"4679574",10,"2475282",10,"0",10,"2475282",10,"2204292","1"
"100812",10,"25016469",10,"22055464",10,"9203046",10,"159198",10,"13011616",10,"38028085",10,"430000",10,"3166719",10,"3596719",10,"12865000",10,"723218",10,"13588218",10,"17184937",10,"10807418",10,"465003",13,"0",10,"9570727",10,"20843148",10,"642268",10,"54000",10,"0",10,"696268",10,"1071677",10,"20700",10,"0",10,"1092377",10,"16104896",10,"651669",10,"0",10,"16756565",10,"2329797",10,"81069",10,"16752",10,"2394114",10,"984967",10,"42310",10,"11792",10,"1015485",10,"0",10,"0",10,"0",10,"0",10,"286543",10,"137310",10,"323197",10,"100656",10,"8512466",10,"719124",10,"28544",10,"9203046",10,"4940298",10,"12597721",10,"1202501",10,"9875",10,"202185",10,"0",10,"0",10,"9700",10,"18962280",10,"0",10,"13463281",10,"0",10,"0",10,"0",10,"0",10,"0",10,"553992",10,"25272",10,"14042545",10,"0",10,"0",10,"0",10,"0",10,"0",10,"33004825",10,"12030057",10,"8634847",10,"2321127",13,"0",10,"1074083",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1585057",10,"1058761",10,"329475",13,"0",10,"196821",10,"1898037",10,"1361050",10,"452640",13,"0",10,"84347",10,"4080010",10,"1913718",10,"735562",13,"0",10,"1430730",10,"2595363",10,"1122677",10,"444881",13,"0",10,"1027805",10,"719124",10,"719124",10,"7224329",30,"",30,"",30,"",10,"7224329",10,"62352",10,"25142",10,"4136",13,"0",10,"33074",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"30194329",10,"14116195",10,"4287821",10,"719124",10,"11071189",10,"176577",10,"176577",10,"427669",10,"0",10,"0",10,"0",10,"427669",10,"604246",10,"0",10,"0",10,"0",10,"604246",10,"30798575",10,"14116195",10,"4287821",10,"719124",10,"11675435",10,"33004825",10,"30798575",10,"2206250",10,"18630733",10,"6165",10,"20843148",10,"1019950",10,"1254890",10,"2461126",10,"10062502",10,"27500",10,"0",10,"0",10,"345115",10,"12896243",10,"5671914",10,"0",10,"5671914",10,"7224329","1"
"100830",10,"18270505",10,"86589680",10,"47530986",10,"30496584",10,"69555278",10,"87825783",10,"250000",10,"13959114",10,"14209114",10,"1350000",10,"1370775",10,"2720775",10,"16929889",10,"34803338",10,"24597522",10,"4828156",10,"6666878",10,"70895894",10,"1085032",10,"0",10,"0",10,"1085032",10,"1471207",10,"0",10,"0",10,"1471207",10,"54089618",10,"61434",10,"0",10,"54151052",10,"4872055",10,"770419",10,"309554",10,"5332920",10,"21016145",10,"855999",10,"322675",10,"21549469",10,"0",13,"0",10,"0",13,"0",10,"0",13,"0",10,"0",13,"0",10,"44856777",10,"2674209",10,"0",10,"47530986",10,"16884070",10,"5875332",10,"17886179",10,"340032",10,"4354001",10,"0",10,"0",10,"4036597",10,"49376211",10,"0",10,"27210846",13,"0",13,"0",13,"0",13,"0",10,"18703898",10,"1486749",10,"0",10,"47401493",10,"0",10,"41429",10,"24520",10,"0",10,"65949",10,"96843653",10,"22482200",10,"17501903",10,"3753416",13,"0",10,"1226881",10,"208566",10,"57556",10,"13714",13,"0",10,"137296",10,"23149754",10,"2902271",10,"545382",13,"0",10,"19702101",10,"4367599",10,"2841581",10,"607926",13,"0",10,"918092",10,"3825905",10,"2319225",10,"484853",13,"0",10,"1021827",10,"6748069",10,"3906325",10,"1771152",13,"0",10,"1070592",10,"4649920",10,"1406716",10,"439534",13,"0",10,"2803670",10,"2674209",10,"2674209",10,"2280314",30,"",30,"",30,"",10,"2280314",10,"6039881",10,"890373",10,"92389",13,"0",10,"5057119",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"76426417",10,"31825950",10,"7708366",10,"2674209",10,"34217892",10,"45346",10,"45346",10,"0",10,"0",10,"0",10,"0",10,"0",10,"45346",10,"0",10,"0",10,"0",10,"45346",10,"76471763",10,"31825950",10,"7708366",10,"2674209",10,"34263238",10,"96843653",10,"76471763",10,"20371890",10,"50524004",10,"0",10,"70895894",10,"23888763",10,"37037175",10,"3801524",10,"240032",10,"212035",10,"0",10,"407178",10,"1917726",10,"6578495",10,"3789534",10,"508647",10,"4298181",10,"2280314","1"
"100858",10,"190251899",10,"1143739832",10,"500713370",10,"662247731",10,"1305274193",10,"1495526092",10,"14563637",10,"166651242",10,"181214879",10,"310965826",10,"38701655",10,"349667481",10,"530882360",10,"441675751",10,"110094095",10,"18121550",10,"394752336",10,"964643732",10,"53917393",10,"5557460",10,"2133981",10,"57340872",10,"127040996",10,"8383826",10,"16392547",10,"119032275",10,"635834117",10,"78467612",10,"4150000",10,"710151729",10,"151867799",10,"15455819",10,"3710989",10,"163612629",10,"110350433",10,"6441426",10,"71080",10,"116720779",10,"0",10,"0",10,"0",10,"0",10,"42246317",10,"78310250",10,"68014550",10,"52542017",10,"472703210",10,"34460577",10,"6450417",10,"500713370",10,"202643450",10,"96336752",10,"6284327",10,"13455427",10,"60988458",10,"0",10,"0",10,"31855129",10,"411563543",10,"0",10,"261040063",10,"0",10,"0",10,"0",10,"0",10,"36109765",10,"50137190",10,"0",10,"347287018",10,"108492",10,"22372954",10,"187513",10,"0",10,"22668959",10,"781519520",10,"172451254",10,"125927489",10,"27277269",13,"0",10,"19246496",10,"94458796",10,"52386009",10,"10842065",13,"0",10,"31230722",10,"83118099",10,"37370791",10,"17076950",13,"0",10,"28670358",10,"37959645",10,"23873441",10,"5090974",13,"0",10,"8995230",10,"12471822",10,"6471912",10,"1298083",13,"0",10,"4701827",10,"48773681",10,"9697886",10,"5012481",13,"0",10,"34063314",10,"53262048",10,"15925637",10,"4812006",13,"0",10,"32524405",10,"34460577",10,"34460577",10,"23971444",30,"",30,"",30,"",10,"23971444",10,"69964403",10,"23352110",10,"4587305",13,"0",10,"42024988",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"630891769",10,"295005275",10,"75997133",10,"34460577",10,"225428784",10,"11916872",10,"11916872",10,"0",10,"0",10,"0",10,"0",10,"0",10,"11916872",10,"0",10,"0",10,"0",10,"11916872",10,"642808641",10,"295005275",10,"75997133",10,"34460577",10,"237345656",10,"781519520",10,"642808641",10,"138710879",10,"825932853",10,"0",10,"964643732",10,"378570463",10,"450973253",10,"7568671",10,"1783649",10,"0",10,"0",10,"7394588",10,"44695755",10,"61442663",10,"35951098",10,"1520121",10,"37471219",10,"23971444","1"
