unitid,"xf2a01",f2a01,"xf2a02",f2a02,"xf2a03",f2a03,"xf2a03a",f2a03a,"xf2a04",f2a04,"xf2a05",f2a05,"xf2a05a",f2a05a,"xf2a05b",f2a05b,"xf2a06",f2a06,"xf2a11",f2a11,"xf2a12",f2a12,"xf2a13",f2a13,"xf2a14",f2a14,"xf2a15",f2a15,"xf2a16",f2a16,"xf2a17",f2a17,"xf2a18",f2a18,"xf2a19",f2a19,f2a20,"xf2a20","xf2b01",f2b01,"xf2b02",f2b02,"xf2b03",f2b03,"xf2b04",f2b04,"xf2b05",f2b05,"xf2b06",f2b06,"xf2b07",f2b07,"xf2c01",f2c01,"xf2c02",f2c02,"xf2c03",f2c03,"xf2c04",f2c04,"xf2c05",f2c05,"xf2c06",f2c06,"xf2c07",f2c07,"xf2c08",f2c08,"xf2c09",f2c09,"xf2d01",f2d01,"xf2d012",f2d012,"xf2d013",f2d013,"xf2d014",f2d014,"xf2d02",f2d02,"xf2d022",f2d022,"xf2d023",f2d023,"xf2d024",f2d024,"xf2d03",f2d03,"xf2d032",f2d032,"xf2d033",f2d033,"xf2d034",f2d034,"xf2d04",f2d04,"xf2d042",f2d042,"xf2d043",f2d043,"xf2d044",f2d044,"xf2d05",f2d05,"xf2d052",f2d052,"xf2d053",f2d053,"xf2d054",f2d054,"xf2d06",f2d06,"xf2d062",f2d062,"xf2d063",f2d063,"xf2d064",f2d064,"xf2d07",f2d07,"xf2d072",f2d072,"xf2d073",f2d073,"xf2d074",f2d074,"xf2d08",f2d08,"xf2d082",f2d082,"xf2d083",f2d083,"xf2d084",f2d084,"xf2d08a",f2d08a,"xf2d082a",f2d082a,"xf2d083a",f2d083a,"xf2d084a",f2d084a,"xf2d08b",f2d08b,"xf2d082b",f2d082b,"xf2d083b",f2d083b,"xf2d084b",f2d084b,"xf2d09",f2d09,"xf2d092",f2d092,"xf2d093",f2d093,"xf2d094",f2d094,"xf2d10",f2d10,"xf2d102",f2d102,"xf2d103",f2d103,"xf2d104",f2d104,"xf2d11",f2d11,"xf2d112",f2d112,"xf2d12",f2d12,"xf2d122",f2d122,"xf2d13",f2d13,"xf2d132",f2d132,"xf2d14",f2d14,"xf2d142",f2d142,"xf2d143",f2d143,"xf2d144",f2d144,"xf2d15",f2d15,"xf2d152",f2d152,"xf2d153",f2d153,"xf2d154",f2d154,"xf2d16",f2d16,"xf2d162",f2d162,"xf2d163",f2d163,"xf2d164",f2d164,"xf2d172",f2d172,"xf2d173",f2d173,"xf2d182",f2d182,"xf2d183",f2d183,"xf2d184",f2d184,"xf2e011",f2e011,"xf2e012",f2e012,"xf2e013",f2e013,"xf2e014",f2e014,"xf2e015",f2e015,"xf2e016",f2e016,"xf2e017",f2e017,"xf2e021",f2e021,"xf2e022",f2e022,"xf2e023",f2e023,"xf2e024",f2e024,"xf2e025",f2e025,"xf2e026",f2e026,"xf2e027",f2e027,"xf2e031",f2e031,"xf2e032",f2e032,"xf2e033",f2e033,"xf2e034",f2e034,"xf2e035",f2e035,"xf2e036",f2e036,"xf2e037",f2e037,"xf2e041",f2e041,"xf2e042",f2e042,"xf2e043",f2e043,"xf2e044",f2e044,"xf2e045",f2e045,"xf2e046",f2e046,"xf2e047",f2e047,"xf2e051",f2e051,"xf2e052",f2e052,"xf2e053",f2e053,"xf2e054",f2e054,"xf2e055",f2e055,"xf2e056",f2e056,"xf2e057",f2e057,"xf2e061",f2e061,"xf2e062",f2e062,"xf2e063",f2e063,"xf2e064",f2e064,"xf2e065",f2e065,"xf2e066",f2e066,"xf2e067",f2e067,"xf2e071",f2e071,"xf2e072",f2e072,"xf2e073",f2e073,"xf2e074",f2e074,"xf2e075",f2e075,"xf2e076",f2e076,"xf2e077",f2e077,"xf2e081",f2e081,"xf2e082",f2e082,"xf2e083",f2e083,"xf2e084",f2e084,"xf2e085",f2e085,"xf2e086",f2e086,"xf2e087",f2e087,"xf2e091",f2e091,"xf2e092",f2e092,"xf2e093",f2e093,"xf2e094",f2e094,"xf2e095",f2e095,"xf2e096",f2e096,"xf2e097",f2e097,"xf2e101",f2e101,"xf2e102",f2e102,"xf2e103",f2e103,"xf2e104",f2e104,"xf2e105",f2e105,"xf2e106",f2e106,"xf2e107",f2e107,"xf2e111",f2e111,"xf2e112",f2e112,"xf2e113",f2e113,"xf2e114",f2e114,"xf2e115",f2e115,"xf2e116",f2e116,"xf2e117",f2e117,"xf2e121",f2e121,"xf2e122",f2e122,"xf2e123",f2e123,"xf2e124",f2e124,"xf2e125",f2e125,"xf2e126",f2e126,"xf2e127",f2e127,"xf2e131",f2e131,"xf2e132",f2e132,"xf2e133",f2e133,"xf2e134",f2e134,"xf2e135",f2e135,"xf2e136",f2e136,"xf2e137",f2e137,"xf2h01",f2h01,"xf2h02",f2h02,f2fha
"100690",10,"1730993",10,"6885075",10,"1681051",30,"",10,"4564869",10,"639155",13,"0",30,"",10,"5204024",10,"1219182",10,"1403378",10,"3295847",13,"0",30,"",30,"",30,"",30,"",30,"","",30,10,"8902083",10,"8375795",10,"0",10,"526288",10,"4677736",10,"0",10,"5204024",10,"583695",10,"55279",13,"0",13,"0",10,"0",10,"330179",10,"969153",10,"330179",13,"0",10,"6632979",30,"",30,"",30,"",13,"0",30,"",30,"",30,"",13,"0",30,"",30,"",30,"",13,"0",30,"",30,"",30,"",10,"55279",30,"",30,"",30,"",13,"0",30,"",30,"",30,"",13,"0",30,"",30,"",30,"",10,"1039573",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",13,"0",30,"",30,"",30,"",10,"88547",30,"",30,"",30,"",13,"0",30,"",13,"0",30,"",13,"0",30,"",13,"0",30,"",30,"",30,"",10,"1085705",30,"",30,"",30,"",10,"8902083",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"3237030",10,"1917185",10,"87258",10,"204409",13,"0",13,"0",10,"1028178",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"165430",10,"123428",10,"5633",10,"14601",13,"0",13,"0",10,"21768",10,"749266",10,"567027",10,"51328",10,"53536",13,"0",13,"0",10,"77375",10,"4224069",10,"967377",10,"523345",10,"214142",10,"162712",13,"0",10,"2356493",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",30,"",30,"",30,"",30,"",30,"",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",10,"-486688",13,"0",13,"0",10,"486688",10,"0",10,"0",10,"0",10,"0",10,"0",13,"0",10,"0",10,"8375795",10,"3575017",10,"667564",10,"0",10,"162712",13,"0",10,"3970502",10,"174805",10,"174805","1"
"100937",10,"101016991",10,"244773436",10,"69995207",30,"",10,"62243272",10,"112534957",10,"76803446",30,"",10,"174778229",10,"20396058",10,"144040745",10,"23523171",10,"0",30,"",30,"",30,"",30,"",30,"","",30,10,"37368059",10,"56909025",10,"533009",10,"-19007957",10,"193786186",10,"0",10,"174778229",10,"649272",10,"268508",10,"0",10,"79251",10,"10936117",10,"4973900",10,"16907048",10,"15769891",10,"0",10,"16907048",30,"",30,"",30,"",10,"0",30,"",30,"",30,"",10,"0",30,"",30,"",30,"",10,"0",30,"",30,"",30,"",10,"1536830",30,"",30,"",30,"",10,"2784",30,"",30,"",30,"",10,"81923",30,"",30,"",30,"",10,"8625743",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"0",30,"",30,"",30,"",10,"-303287",30,"",30,"",30,"",10,"0",30,"",10,"9357158",30,"",10,"0",30,"",10,"0",30,"",30,"",30,"",10,"1159860",30,"",30,"",30,"",10,"37368059",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"15925543",10,"8118350",10,"2448095",10,"1358903",10,"2070294",10,"1055407",10,"874494",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"3693994",10,"1252520",10,"463571",10,"271764",10,"414033",10,"211068",10,"1081038",10,"11736432",10,"3672244",10,"1194748",10,"964495",10,"1469412",10,"749086",10,"3686447",10,"9898966",10,"3813902",10,"1185447",10,"288890",10,"440125",10,"224370",10,"3946232",10,"13338804",10,"441288",10,"163596",10,"1669046",10,"2542798",10,"1296283",10,"7225793",10,"1137157",30,"",30,"",30,"",30,"",30,"",10,"1137157",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"-4553098",10,"0",10,"0",10,"4553098",10,"1178129",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1178129",10,"56909025",10,"17298304",10,"5455457",10,"0",10,"6936662",10,"3536214",10,"23682388",10,"115349967",10,"101016991","1"
"101073",10,"4488973",10,"15985709",10,"2311353",30,"",10,"7423357",10,"6250999",10,"1479961",30,"",10,"13674356",10,"1134073",10,"11790674",10,"2204205",10,"0",30,"",30,"",30,"",30,"",30,"","",30,10,"6090996",10,"7173585",10,"0",10,"-1082589",10,"14756945",10,"0",10,"13674356",10,"1483079",10,"265013",10,"200833",10,"0",10,"1349045",10,"0",10,"3297970",10,"1349045",10,"0",10,"1631637",30,"",30,"",30,"",10,"0",30,"",30,"",30,"",13,"0",30,"",30,"",30,"",13,"0",30,"",30,"",30,"",10,"2012339",30,"",30,"",30,"",13,"0",30,"",30,"",30,"",13,"0",30,"",30,"",30,"",10,"202496",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"1902324",30,"",30,"",30,"",10,"-153288",30,"",30,"",30,"",13,"0",30,"",10,"495488",30,"",13,"0",30,"",13,"0",30,"",30,"",30,"",10,"0",30,"",30,"",30,"",10,"6090996",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"2415701",10,"852908",10,"137023",10,"0",10,"39918",13,"0",10,"1385852",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"398937",10,"146350",10,"20090",10,"0",10,"0",13,"0",10,"232497",10,"445865",10,"225285",10,"51600",10,"0",10,"20793",13,"0",10,"148187",10,"315996",10,"232005",10,"17753",10,"0",13,"0",13,"0",10,"66238",10,"1919549",10,"1034862",10,"219047",10,"0",10,"315717",13,"0",10,"349923",10,"1677537",10,"280200",10,"60330",10,"0",10,"0",13,"0",10,"1337007",13,"0",30,"",30,"",30,"",30,"",30,"",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"7173585",10,"2771610",10,"505843",10,"0",10,"376428",10,"0",10,"3519704",10,"2950030",10,"2650030","1"
"101189",10,"16690796",10,"78782786",10,"42001937",10,"26135750",10,"23033012",10,"13747837",10,"9771078",10,"3976759",10,"36780849",10,"2463373",10,"43972538",10,"17090577",30,"",10,"49610",13,"0",10,"63576098",10,"21723559",10,"41852539","1753849",10,10,"34730385",10,"34724540",10,"0",10,"5845",10,"36775004",10,"0",10,"36780849",10,"4825418",10,"554240",10,"1199673",13,"0",10,"465619",10,"4896561",10,"11941511",10,"5440874",10,"549958",10,"25805017",10,"25805017",10,"0",10,"0",10,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",10,"1516975",10,"181245",10,"1335730",10,"0",10,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",10,"3559490",10,"1383372",10,"2089555",10,"86563",10,"3559490",10,"1383372",10,"2089555",10,"86563",10,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",10,"523353",10,"811002",10,"343004",10,"-630653",10,"0",13,"0",10,"2608213",10,"2608213",10,"0",13,"0",10,"0",13,"0",13,"0",13,"0",10,"717337",10,"682806",10,"34531",10,"0",10,"34730385",10,"31471655",10,"3802820",10,"-544090",10,"3430474",10,"-3430474",10,"34902129",10,"372346",10,"-544090",10,"13999849",10,"8497514",10,"1441755",10,"1311536",10,"775033",10,"412864",10,"1561147",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"3051806",10,"939510",10,"187235",10,"283576",10,"167575",10,"89268",10,"1384642",10,"8062465",10,"2346472",10,"466438",10,"779834",10,"460830",10,"245486",10,"3763405",10,"5967136",10,"2414837",10,"464020",10,"177235",10,"104734",10,"55792",10,"2750518",10,"3643284",10,"143486",10,"25530",10,"992515",10,"586511",10,"312437",10,"1582805",13,"0",30,"",30,"",30,"",30,"",30,"",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",10,"-3544696",13,"0",13,"0",10,"3544696",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"34724540",10,"14341819",10,"2584978",10,"0",10,"2094683",10,"1115847",10,"14587213",10,"18531941",10,"17000754","1"
"101435",10,"47930394",10,"79011439",10,"26274883",30,"",10,"3947822",10,"48788734",10,"47035277",30,"",10,"52736556",10,"5339031",10,"27627885",10,"9068662",10,"0",30,"",30,"",30,"",30,"",30,"","",30,10,"14504054",10,"17149742",10,"0",10,"-2645688",10,"55376698",10,"5546",10,"52736556",10,"795808",10,"195639",10,"367168",13,"0",10,"3536795",10,"2872650",10,"7768060",10,"6409445",10,"0",10,"6996622",30,"",30,"",30,"",13,"0",30,"",30,"",30,"",13,"0",30,"",30,"",30,"",13,"0",30,"",30,"",30,"",10,"95174",30,"",30,"",30,"",13,"0",30,"",30,"",30,"",13,"0",30,"",30,"",30,"",10,"3657801",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",13,"0",30,"",30,"",30,"",10,"491329",30,"",30,"",30,"",13,"0",30,"",10,"3013820",30,"",13,"0",30,"",13,"0",30,"",30,"",30,"",10,"249308",30,"",30,"",30,"",10,"14504054",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"5748688",10,"2839936",10,"460730",10,"699997",10,"503383",10,"333627",10,"911015",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1050253",10,"493094",10,"84989",10,"116666",10,"83897",10,"55605",10,"216002",10,"4848442",10,"1840421",10,"383699",10,"388887",10,"279657",10,"185349",10,"1770429",10,"2664344",10,"1358541",10,"249325",10,"116666",10,"83897",10,"55605",10,"800310",10,"2838015",13,"0",13,"0",10,"622221",10,"447453",10,"296557",10,"1471784",13,"0",30,"",30,"",30,"",30,"",30,"",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",10,"-1944437",13,"0",13,"0",10,"1944437",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"17149742",10,"6531992",10,"1178743",10,"0",10,"1398287",10,"926743",10,"7113977",10,"47857377",10,"47035277","1"
"101453",10,"7566024",10,"11983257",10,"2833237",30,"",10,"2101716",10,"7048304",10,"4095049",30,"",10,"9150020",10,"1187906",10,"2571564",10,"2502847",13,"0",30,"",30,"",30,"",30,"",30,"","",30,10,"2236266",10,"2823334",10,"0",10,"-587068",10,"9737088",10,"0",10,"9150020",10,"103336",10,"13773",13,"0",13,"0",10,"127442",13,"0",10,"244551",10,"5962",13,"0",10,"480817",30,"",30,"",30,"",13,"0",30,"",30,"",30,"",13,"0",30,"",30,"",30,"",13,"0",30,"",30,"",30,"",10,"0",30,"",30,"",30,"",13,"0",30,"",30,"",30,"",13,"0",30,"",30,"",30,"",10,"2184006",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"25200",30,"",30,"",30,"",10,"-586379",30,"",30,"",30,"",10,"51620",30,"",10,"81002",30,"",13,"0",30,"",13,"0",30,"",30,"",30,"",10,"0",30,"",30,"",30,"",10,"2236266",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"549365",10,"419640",13,"0",10,"44124",13,"0",13,"0",10,"85601",10,"10583",13,"0",13,"0",10,"847",13,"0",13,"0",10,"9736",10,"21081",13,"0",13,"0",10,"1693",13,"0",13,"0",10,"19388",10,"123927",10,"70000",10,"4916",10,"9954",13,"0",13,"0",10,"39057",10,"242216",10,"162845",13,"0",10,"19455",13,"0",13,"0",10,"59916",10,"1285879",10,"561495",10,"214634",10,"293538",13,"0",10,"71021",10,"145191",10,"90696",10,"10125",13,"0",10,"7256",13,"0",13,"0",10,"73315",10,"127442",30,"",30,"",30,"",30,"",30,"",10,"127442",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",10,"-376867",10,"197511",13,"0",10,"179356",10,"372145",10,"0",10,"0",10,"0",10,"0",10,"0",10,"372145",10,"2823334",10,"1224105",10,"219550",10,"0",10,"197511",10,"71021",10,"1111147",10,"6306173",10,"5771294","1"
"101541",10,"14299238",10,"32310975",10,"10522207",30,"",10,"5000534",10,"16788234",10,"15247371",30,"",10,"21788768",10,"2718065",10,"16777534",10,"4362800",10,"0",30,"",30,"",30,"",30,"",30,"","",30,10,"6122479",10,"8253047",10,"0",10,"-2130568",10,"23919336",10,"0",10,"21788768",10,"300309",10,"96686",10,"168978",10,"0",10,"831776",10,"390795",10,"1788544",10,"1222571",10,"0",10,"1598417",30,"",30,"",30,"",10,"0",30,"",30,"",30,"",10,"0",30,"",30,"",30,"",10,"0",30,"",30,"",30,"",10,"0",30,"",30,"",30,"",10,"0",30,"",30,"",30,"",10,"0",30,"",30,"",30,"",10,"2918415",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"1052990",30,"",30,"",30,"",10,"-1054693",30,"",30,"",30,"",10,"0",30,"",10,"1549530",30,"",10,"0",30,"",10,"0",30,"",30,"",30,"",10,"57820",30,"",30,"",30,"",10,"6122479",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"2674150",10,"1416125",10,"285768",10,"199699",10,"345868",10,"197551",10,"229139",13,"0",13,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"101860",10,"52870",10,"11111",10,"10532",10,"3940",10,"2404",10,"21003",10,"721076",10,"304046",10,"65008",10,"124333",10,"60994",10,"34945",10,"131750",10,"1718743",10,"724299",10,"149910",10,"268277",10,"114925",10,"65891",10,"395441",10,"1472914",10,"731670",10,"159706",10,"129281",10,"94679",10,"53996",10,"303582",10,"1564304",10,"240845",10,"42090",10,"371048",10,"181202",10,"103617",10,"625502",10,"0",30,"",30,"",30,"",30,"",30,"",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",13,"0",13,"0",10,"-1103170",13,"0",13,"0",10,"1103170",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"8253047",10,"3469855",10,"713593",10,"0",10,"801608",10,"458404",10,"2809587",10,"16533352",10,"15247371","1"
"101675",10,"14482628",10,"57412370",10,"16411096",30,"",10,"31373026",10,"9628248",10,"2182071",30,"",10,"41001274",10,"1726572",10,"50736030",10,"13433232",13,"0",30,"",30,"",30,"",30,"",30,"","",30,10,"25487294",10,"24849753",10,"2243070",10,"2880611",10,"38120663",10,"0",10,"41001274",10,"5909773",10,"690075",10,"226296",10,"0",10,"541582",10,"1226264",10,"8593990",10,"2805557",10,"0",10,"10899479",30,"",30,"",30,"",10,"0",30,"",30,"",30,"",10,"0",30,"",30,"",30,"",10,"0",30,"",30,"",30,"",10,"5919472",30,"",30,"",30,"",10,"50000",30,"",30,"",30,"",10,"0",30,"",30,"",30,"",10,"3372572",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"0",30,"",30,"",30,"",10,"241097",30,"",30,"",30,"",10,"0",30,"",10,"5004674",30,"",10,"0",30,"",10,"0",30,"",30,"",30,"",10,"0",30,"",30,"",30,"",10,"25487294",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"10521240",10,"5544838",10,"736231",10,"3353520",13,"0",13,"0",10,"886651",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"476399",10,"101267",10,"15190",10,"151847",13,"0",13,"0",10,"208095",10,"1250410",10,"525747",10,"80698",10,"398553",13,"0",13,"0",10,"245412",10,"1790868",10,"858087",10,"116407",10,"570818",13,"0",13,"0",10,"245556",10,"3714079",10,"627562",10,"190463",10,"1183919",13,"0",13,"0",10,"1712135",10,"5373469",10,"857992",10,"82961",10,"1712730",13,"0",13,"0",10,"2719786",13,"0",30,"",30,"",30,"",30,"",30,"",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",10,"-7371387",13,"0",13,"0",10,"7371387",10,"1723288",10,"0",10,"0",10,"0",13,"0",13,"0",10,"1723288",10,"24849753",10,"8515493",10,"1221950",10,"0",13,"0",13,"0",10,"15112310",10,"14584005",10,"14482628","1"
"101693",10,"10555588",10,"41834336",10,"17178529",10,"11909578",10,"7865888",10,"16789919",10,"13201674",10,"3588245",10,"24655807",10,"812038",10,"30579521",10,"9208584",30,"",10,"111055",10,"1344214",10,"42055412",10,"19145300",10,"22910112","0",10,10,"19829331",10,"21681706",10,"0",10,"-1852375",10,"26508182",10,"0",10,"24655807",10,"1619653",10,"202410",10,"433633",10,"0",10,"1277843",10,"5220102",10,"8753641",10,"6567592",10,"0",10,"11401973",10,"11401973",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",10,"156685",10,"156685",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",13,"0",10,"3537027",10,"2027115",10,"1509912",10,"0",10,"3275077",10,"2027115",10,"1247962",13,"0",10,"261950",13,"0",10,"261950",13,"0",10,"10579",13,"0",13,"0",10,"10579",10,"0",13,"0",13,"0",13,"0",10,"3689786",10,"3689786",10,"0",13,"0",10,"0",13,"0",10,"0",13,"0",13,"0",13,"0",10,"1033281",10,"64866",10,"766708",10,"201707",10,"19829331",10,"17340425",10,"2276620",10,"212286",10,"2732275",10,"-2732275",10,"20072700",10,"-455655",10,"212286",10,"8675686",10,"4925109",10,"1707819",10,"900655",10,"355982",10,"245285",10,"540836",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1016135",10,"404976",10,"124860",10,"184155",10,"72901",10,"50232",10,"179011",10,"1879729",10,"943794",10,"266828",10,"79687",10,"31552",10,"21741",10,"536127",10,"4299897",10,"1937187",10,"642908",10,"370801",10,"140205",10,"96606",10,"1112190",10,"5810259",10,"910239",10,"259022",10,"1677922",10,"671635",10,"462779",10,"1828662",13,"0",30,"",30,"",30,"",30,"",30,"",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"0",13,"0",13,"0",10,"-3213220",13,"0",13,"0",10,"3213220",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"21681706",10,"9121305",10,"3001437",10,"0",10,"1272275",10,"876643",10,"7410046",10,"14024108",10,"13313445","1"
"101912",10,"7738922",10,"59299425",10,"15878914",30,"",10,"30306329",10,"13114182",13,"0",30,"",10,"43420511",10,"3247738",10,"43275805",10,"18852442",13,"0",30,"",30,"",30,"",30,"",30,"","",30,10,"39978986",10,"36453442",10,"0",10,"3525544",10,"39894967",10,"0",10,"43420511",10,"2408385",10,"457524",10,"54132",13,"0",10,"5258050",10,"15169",10,"8193260",10,"5243686",10,"2949574",10,"17208493",30,"",30,"",30,"",13,"0",30,"",30,"",30,"",13,"0",30,"",30,"",30,"",13,"0",30,"",30,"",30,"",10,"2865904",30,"",30,"",30,"",13,"0",30,"",30,"",30,"",13,"0",30,"",30,"",30,"",10,"8566216",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"6179769",30,"",30,"",30,"",10,"-281401",30,"",30,"",30,"",10,"280205",30,"",10,"5134354",30,"",13,"0",30,"",10,"25446",30,"",30,"",30,"",10,"0",30,"",30,"",30,"",10,"39978986",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"11135782",10,"4341554",10,"1800203",10,"1114054",10,"670780",13,"0",10,"3209191",10,"615928",10,"240134",10,"99571",10,"61619",10,"37101",13,"0",10,"177503",10,"192099",10,"74895",10,"31055",10,"19218",10,"11571",13,"0",10,"55360",10,"4518763",10,"1761749",10,"730500",10,"452070",10,"272194",13,"0",10,"1302250",10,"3988051",10,"1554838",10,"644706",10,"398976",10,"240226",10,"335469",10,"813836",10,"9232718",10,"3599599",10,"1492555",10,"923667",10,"556147",10,"173670",10,"2487080",10,"6669015",10,"2600077",10,"1078108",10,"667187",10,"401721",13,"0",10,"1921922",13,"0",30,"",30,"",30,"",30,"",30,"",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"98246",10,"38304",10,"15882",10,"9829",10,"5918",13,"0",10,"28313",10,"0",13,"0",13,"0",10,"-3646903",13,"0",13,"0",10,"3646903",10,"2840",10,"1108",10,"458",10,"283",10,"170",10,"0",10,"821",10,"36453442",10,"14212258",10,"5893038",10,"0",10,"2195828",10,"509139",10,"13643179",10,"10629059",10,"5801235","1"
