unitid,"xa013",a013,"xa023",a023,"xa043",a043,"xa053",a053,"xa063",a063,"xa073",a073,"xa083",a083,"xa093",a093,"xa103",a103,"xa113",a113,"xa123",a123,"xa133",a133,"xa143",a143,"xa153",a153,"xa163",a163,"xj013",j013,"xj023",j023,"xj033",j033,"xj043",j043,"xj053",j053,"xj063",j063,"xj073",j073,"xj083",j083,"xb013",b013,"xb023",b023,"xb033",b033,"xb043",b043,"xb063",b063,"xb073",b073,"xb083",b083,"xb093",b093,"xb103",b103,"xb113",b113,"xb123",b123,"xb133",b133,"xbline15",bline15,"xb163",b163,"xbline18",bline18,"xb193",b193,"xbline21",bline21,"xbother",bother,"xb223",b223,"xb234",b234,"xb244",b244,"xb254",b254,"xb274",b274,"xe013",e013,"xe023",e023,"xe033",e033,"xe043",e043,"xe053",e053,"xe063",e063,"xe073",e073,"xg01",g01,"xg02",g02,"xg03",g03,"xg04",g04,"xg05",g05,fha,"xh011",h011,"xh012",h012,"xh021",h021,"xh022",h022,"xk014",k014,"xk025",k025,"xk035",k035
"100919",10,"1584961",10,"0",10,"5776356",10,"110000",10,"1541213",10,"33000",10,"0",10,"42872",10,"0",10,"6800",10,"716929",10,"0",10,"653257",10,"0",10,"10465388",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"4090615",10,"0",10,"0",10,"677507",10,"822611",10,"1554786",10,"862444",10,"1336645",10,"115699",10,"115591",10,"9575898",10,"712673",10,"107256",10,"0",10,"0",10,"0",10,"0",10,"0",10,"10288571",10,"5300137",10,"1092458",10,"0",10,"6392595",10,"1002360",10,"143509",10,"13000",10,"0",10,"14623",10,"163153",10,"1336645",10,"2200000",10,"0",10,"75000",10,"2125000",10,"102065","2",31,"",31,"",31,"",31,"",10,"45000",10,"22391800",10,"10062413"
"101897",10,"1805044",10,"0",10,"4760836",10,"0",10,"1518652",10,"94776",10,"0",10,"152621",10,"2506",10,"5347",10,"127080",10,"0",10,"68615",10,"0",10,"8535477",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"3112314",10,"0",10,"0",10,"806816",10,"600264",10,"972498",10,"801626",10,"2016687",10,"54554",10,"-14105",10,"8350654",10,"129869",10,"14105",10,"0",10,"0",10,"0",10,"0",10,"52709",10,"8533232",10,"4252151",10,"954519",10,"0",10,"5206670",10,"1366847",10,"31302",10,"14400",10,"0",10,"4162",10,"599976",10,"2016687",10,"41649",10,"0",10,"19796",10,"21853",10,"2944","1",10,"27570",10,"27570",10,"28077",10,"28077",10,"252083",10,"25000000",10,"3500000"
"104708",10,"12789848",10,"0",10,"7993614",10,"23220924",10,"5402737",10,"47294",10,"50526",10,"1199278",10,"0",10,"314305",10,"261400",10,"0",10,"1052933",10,"0",10,"52332859",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"25738921",10,"0",10,"806404",10,"4248142",10,"2911950",10,"3571088",10,"3169062",10,"5823804",10,"132226",10,"329860",10,"46731457",10,"4372432",10,"138594",10,"0",10,"0",10,"0",10,"0",10,"0",10,"51103889",10,"32637526",10,"5175213",10,"0",10,"37812739",10,"4377121",10,"395627",10,"129554",10,"0",10,"449769",10,"471733",10,"5823804",10,"0",10,"0",10,"0",10,"0",10,"0","1",10,"189750",10,"189750",10,"189552",10,"189552",10,"4434218",10,"36124124",10,"12609322"
"106704",10,"24284528",10,"0",10,"41010669",10,"0",10,"7769939",10,"4633683",10,"0",10,"1367691",10,"0",10,"1044908",10,"14453882",10,"0",10,"654989",10,"0",10,"95220289",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"33435081",10,"1014606",10,"499549",10,"5920200",10,"2900135",10,"5375399",10,"6381723",10,"19112503",10,"1074409",10,"3459427",10,"79173032",10,"14521881",10,"579000",10,"0",10,"0",10,"0",10,"0",10,"1033179",10,"94728092",10,"33014501",10,"8482734",10,"0",10,"41497235",10,"4888372",10,"329136",10,"4133800",10,"0",10,"941176",10,"8820019",10,"19112503",10,"46042500",10,"8032500",10,"1607500",10,"52467500",10,"2387640","1",10,"6668581",10,"7579390",10,"7733099",10,"8366441",10,"5495894",10,"173171000",10,"41971000"
"107743",10,"623722",10,"0",10,"2862758",10,"221918",10,"1764648",10,"541291",10,"34331",10,"0",10,"0",10,"591",10,"157995",10,"0",10,"0",10,"0",10,"6207254",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1620524",10,"0",10,"719227",10,"403272",10,"690787",10,"566199",10,"279197",10,"940416",10,"102760",10,"12758",10,"5335140",10,"192303",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"5527443",10,"2575630",10,"724860",10,"0",10,"3300490",10,"610550",10,"30796",10,"185836",10,"0",10,"35081",10,"78153",10,"940416",10,"515000",10,"0",10,"75000",10,"440000",10,"26450","2",31,"",31,"",31,"",31,"",10,"57500",10,"5200000",10,"2700000"
"110583",10,"86406264",10,"0",10,"143325601",10,"0",10,"44876841",10,"8634042",10,"0",10,"10739660",10,"532332",10,"754123",10,"42490757",10,"0",10,"7812525",10,"0",10,"345572145",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"121461247",10,"8991143",10,"4249057",10,"26378095",10,"32553587",10,"39217759",10,"19588243",10,"35331263",10,"1540861",10,"-5827",10,"289305428",10,"39187918",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"328493346",10,"159628129",10,"24769069",10,"0",10,"184397198",10,"16733519",10,"944898",10,"15171451",10,"0",10,"1850442",10,"630953",10,"35331263",10,"37483597",10,"0",10,"806943",10,"36676654",10,"2184424","1",10,"0",10,"0",10,"4339514",10,"4339514",10,"11295794",10,"770250222",10,"48355357"
"112817",10,"8882656",10,"0",10,"53389670",10,"51797503",10,"7845401",10,"14497806",10,"0",10,"1526215",10,"28877",10,"0",10,"10507062",10,"0",10,"6469882",10,"0",10,"154945072",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"70678092",10,"0",10,"1701253",10,"12080156",10,"10837376",10,"27424342",10,"10322131",10,"6192089",10,"929424",10,"4490590",10,"144655453",10,"5992847",10,"218294",10,"0",10,"0",10,"0",10,"0",10,"0",10,"150648300",10,"82669302",10,"0",10,"17773893",10,"100443195",10,"5059041",10,"500921",10,"488353",10,"0",10,"38689",10,"105085",10,"6192089",10,"0",10,"0",10,"0",10,"0",10,"0","1",10,"630658",10,"630658",10,"643585",10,"643585",10,"1696178",10,"173904900",10,"33252639"
"115001",10,"5795112",10,"1487657",10,"31414145",10,"16394075",10,"8287780",10,"820793",10,"0",10,"952983",10,"0",10,"191902",10,"922148",10,"0",10,"1035130",10,"0",10,"67301725",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"24612339",10,"135228",10,"2549747",10,"6408161",10,"8149629",10,"8634946",10,"4126082",10,"7606114",10,"0",10,"4047555",10,"66269801",10,"1652088",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"67921889",10,"38874008",10,"6289814",10,"0",10,"45163822",10,"6436246",10,"349075",10,"820793",10,"0",10,"0",10,"0",10,"7606114",10,"0",10,"0",10,"0",10,"0",10,"0","2",31,"",31,"",31,"",31,"",10,"2207395",10,"42015344",10,"22341938"
"118912",10,"2663434",10,"37562",10,"1380789",10,"30850405",10,"2318948",10,"4898413",10,"0",10,"274037",10,"0",10,"210495",10,"1440385",10,"0",10,"5296579",10,"0",10,"49371047",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"16487625",10,"189200",10,"1950739",10,"6136079",10,"3981011",10,"5839439",10,"9563031",10,"1549529",10,"0",10,"3491698",10,"49188351",10,"2021852",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"51210203",10,"26176743",10,"4695654",10,"0",10,"30872397",10,"1336925",10,"137919",10,"39955",10,"0",10,"0",10,"34730",10,"1549529",10,"7285000",10,"0",10,"265000",10,"7020000",10,"303531","1",10,"406612",10,"406612",10,"894495",10,"894495",10,"16202504",10,"42322401",10,"11689140"
"122791",10,"4058569",10,"0",10,"1892204",10,"0",10,"1383056",10,"169606",10,"0",10,"1453214",10,"415198",10,"402996",10,"3647389",10,"0",10,"3965198",10,"0",10,"17387430",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"17917808",10,"0",10,"601300",10,"2250977",10,"5382889",10,"2207971",10,"265709",10,"1448007",10,"1390672",10,"0",10,"31465333",10,"8728971",10,"0",10,"0",10,"0",10,"0",10,"0",10,"2",10,"40194306",10,"21642520",10,"3719832",10,"67642",10,"25429994",10,"1019902",10,"192088",10,"55838",10,"0",10,"180179",10,"0",10,"1448007",10,"0",10,"0",10,"0",10,"0",10,"0","1",10,"2295622",10,"1132096",10,"2527158",10,"1291026",10,"0",10,"0",10,"0"
