unitid,"xf2a01",f2a01,"xf2a02",f2a02,"xf2a03",f2a03,"xf2a04",f2a04,"xf2a05",f2a05,"xf2a06",f2a06,"xf2a11",f2a11,"xf2a12",f2a12,"xf2a13",f2a13,"xf2a14",f2a14,"xf2b01",f2b01,"xf2b02",f2b02,"xf2b03",f2b03,"xf2b04",f2b04,"xf2b05",f2b05,"xf2b06",f2b06,"xf2b07",f2b07,"xf2c01",f2c01,"xf2c02",f2c02,"xf2c03",f2c03,"xf2c04",f2c04,"xf2c05",f2c05,"xf2c06",f2c06,"xf2c07",f2c07,"xf2c08",f2c08,"xf2c09",f2c09,"xf2d01",f2d01,"xf2d02",f2d02,"xf2d03",f2d03,"xf2d04",f2d04,"xf2d05",f2d05,"xf2d06",f2d06,"xf2d07",f2d07,"xf2d08",f2d08,"xf2d09",f2d09,"xf2d10",f2d10,"xf2d11",f2d11,"xf2d12",f2d12,"xf2d13",f2d13,"xf2d14",f2d14,"xf2d15",f2d15,"xf2d16",f2d16,"xf2e011",f2e011,"xf2e012",f2e012,"xf2e021",f2e021,"xf2e022",f2e022,"xf2e031",f2e031,"xf2e032",f2e032,"xf2e041",f2e041,"xf2e042",f2e042,"xf2e051",f2e051,"xf2e052",f2e052,"xf2e061",f2e061,"xf2e062",f2e062,"xf2e071",f2e071,"xf2e072",f2e072,"xf2e081",f2e081,"xf2e082",f2e082,"xf2e091",f2e091,"xf2e092",f2e092,"xf2e101",f2e101,"xf2e102",f2e102,"xf2e111",f2e111,"xf2e112",f2e112,"xf2e121",f2e121,"xf2e122",f2e122,"xf2e141",f2e141,"xf2e151",f2e151,"xf2e161",f2e161,"xf2e171",f2e171
"101912",10,"8479942",10,"38608315",10,"6052148",10,"21479946",10,"11076221",10,"32556167",10,"2274747",10,"22814399",10,"14138078",10,"0",10,"29158252",10,"28700232",10,"0",10,"458020",10,"32098147",10,"0",10,"32556167",10,"1603434",10,"534832",10,"74048",10,"0",10,"1966572",10,"399831",10,"4578717",10,"2884592",10,"1694125",10,"11895556",10,"0",10,"0",10,"0",10,"2374420",10,"0",10,"0",10,"4369746",10,"4418706",10,"158091",10,"245756",10,"4097961",10,"0",10,"803018",10,"794998",10,"29158252",10,"8145339",10,"5440061",10,"490860",10,"281534",10,"391107",10,"144362",10,"3943040",10,"2180848",10,"2581000",10,"1121620",10,"5794873",10,"2702167",10,"6197330",10,"1128039",10,"233991",10,"0",10,"0",10,"0",10,"916490",10,"200248",10,"6202",10,"252",10,"28700232",10,"13199131",10,"3659629",10,"1425762",10,"119118",10,"10296592"
"108269",10,"0",10,"644757",10,"438398",10,"206359",10,"0",10,"206359",10,"0",10,"0",10,"227764",10,"0",10,"1373408",10,"1315609",10,"-27402",10,"30397",10,"309425",10,"-133463",10,"206359",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"509499",10,"0",10,"509499",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"863909",10,"1373408",10,"532264",10,"474334",10,"0",10,"0",10,"1548",10,"0",10,"236309",10,"190762",10,"0",10,"0",10,"266463",10,"156212",10,"30254",10,"8558",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"248771",10,"0",10,"1315609",10,"829866",10,"0",10,"30254",10,"434",10,"455055"
"112075",10,"866148",10,"51244705",10,"13934535",10,"26185204",10,"11124966",10,"37310170",10,"3502287",10,"41911910",10,"4539518",10,"0",10,"18061958",10,"17463578",10,"66213",10,"664593",10,"36645577",10,"0",10,"37310170",10,"363841",10,"81747",10,"960134",10,"0",10,"835924",10,"3722500",10,"5964146",10,"4640171",10,"0",10,"8968488",10,"200000",10,"0",10,"0",10,"0",10,"0",10,"0",10,"4422042",10,"321162",10,"171913",10,"0",10,"3921154",10,"0",10,"0",10,"57199",10,"18061958",10,"4499622",10,"2283953",10,"0",10,"0",10,"524743",10,"232557",10,"1384637",10,"1019458",10,"2211002",10,"1362643",10,"3494213",10,"1375825",10,"5349361",10,"904938",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"17463578",10,"7179374",10,"1151321",10,"1564313",10,"761482",10,"6807088"
"116624",10,"5895835",10,"8385934",10,"115315",10,"4991035",10,"3279584",10,"8270619",10,"0",10,"1062025",10,"831686",10,"0",10,"2868237",10,"2829872",10,"-193920",10,"-155555",10,"8426174",10,"0",10,"8270619",10,"0",10,"0",10,"0",10,"0",10,"0",10,"204468",10,"204468",10,"204468",10,"0",10,"1032535",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1227851",10,"0",10,"372024",10,"0",10,"226364",10,"0",10,"0",10,"9463",10,"2868237",10,"844316",10,"644340",10,"0",10,"0",10,"0",10,"0",10,"782889",10,"112316",10,"317401",10,"81771",10,"707494",10,"292194",10,"177772",10,"14498",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"2829872",10,"1145119",10,"291247",10,"147126",10,"0",10,"1246380"
"120883",10,"166104000",10,"366503000",10,"120223000",10,"167232000",10,"79048000",10,"246280000",10,"6998000",10,"145352000",10,"73848000",10,"0",10,"159095000",10,"147773000",10,"314000",10,"11636000",10,"234644000",10,"0",10,"246280000",10,"2507000",10,"2282000",10,"10575000",10,"0",10,"2515000",10,"26089000",10,"43968000",10,"889000",10,"145000",10,"93330000",10,"0",10,"0",10,"0",10,"3633000",10,"3281000",10,"6355000",10,"13658000",10,"300000",10,"6002000",10,"7017000",10,"19539000",10,"0",10,"0",10,"5980000",10,"159095000",10,"86602000",10,"48840000",10,"9392000",10,"3071000",10,"0",10,"0",10,"7554000",10,"3491000",10,"10485000",10,"5222000",10,"10216000",10,"5378000",10,"20776000",10,"4350000",10,"2748000",10,"1253000",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"147773000",10,"71605000",10,"16828000",10,"9825000",10,"2138000",10,"47377000"
"123855",10,"24559306",10,"27764497",10,"367390",10,"21053004",10,"6344103",10,"27397107",10,"687955",10,"8027848",10,"1180406",10,"0",10,"4484623",10,"4238681",10,"0",10,"245942",10,"24692771",10,"2458394",10,"27397107",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"861109",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"33562",10,"70812",10,"2637902",10,"0",10,"0",10,"0",10,"0",10,"881238",10,"4484623",10,"1190043",10,"948181",10,"0",10,"0",10,"0",10,"0",10,"437922",10,"270519",10,"626761",10,"187813",10,"639815",10,"307616",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1344140",10,"300916",10,"4238681",10,"2015045",10,"390617",10,"121190",10,"0",10,"1711829"
"128744",10,"4251000",10,"39701000",10,"16880000",10,"21964000",10,"857000",10,"22821000",10,"3389000",10,"51355000",10,"18132000",10,"0",10,"34727000",10,"35805000",10,"0",10,"-1078000",10,"23899000",10,"0",10,"22821000",10,"686000",10,"466000",10,"391000",10,"0",10,"0",10,"9641000",10,"11184000",10,"10588000",10,"596000",10,"20075000",10,"0",10,"0",10,"0",10,"1594000",10,"544000",10,"0",10,"7846000",10,"0",10,"316000",10,"15000",10,"3925000",10,"0",10,"0",10,"412000",10,"34727000",10,"16073000",10,"9546442",10,"0",10,"0",10,"0",10,"0",10,"3046000",10,"1279236",10,"4904000",10,"1864986",10,"8577000",10,"2046289",10,"3205000",10,"495460",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"35805000",10,"15232413",10,"3669245",10,"1720242",10,"385386",10,"14797714"
"130183",10,"430065",10,"11696386",10,"3444795",10,"7598260",10,"653331",10,"8251591",10,"1398704",10,"8134811",10,"6854786",10,"0",10,"12381604",10,"11557294",10,"0",10,"824310",10,"7427281",10,"0",10,"8251591",10,"490180",10,"314608",10,"785250",10,"0",10,"28290",10,"2657103",10,"4275431",10,"2649676",10,"1135575",10,"7843921",10,"314608",10,"785250",10,"0",10,"0",10,"0",10,"0",10,"125987",10,"0",10,"134005",10,"0",10,"3177833",10,"0",10,"0",10,"0",10,"12381604",10,"4841606",10,"3327508",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"2801968",10,"777232",10,"2663269",10,"1099156",10,"1250451",10,"179044",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"11557294",10,"5382940",10,"1071214",10,"676087",10,"47692",10,"4379361"
"132958",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0"
"138293",10,"6716649",10,"9313211",10,"755961",10,"7606388",10,"950862",10,"8557250",10,"674929",10,"2686002",10,"1283582",10,"0",10,"3922727",10,"4360016",10,"0",10,"-437289",10,"8994539",10,"0",10,"8557250",10,"197596",10,"18183",10,"506562",10,"0",10,"36000",10,"637003",10,"1395344",10,"19800",10,"0",10,"3174067",10,"0",10,"0",10,"0",10,"215779",10,"506562",10,"0",10,"179523",10,"0",10,"-183550",10,"752687",10,"0",10,"0",10,"0",10,"-722341",10,"3922727",10,"875677",10,"617611",10,"0",10,"0",10,"0",10,"0",10,"165396",10,"76726",10,"987115",10,"366545",10,"877854",10,"313875",10,"534936",10,"116209",10,"673003",10,"0",10,"0",10,"0",10,"0",10,"0",10,"246035",10,"201688",10,"4360016",10,"1692654",10,"284976",10,"227777",10,"18258",10,"2136351"
