unitid,"instnm","addr","city","stabbr","zip",fips,obereg,"chfnm","chftitle","gentele","fintele","admtele","ein","duns","opeid",opeflag,"webaddr",sector,iclevel,control,hloffer,ugoffer,groffer,fpoffer,hdegoffr,deggrant,hbcu,hospital,medical,tribal,locale,openpubl,"act",newid,deathyr,"closedat",cyactive,postsec,pseflag,pset4flg,rptmth,instcat,ccbasic,ccipug,ccipgrad,ccugprof,ccenrprf,ccsizset,carnegie,tenursys,landgrnt,fte,instsize,enrtot
"100636","Community College of the Air Force","130 W Maxwell Blvd","Montgomery","AL","36112-6613","1","0","Thomas D. Klincar","Commandant","3349536436","3349536436","3349536436","","159131184","01230800","3","www.maxwell.af.mil/au/ccaf/","4","2","1","3","1","2","2","40","1","2","-1","2","2","12","0","A","-2","-2","-2","1","1","2","6","1","4","8","0","0","0","0","0","40","-1","0","","-1",""
"100654","Alabama A & M University","4107 Meridian St","Normal","AL","35762","1","5","Dr. Virginia Caples","Interim President","2563725000","2563725400","2563725245","636001109","625116116","00100200","1","www.aamu.edu/","1","1","1","9","1","1","2","10","1","1","0","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","2","18","13","17","9","4","13","16","1","1","5497","3","6182"
"100663","University of Alabama at Birmingham","Administration Bldg Suite 1070","Birmingham","AL","35294-0110","1","5","Carol Z. Garrison","President","2059344011","2059348223","2059348221","636005396","136605482","00105200","1","www.uab.edu","1","1","1","9","1","1","1","11","1","2","1","1","2","12","1","A","-2","-2","-2","1","1","1","1","1","2","15","11","17","8","5","15","15","1","0","13366","4","16572"
"100690","Southern Christian University","1200 Taylor Rd","Montgomery","AL","36117-3553","1","5","Rex Turner Jr","President","3343877000","3343877527","3343877524","237034324","126307792","02503400","1","www.southernchristian.edu","2","1","2","9","1","1","1","11","1","2","0","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","2","24","-2","-2","-2","5","-2","51","0","0","569","1","720"
"100706","University of Alabama in Huntsville","301 Sparkman Dr","Huntsville","AL","35899","1","5","Frank A Franz","President","2568246120","2568246241","2568246070","630520830","127541050","00105500","1","www.uah.edu","1","1","1","9","1","1","2","10","1","2","0","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","2","16","14","17","8","4","12","16","1","0","5555","3","7084"
"100724","Alabama State University","915 S Jackson Street","Montgomery","AL","36101-0271","1","5","Joe A. Lee","President","3342294400","3342294323","3342294291","636001101","040672685","00100500","1","www.alasu.edu","1","1","1","9","1","1","2","10","1","1","0","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","2","18","13","13","9","4","13","21","1","0","4689","3","5469"
"100733","University of Alabama System Office","401 Queen City Ave","Tuscaloosa","AL","35401","1","5","Malcolm Portera","Chancellor","2053489731","2053489731","2053489731","-1","","001055A1","2","www.uasystem.ua.edu","0","1","1","9","1","1","1","11","1","2","0","-2","2","13","1","A","-2","-2","-2","1","1","1","1","-2","-2","-3","-3","-3","-3","-3","-3","-3","0","0","","-2",""
"100751","The University of Alabama","739 University Blvd","Tuscaloosa","AL","35487-0166","1","5","Robert E. Witt","President","2053486010","2053486756","2053485666","636001138","045632635","00105100","1","www.ua.edu/","1","1","1","9","1","1","1","11","1","2","0","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","2","16","14","15","11","4","15","15","1","0","19790","5","21793"
"100760","Central Alabama Community College","1675 Cherokee Rd","Alexander City","AL","35010","1","5","Susan Salatto","President","2562346346","25623463464251","25623463464255","631022757","874447246","00100700","1","www.cacc.cc.al.us","4","2","1","3","1","2","2","40","1","2","0","2","2","41","1","A","-2","-2","-2","1","1","1","1","1","4","2","1","-1","2","1","2","40","1","0","1510","2","2136"
"100812","Athens State University","300 N Beaty St","Athens","AL","35611","1","5","Jerry Bartlett","President","2562338100","2562338122","2562338220","630701340","040651853","00100800","1","www.athens.edu","1","1","1","5","1","2","2","30","1","2","0","2","2","31","1","A","-2","-2","-2","1","1","1","1","1","2","22","12","-1","5","2","9","32","1","0","1727","2","2575"
"100830","Auburn University-Montgomery","7440 East Drive","Montgomery","AL","36117-3596","1","5","Guin A. Nance","Chancellor","3342443000","3342443571","3342443611","636000724","183862119","00831000","1","www.aum.edu","1","1","1","9","1","1","2","10","1","2","0","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","2","18","13","6","6","4","12","21","1","0","3782","3","5128"
"100858","Auburn University Main Campus","","Auburn University","AL","36849","1","5","Edward R. Richardson","Interim President","3348444000","3348444723","3348444080","636000724","066470972","00100900","1","www.auburn.edu","1","1","1","9","1","1","1","11","1","2","0","1","2","13","1","A","-2","-2","-2","1","1","1","1","1","2","16","14","14","13","4","15","15","1","1","21318","5","23333"
"100919","Lawson State Community College-Bessemer Campus","1100 9th Ave SW","Bessemer","AL","35022","1","5","Dr. Perry Ward","President","2054286391","2054286391357","2054286391332","630496701","797414224","00105901","1","www.lawsonstate.edu","4","2","1","3","1","2","2","40","1","2","-2","2","2","21","1","A","-2","-2","-2","1","1","1","1","1","4","7","1","-1","2","1","2","40","-2","0","","2",""
"100937","Birmingham Southern College","900 Arkadelphia Road","Birmingham","AL","35254","1","5","David Pollick","President","2052264600","2052264688","2052264696","630708730","067136580","00101200","1","www.bsc.edu","2","1","2","7","1","1","2","20","1","2","0","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","2","21","7","7","12","3","11","31","1","0","1361","2","1411"
"100973","Shelton State Community College-C A Fredd Campus","3401 Martin Luther King Blvd","Tuscaloosa","AL","35401","1","5","Dr. Rick Rogers","President","2053912611","2053912376","2053912214","636002149","184568566","00569101","1","www.sheltonstate.edu","4","2","1","-3","-3","-3","-3","-3","1","1","0","-2","2","-3","1","C","102067","2005","-2","3","1","3","9","-2","-2","3","1","-1","2","1","1","-3","-1","0","","-2",""
"101028","Chattahoochee Valley Community College","2602 College Dr","Phenix City","AL","36869","1","5","Dr. Laurel Blackwell","President","3342914900","3342914915","3342914929","630657380","079365656","01218200","1","www.cv.edu","4","2","1","3","1","2","2","40","1","2","0","2","2","22","1","A","-2","-2","-2","1","1","1","1","1","4","2","1","-1","2","1","2","40","1","0","1329","2","2034"
"101073","Concordia College","1804 Green St","Selma","AL","36701","1","5","Julius Jenkins","President","3348745700100","3348745700160","3348745700168","630389941","082053802","01055400","1","www.concordiaselma.edu","2","1","2","5","1","2","2","30","1","1","0","2","2","33","1","A","-2","-2","-2","1","1","1","1","1","3","23","2","-1","10","2","7","33","1","0","759","1","850"
"101116","South University-Montgomery","5355 Vaughn Road","Montgomery","AL","36116-1120","1","5","Victor K Biebighauser","President","3343958800","3343958800","3343958800","630314610","082151614","01303906","1","southuniversity.edu","3","1","3","7","1","1","2","20","1","2","0","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","3","23","2","-1","8","2","6","40","0","0","325","1","420"
"101143","Enterprise-Ozark Community College","600 Plaza Dr","Enterprise","AL","36330-1300","1","5","Stafford L Thompson","President","3343472623","33434726232214","33434726232234","630504851","556850964","00101500","1","www.eocc.edu","4","2","1","3","1","2","2","40","1","2","0","2","2","41","1","A","-2","-2","-2","1","1","1","1","1","4","2","1","-1","3","1","2","40","1","0","1284","2","1738"
"101161","James H Faulkner State Community College","1900 US Hwy 31 S","Bay Minette","AL","36507-2698","1","5","Gary Branch","President","2515802100","2515802151","2515802111","630501805","081388811","00106000","1","www.faulknerstate.edu","4","2","1","3","1","2","2","40","1","2","0","2","2","32","1","A","-2","-2","-2","1","1","1","1","1","4","5","1","-1","3","1","3","40","1","0","2477","2","3236"
"101189","Faulkner University","5345 Atlanta Hwy","Montgomery","AL","36109-3378","1","5","Billy D Hilyer","President","3342725820","3343867195","3343867200","630329409","079109500","00100300","1","www.faulkner.edu","2","1","2","7","1","1","1","21","1","2","0","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","2","22","16","10","8","4","9","32","1","0","2064","2","2492"
"101231","Gadsden Business College","3225 Rainbow Drive Suite 246","Rainbow City","AL","35906","1","5","Randy Kerr","President","2564422805","2564422805","2564422805","631150847","078979374","00446200","1","www.gadsdenbusinesscollege.com","9","3","3","1","1","2","2","0","2","2","0","2","2","23","1","A","-2","-2","-2","1","1","1","1","2","6","-3","-3","-3","-3","-3","-3","-3","0","0","71","1","71"
"101240","Gadsden State Community College","1001 George Wallace Dr","Gadsden","AL","35902-0227","1","5","Dr. Renee Culverhouse","President","2565498200","2565498266","2565498210","630501425","830976767","00101700","1","www.gadsdenstate.edu","4","2","1","3","1","2","2","40","1","1","0","2","2","13","1","A","-2","-2","-2","1","1","1","1","1","4","3","1","-1","2","1","3","40","1","0","3789","3","5421"
"101286","George C Wallace Community College-Dothan","1141 Wallace Drive","Dothan","AL","36303-9234","1","5","Linda C Young","President","3349833521","33468735432476","33498335212364","630507618","128538170","00101800","1","wallace.edu","4","2","1","3","1","2","2","40","1","2","0","2","2","13","1","A","-2","-2","-2","1","1","1","1","1","4","3","1","-1","2","1","3","40","1","0","2475","2","3562"
