unitid,"instnm","addr","city","stabbr","zip",fips,obereg,"chfnm","chftitle","gentele","fintele","admtele","ein","duns","opeid",opeflag,"webaddr",sector,iclevel,control,hloffer,ugoffer,groffer,fpoffer,hdegoffr,deggrant,hbcu,hospital,medical,tribal,locale,openpubl,"act",newid,deathyr,"closedat",cyactive,postsec,pseflag,pset4flg,rptmth,"ialias",instcat,ccbasic,ccipug,ccipgrad,ccugprof,ccenrprf,ccsizset,carnegie,tenursys,landgrnt,instsize
"100636","Community College of the Air Force","130 W Maxwell Blvd","Montgomery","AL","36112-6613","1","0","Thomas D. Klincar","Commandant","3349532223","3349532223","3349532223","","159131184","01230800","3","www.maxwell.af.mil/au/ccaf/","4","2","1","3","1","2","2","40","1","2","2","2","2","12","0","A","-2","-2","-2","1","1","2","6","1","CCAF","4","8","0","0","0","0","0","40","-1","2","-1"
"100654","Alabama A & M University","4900 Meridian St","Normal","AL","35762","1","5","Dr. Robert Jennings","President","2563725000","2563725400","2563725245","636001109","625116116","00100200","1","www.aamu.edu/","1","1","1","9","1","1","2","10","1","1","2","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","","2","18","13","17","9","4","13","16","1","1","3"
"100663","University of Alabama at Birmingham","Administration Bldg Suite 1070","Birmingham","AL","35294-0110","1","5","Carol Z. Garrison","President","2059344011","2059348223","2059348221","636005396","136605482","00105200","1","www.uab.edu","1","1","1","9","1","1","1","11","1","2","1","1","2","12","1","A","-2","-2","-2","1","1","1","1","1","","2","15","11","17","8","5","15","15","1","2","4"
"100690","Regions University","1200 Taylor Rd","Montgomery","AL","36117-3553","1","5","Rex Turner Jr","President","3343877000","3343877527","3343877524","237034324","126307792","02503400","1","www.southernchristian.edu","2","1","2","9","1","1","1","11","1","2","2","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","","2","24","-2","-2","-2","5","-2","51","2","2","1"
"100706","University of Alabama in Huntsville","301 Sparkman Dr","Huntsville","AL","35899","1","5","Frank A Franz","President","2568246120","2568246241","2568246070","630520830","127541050","00105500","1","www.uah.edu","1","1","1","9","1","1","2","10","1","2","2","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","UAH| University of Alabama Huntsville| Unversity of Alabama at Huntsville","2","16","14","17","8","4","12","16","1","2","3"
"100724","Alabama State University","915 S Jackson Street","Montgomery","AL","36101-0271","1","5","Joe A. Lee","President","3342294400","3342294323","3342294291","636001101","040672685","00100500","1","www.alasu.edu","1","1","1","9","1","1","2","10","1","1","2","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","","2","18","13","13","9","4","13","21","1","2","3"
"100733","University of Alabama System Office","401 Queen City Ave","Tuscaloosa","AL","35401","1","5","Malcolm Portera","Chancellor","2053489731","2053489731","2053489731","-1","","001055A1","2","www.uasystem.ua.edu","0","1","1","9","1","1","1","11","1","2","2","-2","2","13","1","A","-2","-2","-2","1","1","1","1","-2","","-2","-3","-3","-3","-3","-3","-3","-3","2","2","-2"
"100751","The University of Alabama","739 University Blvd","Tuscaloosa","AL","35487-0166","1","5","Robert E. Witt","President","2053486010","2053486756","2053485666","636001138","045632635","00105100","1","www.ua.edu/","1","1","1","9","1","1","1","11","1","2","2","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","","2","16","14","15","11","4","15","15","1","2","5"
"100760","Central Alabama Community College","1675 Cherokee Rd","Alexander City","AL","35010","1","5","Linda McGuirt","Interim President","2562346346","2562346346","2562346346","631022757","874447246","00100700","1","www.cacc.cc.al.us","4","2","1","3","1","2","2","40","1","2","2","2","2","41","1","A","-2","-2","-2","1","1","1","1","1","","4","2","1","-1","2","1","2","40","1","2","2"
"100812","Athens State University","300 N Beaty St","Athens","AL","35611","1","5","Jerry Bartlett","President","2562338100","2562338122","2562338220","630701340","040651853","00100800","1","www.athens.edu","1","1","1","5","1","2","2","30","1","2","2","2","2","31","1","A","-2","-2","-2","1","1","1","1","1","","2","22","12","-1","5","2","9","32","1","2","2"
