unitid,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10,mode11,mode12,mode13,mode14,stusrv1,stusrv2,stusrv3,stusrv4,stusrv5,stusrv6,stusrv7,stusrv8,stusrv9,aslib1,aslib2,aslib3,applfeeu,applfeeg,enrolmnt,prgmoffr,cipcode1,ciptuit1,ciplgth1,cipenrl1,cipcode2,ciptuit2,ciplgth2,cipenrl2,cipcode3,ciptuit3,ciplgth3,cipenrl3,ffind,ffmin,ffmax,phind,phamt,noftug,prof1,prof2,prof3,prof4,prof5,prof6,prof7,prof8,prof9,prof10,prof11,"profoth",profna,roomamt,roomcap,boardamt,mealswk,avgamt1,avgamt2,avgamt3,avgamt4,finaid1,finaid2,finaid3,finaid4,finaid5,finaid6,finaid7,finaid8,finaid9,rotc1,rotc2,rotc3,"formrt",resplast,respstat,unitidx,rstatus,libfac
"100636","1","","1","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","40310","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","0","","","","1","","","","","","","1","","","","","IC2","1","1","","","3"
"100654","1","1","","","","","","","","","","","","","1","1","1","1","","","1","","","","","","10","15","3732","",,,,,,,,,,,,,"1","6","18","1","65","","","","","","","","","","","","","","","794","1797","1242","21","400","929","1828","820","1","1","1","1","1","1","","1","","1","","","IC1","1","1","","","1"
"100663","1","1","","","","","","","1","","","","","","1","1","1","1","1","1","1","","","","","1","15","25","13479","",,,,,,,,,,,,,"","1","10","1","52","","","3300","4404","2700","","","","","","","","","","","1350","","","570","1500","4800","1200","1","1","1","1","1","1","1","1","","1","","","IC1","1","1","","","1"
"100672","1","1","1","1","","","","","","","","","","1","1","1","1","1","","","1","","","","","","10","","234","",,,,,,,,,,,,,"1","20","30","1","10","","","","","","","","","","","","","","","920","68","","","140","600","2588","1369","1","1","1","1","1","","","","","","","","IC2","1","1","","","1"
"100681","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","11","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","","",""
"100690","","","","","","","1","","","","","","","1","","1","1","1","","","","","1","","","","","","122","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","","1","","","","","","1","3","","","1"
"100706","1","1","","","","","","","","","","","","1","1","1","1","1","1","1","1","","","","","","15","15","6524","",,,,,,,,,,,,,"","","","1","60","","","","4769","","","","","","","","","","","1530","600","","","450","1350","3510","1200","1","1","1","1","1","1","","1","","1","","","IC1","1","1","","","1"
"100715","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IC3","3","1","","",""
"100724","1","1","","","","","","","","","","","","","1","1","","1","1","","1","","","","","","","38","3603","",,,,,,,,,,,,,"1","12","16","","","","","","","","","","","","","","","","","810","1522","810","20","450","275","2130","975","1","1","1","1","1","1","1","1","","","","1","IC1","1","1","","","1"
"100733","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IC1","1","1","","",""
"100751","","1","1","1","","","","","","","","","","1","1","1","1","1","1","1","1","1","","1","1","1","20","20","17166","",,,,,,,,,,,,,"1","12","18","","","","","","4333","","","","","","2242","","","","","1480","4571","1024","15","500","700","3100","1200","1","1","1","1","1","1","1","1","","1","","1","IC1","1","1","","","1"
"100760","1","","1","","1","","","","","","","","","","1","1","","","","","","","","","","","10","","1031","",,,,,,,,,,,,,"1","10","21","1","20","","","","","","","","","","","","","","","","","","","300","600","1800","500","1","1","1","1","1","","","","","","","","IC2","1","1","","","1"
"100779","1","1","","","","","","","","","","","","","","","1","","","","","","","","","","","50","45","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","IC1","1","1","","","1"
"100788","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","","",""
"100797","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","14","2",120403,900,1500,14,120499,900,1200,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","100","","","","1","","","","","","","","","","","","IC3","1","1","","","1"
"100812","1","","","","","","","","","","","","","","","1","1","1","","","","","","","","","15","","1890","",,,,,,,,,,,,,"","","","1","24","","","","","","","","","","","","","","","675","","","","400","836","2666","936","1","1","1","1","1","1","","","","","","","IC1","1","1","","","1"
"100821","","1","","","","","","","1","","","","","","1","1","","1","","1","1","","","","","","","","450","",,,,,,,,,,,,,"1","","","","","","","","","","","","","","","","","","","","","","","400","","1100","","1","1","","","","","","","","","","","IC2","1","1","","","4"
"100830","1","1","","","","","","1","","","","","","","1","1","1","1","1","1","1","1","","","","","10","10","5453","",,,,,,,,,,,,,"1","12","20","","","","","","","","","","","","","","","","1","1200","336","","","570","900","1800","1200","1","1","1","1","1","1","","1","","1","","","IC1","1","1","","","1"
"100849","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IC1","1","1","","",""
"100858","1","1","1","1","","","","1","1","1","1","1","","","","1","1","1","1","1","1","","","","","","15","15","19363","",,,,,,,,,,,,,"1","10","15","","","","","","","","","1623","","1686","","","","","","1300","2559","","","450","600","3210","900","1","1","1","1","1","1","1","1","","1","1","1","IC1","1","1","","","1"
"100867","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","11","",120403,2995,1200,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","IC3","1","1","","",""
"100876","","1","","","","","","","","","","","","","","1","","1","","","","","","","","","100","","6","3",120403,2200,1200,10,120499,950,650,0,120499,1800,1250,0,"","","","","","","","","","","","","","","","","","","","","","","","300","500","1600","400","1","1","","1","","","","","","","","","IC3","1","1","","","1"
"100885","","1","","","","","","1","","","","","","","","","","","","","","","1","","","","","","253","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","IC1","3","1","","",""
"100894","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","","",""
"100900","","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","3","","","4"
"100919","1","1","","","","","","","","","","","","","1","1","1","1","","1","1","","","","","","10","","1578","",,,,,,,,,,,,,"1","","","","","","","","","","","","","","","","","","","","","","","550","1195","4800","800","1","1","1","1","1","","","1","","","","","IC2","1","1","","","4"
"100928","","","","","","","1","","","","","","","","","1","1","1","","","","","","","","","","","203","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","3","3","","",""
"100937","","1","","","","","","","","","","","","1","","1","1","1","","","1","","","","","","25","25","1729","",,,,,,,,,,,,,"1","12","20","","","","","","","","","","","","","","","","1","1190","1100","1875","14","400","","","","1","1","1","1","1","1","","","","1","","1","IC1","1","1","","","1"
"100946","","","","","","","","","","","","","","","","","","","","","","","","","","","","","389","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","","",""
"100964","1","1","","","","","","","","","","","","","1","1","","","","","1","","","","","","5","","680","",,,,,,,,,,,,,"","","","1","20","","","","","","","","","","","","","","","","","","","325","700","1500","175","1","1","1","1","1","","","","","","","","IC2","1","1","","","1"
"100973","","1","","","","","","","","","","","","","1","","","","","","","","","","","","5","","260","",,,,,,,,,,,,,"1","","","","","","","","","","","","","","","","","","","","","","","400","300","1500","809","1","1","1","1","1","","","","","","","","IC2","1","1","","","4"
"100982","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","",120403,900,1500,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IC3","3","1","","",""
"100991","1","1","","","","","","","","","","","","","1","1","1","1","","","1","","","","","","10","","360","",,,,,,,,,,,,,"1","30","30","","","","","","","","","","","","","","","","","","","","","600","475","4200","650","1","1","1","1","1","","","1","","","","","IC2","1","1","","","1"
"101000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","","",""
"101019","","1","","","","","","","","","","","","","","1","","","","","1","","","","","","","","73","1",120403,3995,1200,114,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","550","776","2720","936","","1","","1","","","","","","","","","IC3","1","1","","","1"
"101028","","1","","","","","","","","","","","","1","1","1","","","","1","1","","","","","","10","","1472","",,,,,,,,,,,,,"1","10","21","","","","","","","","","","","","","","","","","","","","","300","600","1800","500","1","1","1","1","1","1","","","","","","","IC2","1","1","","","1"
"101037","1","1","","","","","","1","1","","","","","","","1","","","","","1","1","","","","","5","","316","",,,,,,,,,,,,,"1","","","","","","","","","","","","","","","","","","","","","","","400","","1800","","1","1","","1","","","","1","","","","","IC2","1","1","","","4"
"101046","","1","","","","","","","","","","","","","","1","","1","","","","","","","","","","","63","",120403,4575,1500,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","","","","","","","IC3","1","1","","","1"
"101055","1","1","","","","","","","","","","","","","1","1","1","1","","","1","","","","","","25","","256","13",120403,4607,864,45,150202,4487,688,32,79999,4149,576,100,"","","","","","","","","","","","","","","","","","","","","","","","500","500","500","100","1","1","1","1","1","1","","1","","","","","IC3","1","1","","","1"
"101064","","","","","","","1","","","","","","","","","1","1","1","","","1","","","","","","25","","356","7",70301,3950,36,99,70601,4270,56,47,70301,4220,50,74,"","","","","","","","","","","","","","","","","","","","","","","","","2100","9717","200","","1","1","1","1","1","","","","","","","IC3","1","1","","","1"
"101073","","","","","","","1","","","","","","","","1","1","","","","","","","","","","","5","","362","",,,,,,,,,,,,,"1","12","18","","","","","","","","","","","","","","","","","1064","144","1732","21","450","800","1250","","1","1","1","1","1","1","","1","","","","","IC2","1","1","","","1"
"101107","1","","","","","","","","","","","","","","1","1","1","1","","","1","","","","","","10","","394","",,,,,,,,,,,,,"1","12","21","","","","","","","","","","","","","","","","","","","","","400","800","1800","668","1","1","","1","","","","","","","","","IC2","1","1","","","3"
"101116","","1","","","","","","","","","","","","","","1","1","1","","","1","","","","","","25","","232","",,,,,,,,,,,,,"","","","1","58","","","","","","","","","","","","","","","","","","","400","900","3060","1253","1","1","1","1","1","1","","","","","","","IC2","1","1","","","1"
