unitid,apfee,applfeeu,applfeeg,tfdu,tfdi,ffind,ffamt,ffper,"ffmin","ffmax",phind,phamt,phper,noftug,chgper,tuition1,tuition2,tuition3,tuition4,tuition5,tuition6,tuition7,tuition8,prof1,prof2,prof3,prof4,prof5,prof6,prof7,prof8,prof9,prof10,prof11,"profoth",profna,room,roomamt,roomcap,board,boardamt,mealswk,roombord,avgamt1,avgamt2,avgamt3,avgamt4,finaid1,finaid2,finaid3,finaid4,finaid5,finaid6,finaid7,finaid8,finaid9,jtpa,rotc,rotc1,rotc2,rotc3,ftslt15,facpt,facml,facmd,enroll88,prgmoffr,pg600,cipcode1,ciptuit1,ciplgth1,cipenrl1,cipcode2,ciptuit2,ciplgth2,cipenrl2,cipcode3,ciptuit3,ciplgth3,cipenrl3
"100636","2","","","","2","","","","","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","1","0","","","","","","0","","","","","","","","","","","","1","2","","","","","2","2","2","","26354","","",,,,,,,,,,,,
"100645","1","5","","2","2","","","","","","1","10","3","1","","810","1010","1410","","","","","","","","","","","","","","","","","","","2","","","2","","","","140","600","2588","1369","1","1","1","","1","","","","","1","","","","","1","2","2","","","","",,,,,,,,,,,,
"100654","1","10","15","2","2","1","624","1","","","1","79","1","","","1248","1248","2236","","1422","1422","1800","","","","","","","","","","","","","","1","1","794","1797","1","1242","21","","450","600","2036","976","1","1","1","1","1","1","","1","","2","1","1","","","2","2","2","2","4244","","",,,,,,,,,,,,
"100663","1","15","25","2","1","","","","","","1","55","1","","","1822","1822","3472","","1972","1972","3772","","","3330","4434","2730","","","","","","","","","","1","1215","1287","2","","","","570","1500","4800","1200","1","1","1","1","1","1","1","1","","2","1","1","","","2","2","2","2","13886","","",,,,,,,,,,,,
"100672","1","5","","2","2","","","","","","1","10","3","","","810","810","1410","","","","","","","","","","","","","","","","","","","1","840","64","2","","","","140","600","2588","1369","1","1","1","1","1","","","","","1","","","","","2","2","2","","386","","",,,,,,,,,,,,
"100681","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","1","2","1","","312","","",,,,,,,,,,,,
"100690","1","25","25","2","2","","","","","","1","70","2","","","2520","2520","2520","","2520","2520","2520","","","","","","","","","","","2520","","","","2","","","2","","","","400","1476","5794","3525","1","1","1","1","1","1","","1","","2","2","","","","2","2","2","2","114","","",,,,,,,,,,,,
"100706","1","20","20","2","2","","","","","","1","67","1","","","1815","1815","3630","","1644","1644","3288","","","","5166","","","","","","","","","","","1","1815","596","2","","","","450","1350","3510","1200","1","1","1","1","1","1","","1","","2","1","1","","","2","2","2","2","7448","","",,,,,,,,,,,,
"100724","1","","10","2","2","1","480","1","12","16","","","","","","1074","1074","2034","","1155","1155","2235","","","","","","","","","","","","","","","","","","1","810","20","","570","275","1810","1200","1","1","1","1","1","1","","1","","2","1","","","1","2","2","2","2","4045","","",,,,,,,,,,,,
"100733","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,
"100751","1","20","20","","2","1","848","1","12","18","","","","","","1724","1724","4260","","1724","1724","4260","","","","4550","","","","","","2354","","","","","1","1610","4200","1","1195","15","","500","736","3280","1260","1","1","1","1","1","1","1","1","","2","1","1","","1","2","2","2","2","18510","","",,,,,,,,,,,,
