unitid,ftstu,apfee,applfeeu,applfeeg,tfdu,tfdi,ffind,ffamt,ffper,ffmin,ffmax,phind,phamt,phper,noftug,chgper,tuition1,tuition2,tuition3,tuition4,tuition5,tuition6,tuition7,tuition8,prof1,prof2,prof3,prof4,prof5,prof6,prof7,prof8,prof9,prof10,prof11,profna,room,roomamt,roomcap,board,boardamt,mealswk,roombord,avgamt1,avgamt2,avgamt3,avgamt4,prgmoffr,pg600,cipcode1,ciptuit1,ciplgth1,cipenrl1,cipcode2,ciptuit2,ciplgth2,cipenrl2,cipcode3,ciptuit3,ciplgth3,cipenrl3,cipcode4,ciptuit4,ciplgth4,cipenrl4,cipcode5,ciptuit5,ciplgth5,cipenrl5,cipcode6,ciptuit6,ciplgth6,cipenrl6
"100636","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,
"100654","1","1","10","5","2","2","1","624","1","5","","1","68","1","","","1298","1298","3050","","1432","1432","2854","","","","","","","","","","","","","1","1","894","1900","1","1242","21","2","450","600","2136","976","","",,,,,,,,,,,,,,,,,,,,,,,,
"100663","1","1","20","25","2","","","","","","","1","61","1","","","2050","2050","3880","","2200","2200","4180","","","3485","4890","2866","","","","","","","","","1","1512","2000","2","","","2","720","1500","5175","1200","","",,,,,,,,,,,,,,,,,,,,,,,,
"100672","1","2","","","2","1","","","","","","1","20","2","","","1140","1140","1952","","","","","","","","","","","","","","","","","","1","1140","64","2","","","2","447","1200","5100","1800","","",,,,,,,,,,,,,,,,,,,,,,,,
"100681","1","","","","","","","","","","","","","","","","800","800","800","","","","","","","","","","","","","","","","","","1","600","","2","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,
"100690","1","1","35","35","2","2","","","","","","1","98","2","","","3813","3813","3813","","3813","3813","3813","","","","","","","","","","","3813","","","2","","","2","","","","400","1602","6267","3600","","",,,,,,,,,,,,,,,,,,,,,,,,
"100706","1","1","20","20","2","2","","","","","","1","","1","","","2130","2130","4260","","1860","1860","3720","","","","1772","","","","","","","","","","1","1290","838","1","1785","19","2","450","1350","3450","1200","","",,,,,,,,,,,,,,,,,,,,,,,,
"100724","1","1","0","10","2","2","1","634","1","12","16","1","48","1","","","1268","1268","2428","","1396","1396","2716","","","","","","","","","","","","","1","1","1100","2005","1","810","20","2","570","900","1910","1500","","",,,,,,,,,,,,,,,,,,,,,,,,
"100733","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,
"100751","1","1","20","20","2","2","1","968","1","12","18","","","","","","1936","1936","4800","","1936","1936","4800","","","","4805","","","","","","2644","","","","1","1790","4300","1","1498","15","","525","858","3509","1400","","",,,,,,,,,,,,,,,,,,,,,,,,
"100760","1","2","","","2","2","","","","","","1","20","2","","","1083","1083","1803","","","","","","","","","","","","","","","","","","2","","","2","","","","300","600","1800","500","","",,,,,,,,,,,,,,,,,,,,,,,,
"100779","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,
"100788","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","2",61701,245,45,261,61701,60,12,,61701,495,75,,61701,595,90,,61701,195,15,,,,,
"100797","1","2","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","125","","","","2","1",120403,1200,1500,10,120403,25,,0,,,,,,,,,,,,,,,,
"100812","1","1","30","","2","2","","","","","","1","29","2","","","1420","1420","2725","","","","","","","","","","","","","","","","","1","1","825","100","","","","2","450","990","4750","1000","","",,,,,,,,,,,,,,,,,,,,,,,,
