unitid,"instnm","city","stabbr",fips,obereg,fice,rstatus,unitidx,sector,iclevel,control,affil,hloffer,fpoffer,"formrt",resplast,respstat,"addr","zip","countynm",congdist,gentele,"chfnm","chftitle"
"100636","COMMUNITY COLLEGE OF THE AIR FORCE","MONTGOMERY","AL","1","0","12308","","","4","2","1","1","3","","2","1","1","MAXWELL A F B","36112","MONTGOMERY","2","2052936436","R A GREGORY","PRES COL"
"100654","ALABAMA A&M UNIVERSITY","NORMAL","AL","1","5","1002","","","1","1","1","1","9","","1","1","1","4107 MERIDIAN STREET","35762","MADISON","5","2058515000","DR. ALAN L. KEYES","INTERIM PRES"
"100663","UNIVERSITY OF ALABAMA AT BIRMINGHAM","BIRMINGHAM","AL","1","5","1052","","","1","1","1","1","9","1","1","1","1","UAB STATION, MJH 107","352942010","JEFFERSON","6","2059344011","CHARLES MCCALLUM","PRESIDENT"
"100672","ALABAMA AVIATION AND TECHNICAL COLLEGE","OZARK","AL","1","5","5749","","","4","2","1","1","4","","2","1","1","POST OFFICE BOX 1209","36361","DALE","2","2057745113","SHIRLEY H WOODIE","PRESIDENT"
"100681","ALABAMA BIBLE INSTITUTE","GUIN","AL","1","5","","","","2","1","2","6","5","","1","1","1","PO BOX 727","35563","MARION","5","2054683620","RICHARD CORDELL","PRESIDENT"
"100690","SOUTHERN CHRISTIAN UNIVERSITY","MONTGOMERY","AL","1","5","25034","","","2","1","2","6","7","1","1","1","1","1200 TAYLOR ROAD, P.O. BOX 240240","361173553","MONTGOMERY","2","2052772277","REX TURNER JR","PRESIDENT"
"100706","UNIVERSITY OF ALABAMA IN HUNTSVILLE","HUNTSVILLE","AL","1","5","1055","","","1","1","1","1","9","1","1","1","1","","35899","MADISON","5","2058956120","FRANK A. FRANZ","PRES"
"100724","ALABAMA STATE UNIVERSITY","MONTGOMERY","AL","1","5","1005","","","1","1","1","1","8","","1","1","1","915 SOUTH JACKSON STREET","361010271","MONTGOMERY","2","2052934100","C. C. BAKER","INTERIM PRES"
"100733","UNIVERSITY OF ALABAMA SYSTEM OFFICE","TUSCALOOSA","AL","1","5","8004","","","0","0","0","","","","1","1","1","401 QUEEN CITY AVE","35401","TUSCALOOSA","7","2053485121","PHILIP AUSTIN","CHANCELLOR"
"100751","THE UNIVERSITY OF ALABAMA","TUSCALOOSA","AL","1","5","1051","","","1","1","1","1","9","1","1","1","1","PO BOX 870166","354870166","TUSCALOOSA","7","2053486010","E ROGER SAYERS","PRES"
"100760","CENTRAL ALABAMA COMMUNITY COLLEGE","ALEXANDER CITY","AL","1","5","1007","","","4","2","1","1","3","","2","1","1","PO BOX 699","35010","TALLAPOOSA","3","2052346346","JAMES CORNELL","PRESIDENT"
"100779","AMERICAN INST PSYCHOTHERAPY-GRAD SCH PROF PSYCH","HUNTSVILLE","AL","1","5","22615","","","2","1","2","3","9","","1","3","3","2611 LEEMAN FERRY RD","358015611","MADISON","5","2055369088","ROBERT WEBB","PRESIDENT"
"100788","AMERICAN REAL ESTATE SCHOOL","MONTGOMERY","AL","1","5","","","","9","3","3","2","1","","3","3","1","PO BOX 42","36101","","2","2052622701","LORREN L. PERDUE","PRESIDENT"
"100797","ANNISTON ACADEMY OF HAIR DESIGN","ANNISTON","AL","1","5","","","","9","3","3","2","1","","3","1","1","702 NOBLE ST","36201","CALHOUN","3","2052379574","PAULINE GOODWIN","PRESIDENT"
