unitid,peo1istr,peo2istr,peo3istr,peo4istr,peo5istr,peo6istr,cntlaffi,pubprime,pubsecon,relaffil,level1,level2,level3,level4,level5,level6,level7,level8,level9,level10,level11,level12,fopna,fopna1,fopna2,accrd1,accrd2,regaccrd,accrd3,accrd4,saccr,openadmp,admcon1,admcon2,admcon3,admcon4,admcon5,admcon6,admcon7,admcon8,yrscoll,stusrv1,stusrv2,stusrv3,stusrv4,stusrv8,stusrv9,libfac,rotc,rotc1,rotc2,rotc3,athassoc,assoc1,assoc2,assoc3,assoc4,assoc5,assoc6,sport1,confno1,sport2,confno2,sport3,confno3,sport4,confno4,insttoyr,pctpost,calsys,apfee,"xappfeeu",applfeeu,"xappfeeg",applfeeg,"xappfeep",applfeep,ftstu,ft_ug,ft_ftug,ft_gd,ft_fp,tuitvary,room,"xroomcap",roomcap,board,"xmealswk",mealswk,"xroomamt",roomamt,"xbordamt",boardamt,"xrmbdamt",rmbrdamt
"101286","1","1","0","1","1","0","1","2","0","-2","1","1","1","0","0","0","0","0","0","0","0","0","2","-2","-2","1","1","8","0","0","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","1","1","1","0","0","1","2","-2","-2","-2","1","0","0","1","0","0","0","-2","-2","-2","-2","-2","-2","-2","-2","-3","-3","1","2",31,"",31,"",31,"","1","1","1","2","2","1","2",31,"","3",31,"",30,"",30,"",31,""
"102049","1","1","1","0","0","0","4","-2","-2","54","0","0","1","0","1","0","1","1","1","1","0","0","1","1","1","1","1","8","1","0","1","2","1","2","1","1","1","1","1","1","-2","0","1","1","1","0","0","1","1","0","0","1","1","1","0","0","0","0","0","1","114","1","135","1","135","1","135","-3","-3","4","1",10,"25",10,"25",10,"40","1","1","1","1","1","2","1",10,"1860","1",10,"19",10,"2304",10,"2416",30,""
"103255","1","0","0","0","0","0","2","-2","-2","-2","1","0","0","0","0","0","0","0","0","0","0","0","2","-2","-2","0","0","-2","1","0","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-3","1","1","1","1","0","0","3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-1","-1",31,"",31,"",31,"","-1","-1","-1","-1","-1","-1","-1",31,"","-1",31,"",31,"",31,"",30,""
"104391","1","0","0","0","0","0","2","-2","-2","-2","1","1","0","0","0","0","0","0","0","0","0","0","2","-2","-2","1","0","-2","0","0","1","2","3","3","3","3","3","3","3","3","-3","0","1","0","1","0","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-3","-3","5","1",10,"100",31,"",31,"","1","1","1","2","2","2","2",31,"","3",31,"",30,"",30,"",31,""
"105367","0","1","1","0","0","0","4","-2","-2","52","0","0","0","0","1","0","1","1","0","0","0","0","1","1","0","0","1","5","1","0","2","3","-2","-2","-2","-2","-2","-2","-2","-2","2","0","1","0","1","0","0","2","2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-3","-3","1","1",10,"30",10,"40",10,"0","1","1","2","1","2","2","2",31,"","3",31,"",30,"",30,"",31,""
"106263","1","1","1","0","0","0","1","2","0","-2","0","1","1","1","1","1","1","0","1","1","1","0","2","-2","-2","1","1","5","1","0","1","3","-2","-2","-2","-2","-2","-2","-2","-2","-2","0","0","0","0","0","1","1","2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-3","-3","1","2",31,"",31,"",31,"","1","1","2","1","1","1","1",10,"200","3",31,"",10,"2313",30,"",30,""
"106935","1","0","0","1","1","1","1","2","0","-2","1","1","0","0","0","0","0","0","0","0","0","0","1","1","-3","0","1","6","0","0","2","2","2","3","1","3","3","3","1","3","-3","1","1","0","0","0","0","1","2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-3","-3","1","2",31,"",31,"",31,"","1","1","1","2","2","2","2",31,"","3",31,"",30,"",30,"",31,""
"107664","1","1","0","0","1","0","1","2","0","-2","1","1","1","1","0","0","0","0","0","0","0","0","1","1","-3","1","1","5","1","0","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","1","1","1","0","0","1","2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-3","-3","1","2",31,"",31,"",31,"","1","1","1","2","2","1","2",31,"","3",31,"",30,"",30,"",31,""
"108861","0","1","1","0","0","0","4","-2","-2","52","0","0","0","0","0","0","1","0","0","1","0","0","2","-2","-2","1","0","-2","0","0","1","3","-2","-2","-2","-2","-2","-2","-2","-2","4","0","1","0","0","0","0","2","2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-3","-3","1","1",31,"",10,"30",10,"20","1","2","2","1","1","2","2",31,"","3",31,"",30,"",30,"",31,""
"110219","1","0","0","0","0","0","2","-2","-2","-2","0","0","0","1","0","0","0","0","0","0","0","0","2","-2","-2","1","0","-2","1","0","1","2","3","3","3","3","2","3","1","3","-2","0","1","1","1","0","0","1","2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-3","-3","2","1",10,"100",31,"",31,"","1","1","1","2","2","2","2",31,"","3",31,"",30,"",30,"",31,""
