unitid,"xtuit1",tuition1,"xfee1",fee1,"xhrchg1",hrchg1,"xcmpfee1",cmpfee1,"xtuit2",tuition2,"xfee2",fee2,"xhrchg2",hrchg2,"xcmpfee2",cmpfee2,"xtuit3",tuition3,"xfee3",fee3,"xhrchg3",hrchg3,"xcmpfee3",cmpfee3,"xtuit5",tuition5,"xfee5",fee5,"xhrchg5",hrchg5,"xtuit6",tuition6,"xfee6",fee6,"xhrchg6",hrchg6,"xtuit7",tuition7,"xfee7",fee7,"xhrchg7",hrchg7,"xispro1",isprof1,"xispfe1",ispfee1,"xospro1",osprof1,"xospfe1",ospfee1,"xispro2",isprof2,"xispfe2",ispfee2,"xospro2",osprof2,"xospfe2",ospfee2,"xispro3",isprof3,"xispfe3",ispfee3,"xospro3",osprof3,"xospfe3",ospfee3,"xispro4",isprof4,"xispfe4",ispfee4,"xospro4",osprof4,"xospfe4",ospfee4,"xispro5",isprof5,"xispfe5",ispfee5,"xospro5",osprof5,"xospfe5",ospfee5,"xispro6",isprof6,"xispfe6",ispfee6,"xospro6",osprof6,"xospfe6",ospfee6,"xispro7",isprof7,"xispfe7",ispfee7,"xospro7",osprof7,"xospfe7",ospfee7,"xispro8",isprof8,"xispfe8",ispfee8,"xospro8",osprof8,"xospfe8",ospfee8,"xispro9",isprof9,"xispfe9",ispfee9,"xospro9",osprof9,"xospfe9",ospfee9,"xispro10",isprof10,"xispfe10",ispfee10,"xospro10",osprof10,"xospfe10",ospfee10,"xispro11",isprof11,"xispfe11",ispfee11,"xospro11",osprof11,"xospfe11",ospfee11,"xchg1ay1",chg1ay1,"xchg1ay2",chg1ay2,"xchg1ay3",chg1ay3,"xchg2ay1",chg2ay1,"xchg2ay2",chg2ay2,"xchg2ay3",chg2ay3,"xchg3ay1",chg3ay1,"xchg3ay2",chg3ay2,"xchg3ay3",chg3ay3,"xchg4ay1",chg4ay1,"xchg4ay2",chg4ay2,"xchg4ay3",chg4ay3,"xchg5ay1",chg5ay1,"xchg5ay2",chg5ay2,"xchg5ay3",chg5ay3,"xchg6ay1",chg6ay1,"xchg6ay2",chg6ay2,"xchg6ay3",chg6ay3,"xchg7ay1",chg7ay1,"xchg7ay2",chg7ay2,"xchg7ay3",chg7ay3,"xchg8ay1",chg8ay1,"xchg8ay2",chg8ay2,"xchg8ay3",chg8ay3,"xchg9ay1",chg9ay1,"xchg9ay2",chg9ay2,"xchg9ay3",chg9ay3
"100636",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,"",31,""
"100654",10,"2520",10,"520",10,"210",30,"",10,"2520",10,"520",10,"210",30,"",10,"5040",10,"520",10,"420",30,"",10,"2880",10,"520",10,"320",10,"2880",10,"520",10,"320",10,"5760",10,"520",10,"640",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"4664",31,"",10,"3040",10,"4664",10,"4664",10,"3040",10,"5200",10,"5200",10,"5560",10,"800",10,"800",10,"800",10,"4500",10,"4500",10,"4500",10,"1000",10,"1000",10,"1000",10,"6000",10,"6000",10,"6000",10,"1500",10,"1500",10,"1500",10,"600",10,"600",10,"600"
"100663",10,"3150",10,"730",10,"105",30,"",10,"3150",10,"730",10,"105",30,"",10,"7080",10,"730",10,"236",30,"",10,"2952",10,"610",10,"123",10,"2952",10,"610",10,"123",10,"6648",10,"610",10,"277",33,"",33,"",33,"",33,"",10,"6921",10,"1534",10,"20763",10,"1534",10,"7829",10,"1309",10,"23487",10,"1309",10,"5655",10,"1708",10,"16965",10,"1708",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"3363",10,"3640",10,"3880",10,"3363",10,"3640",10,"3880",10,"6183",10,"6610",10,"7810",10,"900",10,"900",10,"900",10,"6471",10,"6471",10,"7218",10,"2438",10,"2438",10,"2438",10,"7875",10,"7875",10,"7875",10,"3375",10,"3375",10,"3375",10,"3375",10,"3375",10,"3375"
"100690",10,"8160",10,"800",10,"340",30,"",10,"8160",10,"800",10,"340",30,"",10,"8160",10,"800",10,"340",30,"",10,"7380",10,"800",10,"410",10,"7380",10,"800",10,"410",10,"7380",10,"800",10,"410",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"7380",10,"800",10,"7380",10,"800",33,"",33,"",33,"",33,"",31,"",10,"7680",10,"8960",31,"",10,"7680",10,"8960",31,"",10,"7680",10,"8960",31,"",10,"500",10,"600",30,"",30,"",30,"",30,"",30,"",30,"",31,"",31,"",10,"7782",31,"",31,"",10,"1474",31,"",31,"",10,"1474"
"100706",10,"2894",10,"870",10,"112",30,"",10,"2894",10,"870",10,"112",30,"",10,"6200",10,"1740",10,"239",30,"",10,"4018",10,"696",10,"190",10,"4018",10,"696",10,"190",10,"8286",10,"1392",10,"389",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"3284",10,"3536",10,"3764",10,"3284",10,"3536",10,"3764",10,"6890",10,"7430",10,"7940",10,"720",10,"720",10,"720",10,"4300",10,"4380",10,"6180",10,"2100",10,"2100",10,"2735",10,"5345",10,"5345",10,"6180",10,"2550",10,"2550",10,"3000",10,"2250",10,"2250",10,"3000"
"100724",10,"2904",10,"0",10,"121",30,"",10,"2904",10,"0",10,"121",30,"",10,"5808",10,"0",10,"242",30,"",10,"3312",10,"0",10,"138",10,"3312",10,"0",10,"138",10,"6624",10,"0",10,"276",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"2520",10,"2904",10,"2904",10,"2520",10,"2904",10,"2904",10,"5040",10,"5808",10,"5808",10,"800",10,"800",10,"800",10,"3500",10,"3500",10,"3580",10,"2310",10,"2310",10,"2310",10,"5625",10,"5625",10,"5625",10,"2820",10,"2820",10,"2820",10,"2820",10,"2820",10,"2820"
"100751",10,"3556",10,"0",10,"148",30,"",10,"3556",10,"0",10,"148",30,"",10,"9624",10,"0",10,"401",30,"",10,"3556",10,"0",10,"198",10,"3556",10,"0",10,"198",10,"9624",10,"0",10,"535",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"8719",10,"0",10,"24377",10,"0",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"6144",10,"0",10,"12450",10,"0",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"3014",10,"3292",10,"3556",10,"3014",10,"3292",10,"3556",10,"8162",10,"8912",10,"9624",10,"700",10,"700",10,"700",10,"5384",10,"5586",10,"5824",10,"2324",10,"2324",10,"2392",10,"5776",10,"5902",10,"6104",10,"2416",10,"2416",10,"2722",10,"5928",10,"6054",10,"3378"
"100760",10,"1800",10,"240",10,"60",30,"",10,"1800",10,"240",10,"60",30,"",10,"3600",10,"240",10,"120",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"1800",10,"2040",10,"2040",10,"1800",10,"2040",10,"2040",10,"3360",10,"4080",10,"4080",10,"533",10,"600",10,"600",30,"",30,"",30,"",30,"",30,"",30,"",10,"4266",10,"4266",10,"4266",10,"1250",10,"1250",10,"1250",10,"1000",10,"1000",10,"1000"
"100812",10,"2850",10,"240",10,"95",30,"",10,"2850",10,"240",10,"95",30,"",10,"5700",10,"240",10,"190",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
"100830",10,"3390",10,"230",10,"113",30,"",10,"3390",10,"230",10,"113",30,"",10,"10170",10,"230",10,"339",30,"",10,"3264",10,"200",10,"136",10,"3264",10,"200",10,"136",10,"9792",10,"200",10,"408",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"3000",10,"3210",10,"3620",10,"3000",10,"3210",10,"3620",10,"9000",10,"9630",10,"10400",10,"600",10,"600",10,"600",10,"4710",10,"4770",10,"4610",10,"2000",10,"1760",10,"2360",10,"4710",10,"4770",10,"4610",10,"2000",10,"1760",10,"2360",10,"2000",10,"1760",10,"2360"
