unitid,"xtuit1",tuition1,"xfee1",fee1,"xhrchg1",hrchg1,"xcmpfee1",cmpfee1,"xtuit2",tuition2,"xfee2",fee2,"xhrchg2",hrchg2,"xcmpfee2",cmpfee2,"xtuit3",tuition3,"xfee3",fee3,"xhrchg3",hrchg3,"xcmpfee3",cmpfee3,"xtuit5",tuition5,"xfee5",fee5,"xhrchg5",hrchg5,"xtuit6",tuition6,"xfee6",fee6,"xhrchg6",hrchg6,"xtuit7",tuition7,"xfee7",fee7,"xhrchg7",hrchg7,"xispro1",isprof1,"xispfe1",ispfee1,"xospro1",osprof1,"xospfe1",ospfee1,"xispro2",isprof2,"xispfe2",ispfee2,"xospro2",osprof2,"xospfe2",ospfee2,"xispro3",isprof3,"xispfe3",ispfee3,"xospro3",osprof3,"xospfe3",ospfee3,"xispro4",isprof4,"xispfe4",ispfee4,"xospro4",osprof4,"xospfe4",ospfee4,"xispro5",isprof5,"xispfe5",ispfee5,"xospro5",osprof5,"xospfe5",ospfee5,"xispro6",isprof6,"xispfe6",ispfee6,"xospro6",osprof6,"xospfe6",ospfee6,"xispro7",isprof7,"xispfe7",ispfee7,"xospro7",osprof7,"xospfe7",ospfee7,"xispro8",isprof8,"xispfe8",ispfee8,"xospro8",osprof8,"xospfe8",ospfee8,"xispro9",isprof9,"xispfe9",ispfee9,"xospro9",osprof9,"xospfe9",ospfee9,"xispro10",isprof10,"xispfe10",ispfee10,"xospro10",osprof10,"xospfe10",ospfee10,"xispro11",isprof11,"xispfe11",ispfee11,"xospro11",osprof11,"xospfe11",ospfee11,"xchg1ay1",chg1ay1,"xchg1ay2",chg1ay2,"xchg1ay3",chg1ay3,"xchg2ay1",chg2ay1,"xchg2ay2",chg2ay2,"xchg2ay3",chg2ay3,"xchg3ay1",chg3ay1,"xchg3ay2",chg3ay2,"xchg3ay3",chg3ay3,"xchg4ay1",chg4ay1,"xchg4ay2",chg4ay2,"xchg4ay3",chg4ay3,"xchg5ay1",chg5ay1,"xchg5ay2",chg5ay2,"xchg5ay3",chg5ay3,"xchg6ay1",chg6ay1,"xchg6ay2",chg6ay2,"xchg6ay3",chg6ay3,"xchg7ay1",chg7ay1,"xchg7ay2",chg7ay2,"xchg7ay3",chg7ay3,"xchg8ay1",chg8ay1,"xchg8ay2",chg8ay2,"xchg8ay3",chg8ay3,"xchg9ay1",chg9ay1,"xchg9ay2",chg9ay2,"xchg9ay3",chg9ay3,cindon,cinson,cotson,cindoff,cinsoff,cotsoff,cindfam,cinsfam,cotsfam
"100636",13,"0",30,"",30,"",30,"",13,"0",30,"",30,"",30,"",13,"0",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"0",10,"0",13,"0",10,"0",10,"0",13,"0",10,"0",10,"0",13,"0",10,"0",10,"0",13,"0",10,"0",10,"0",30,"",10,"0",10,"0",30,"",31,"",31,"",30,"",31,"",31,"",30,"",30,"",30,"",30,"","","","","","","","","",""
"100654",10,"2832",10,"520",10,"236",30,"",10,"2832",10,"520",10,"236",30,"",10,"5664",10,"520",10,"472",30,"",10,"3250",10,"530",10,"370",10,"3250",10,"530",10,"370",10,"6490",10,"530",10,"740",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"3040",10,"3040",10,"3352",10,"3040",10,"3040",10,"3352",10,"5560",10,"5560",10,"6184",10,"800",10,"800",10,"900",10,"4500",10,"4500",10,"4500",10,"2300",10,"2300",10,"2300",10,"4500",10,"4500",10,"4500",10,"2300",10,"2300",10,"2300",10,"1300",10,"1300",10,"1300","11052","11052","13884","11052","11052","13884","5552","5552","8384"
"100663",10,"3480",10,"794",10,"116",30,"",10,"3480",10,"794",10,"116",30,"",10,"8700",10,"794",10,"290",30,"",10,"3384",10,"662",10,"141",10,"3384",10,"662",10,"141",10,"8472",10,"662",10,"353",33,"",33,"",33,"",33,"",10,"7614",10,"1612",10,"22842",10,"1612",10,"8886",10,"1387",10,"26658",10,"1387",10,"8296",10,"2733",10,"24888",10,"2733",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"3640",10,"3880",10,"4274",10,"3640",10,"3880",10,"4274",10,"6610",10,"7810",10,"9494",10,"900",10,"900",10,"900",10,"6471",10,"7218",10,"8627",10,"2438",10,"2438",10,"2438",10,"7875",10,"7875",10,"8823",10,"3375",10,"3375",10,"3375",10,"3375",10,"3375",10,"3375","16239","16239","21459","17372","17372","22592","8549","8549","13769"
"100690",10,"8640",10,"800",10,"360",30,"",10,"8640",10,"800",10,"360",30,"",10,"8640",10,"800",10,"360",30,"",10,"7920",10,"800",10,"440",10,"7920",10,"800",10,"440",10,"7920",10,"800",10,"440",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"7920",10,"800",10,"7920",10,"800",33,"",33,"",33,"",33,"",10,"7680",10,"8960",10,"9440",10,"7680",10,"8960",10,"9440",10,"7680",10,"8960",10,"9440",10,"500",10,"600",10,"600",30,"",30,"",30,"",30,"",30,"",30,"",10,"5559",10,"7782",10,"7782",10,"2660",10,"1474",10,"1474",30,"",10,"1474",10,"1474","","","","19296","19296","19296","11514","11514","11514"
"100706",10,"3256",10,"870",10,"126",30,"",10,"3256",10,"870",10,"126",30,"",10,"6962",10,"1740",10,"268",30,"",10,"4472",10,"696",10,"211",10,"4472",10,"696",10,"211",10,"9228",10,"1392",10,"447",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"3536",10,"3764",10,"4126",10,"3536",10,"3764",10,"4126",10,"7430",10,"7940",10,"8702",10,"720",10,"720",10,"720",10,"5960",10,"6180",10,"6380",10,"2100",10,"2015",10,"2015",10,"5345",10,"6180",10,"6380",10,"2550",10,"2280",10,"2280",10,"2250",10,"2280",10,"2280","13241","13241","17817","13506","13506","18082","7126","7126","11702"
"100724",10,"3600",10,"0",10,"150",30,"",10,"3600",10,"0",10,"150",30,"",10,"7200",10,"0",10,"300",30,"",10,"4128",13,"0",10,"172",10,"4128",13,"0",10,"172",10,"8256",13,"0",10,"344",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"2904",10,"2904",10,"3600",10,"2904",10,"2904",10,"3600",10,"5808",10,"5808",10,"7200",10,"800",10,"800",10,"800",10,"3500",10,"3580",10,"3600",10,"2310",10,"2310",10,"2310",10,"5625",10,"5625",10,"5625",10,"2820",10,"2820",10,"2820",10,"2820",10,"2820",10,"2820","10310","10310","13910","12845","12845","16445","7220","7220","10820"
"100751",10,"4134",10,"0",10,"172",30,"",10,"4134",10,"0",10,"172",30,"",10,"11294",10,"0",10,"471",30,"",10,"4134",10,"0",10,"230",10,"4134",10,"0",10,"230",10,"11294",10,"0",10,"627",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"9874",10,"0",10,"27646",10,"0",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"7252",10,"0",10,"14982",10,"0",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"3292",10,"3556",10,"4134",10,"3292",10,"3556",10,"4134",10,"8912",10,"9624",10,"11294",10,"700",10,"700",10,"800",10,"5586",10,"5824",10,"6568",10,"2324",10,"2392",10,"2392",10,"5902",10,"6104",10,"7102",10,"2416",10,"2722",10,"2722",10,"3028",10,"3378",10,"3378","13894","13894","21054","14758","14758","21918","8312","8312","15472"
"100760",10,"2040",10,"240",10,"68",30,"",10,"2040",10,"240",10,"68",30,"",10,"4080",10,"240",10,"136",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"2040",10,"2040",10,"2296",10,"2040",10,"2040",10,"2296",10,"4080",10,"4080",10,"4560",10,"600",10,"600",10,"700",30,"",30,"",30,"",30,"",30,"",30,"",10,"4266",10,"4266",10,"6400",10,"1250",10,"1250",10,"1075",10,"1000",10,"1000",10,"1000","","","","10471","10471","12735","3996","3996","6260"
"100812",10,"3150",10,"420",10,"105",30,"",10,"3150",10,"420",10,"105",30,"",10,"6300",10,"420",10,"210",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"","","","","","","","","",""
"100830",10,"3900",10,"230",10,"130",30,"",10,"3900",10,"230",10,"130",30,"",10,"11700",10,"230",10,"390",30,"",10,"3744",10,"200",10,"156",10,"3744",10,"200",10,"156",10,"11232",10,"200",10,"468",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"3210",10,"3620",10,"4130",10,"3210",10,"3620",10,"4130",10,"9630",10,"10400",10,"11930",10,"600",10,"600",10,"600",10,"4770",10,"4610",10,"4890",10,"1760",10,"2360",10,"2360",10,"4770",10,"4610",10,"4890",10,"1760",10,"2360",10,"2360",10,"1760",10,"2360",10,"2360","11980","11980","19780","11980","11980","19780","7090","7090","14890"
