unitid,"xtuit1",tuition1,"xfee1",fee1,"xhrchg1",hrchg1,"xcmpfee1",cmpfee1,"xtuit2",tuition2,"xfee2",fee2,"xhrchg2",hrchg2,"xcmpfee2",cmpfee2,"xtuit3",tuition3,"xfee3",fee3,"xhrchg3",hrchg3,"xcmpfee3",cmpfee3,"xtuit5",tuition5,"xfee5",fee5,"xhrchg5",hrchg5,"xtuit6",tuition6,"xfee6",fee6,"xhrchg6",hrchg6,"xtuit7",tuition7,"xfee7",fee7,"xhrchg7",hrchg7,"xispro1",isprof1,"xispfe1",ispfee1,"xospro1",osprof1,"xospfe1",ospfee1,"xispro2",isprof2,"xispfe2",ispfee2,"xospro2",osprof2,"xospfe2",ospfee2,"xispro3",isprof3,"xispfe3",ispfee3,"xospro3",osprof3,"xospfe3",ospfee3,"xispro4",isprof4,"xispfe4",ispfee4,"xospro4",osprof4,"xospfe4",ospfee4,"xispro5",isprof5,"xispfe5",ispfee5,"xospro5",osprof5,"xospfe5",ospfee5,"xispro6",isprof6,"xispfe6",ispfee6,"xospro6",osprof6,"xospfe6",ospfee6,"xispro7",isprof7,"xispfe7",ispfee7,"xospro7",osprof7,"xospfe7",ospfee7,"xispro8",isprof8,"xispfe8",ispfee8,"xospro8",osprof8,"xospfe8",ospfee8,"xispro9",isprof9,"xispfe9",ispfee9,"xospro9",osprof9,"xospfe9",ospfee9,"xispro10",isprof10,"xispfe10",ispfee10,"xospro10",osprof10,"xospfe10",ospfee10,"xispro11",isprof11,"xispfe11",ispfee11,"xospro11",osprof11,"xospfe11",ospfee11,"xchg1ay1",chg1ay1,"xchg1ay2",chg1ay2,"xchg1ay3",chg1ay3,"xchg2ay1",chg2ay1,"xchg2ay2",chg2ay2,"xchg2ay3",chg2ay3,"xchg3ay1",chg3ay1,"xchg3ay2",chg3ay2,"xchg3ay3",chg3ay3,"xchg4ay1",chg4ay1,"xchg4ay2",chg4ay2,"xchg4ay3",chg4ay3,"xchg5ay1",chg5ay1,"xchg5ay2",chg5ay2,"xchg5ay3",chg5ay3,"xchg6ay1",chg6ay1,"xchg6ay2",chg6ay2,"xchg6ay3",chg6ay3,"xchg7ay1",chg7ay1,"xchg7ay2",chg7ay2,"xchg7ay3",chg7ay3,"xchg8ay1",chg8ay1,"xchg8ay2",chg8ay2,"xchg8ay3",chg8ay3,"xchg9ay1",chg9ay1,"xchg9ay2",chg9ay2,"xchg9ay3",chg9ay3,"xcmp1ay1",cmp1ay1,"xcmp1ay2",cmp1ay2,"xcmp1ay3",cmp1ay3,"xcmp2ay1",cmp2ay1,"xcmp2ay2",cmp2ay2,"xcmp2ay3",cmp2ay3,"xcmp3ay1",cmp3ay1,"xcmp3ay2",cmp3ay2,"xcmp3ay3",cmp3ay3,cindon,cindoff,cindfam,cinson,cinsoff,cinsfam,cotson,cotsoff,cotsfam
"100636",10,"0",10,"0",10,"0",30,"",10,"0",13,"0",10,"0",30,"",10,"0",13,"0",10,"0",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"","","","","","","","","",""
"100654",10,"3120",10,"530",10,"130",30,"",10,"3120",10,"530",10,"130",30,"",10,"6240",10,"530",10,"260",30,"",10,"3564",10,"540",10,"198",10,"3564",10,"540",10,"198",10,"7128",10,"540",10,"396",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"3352",10,"4420",10,"4420",10,"3352",10,"4420",10,"4420",10,"6184",10,"8320",10,"8320",10,"900",10,"1800",10,"1800",10,"4500",10,"4770",10,"4770",10,"2300",10,"2600",10,"2600",10,"4500",10,"4770",10,"4770",10,"2300",10,"2600",10,"2600",10,"1300",10,"1300",10,"1300",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"","13590","13590","7520","13590","13590","7520","17490","17490","11420"
"100663",10,"3960",10,"832",10,"132",30,"",10,"3960",10,"832",10,"132",30,"",10,"9900",10,"832",10,"330",30,"",10,"4080",10,"724",10,"170",10,"4080",10,"724",10,"170",10,"10200",10,"724",10,"425",33,"",33,"",33,"",33,"",10,"9633",10,"1626",10,"28899",10,"1626",10,"11365",10,"1401",10,"34095",10,"1401",10,"10304",10,"2764",10,"30912",10,"2764",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"4274",10,"4662",10,"4792",10,"4274",10,"4662",10,"4792",10,"9494",10,"10422",10,"10732",10,"900",10,"900",10,"900",10,"8627",10,"8743",10,"8924",10,"2438",10,"2438",10,"2438",10,"8823",10,"8823",10,"8904",10,"3375",10,"3375",10,"3375",10,"3375",10,"3375",10,"3375",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"","17054","17971","9067","17054","17971","9067","22994","23911","15007"
"100690",10,"9600",10,"800",10,"400",30,"",10,"9600",10,"800",10,"400",30,"",10,"9600",10,"800",10,"400",30,"",10,"8730",10,"800",10,"485",10,"8730",10,"800",10,"485",10,"8730",10,"800",10,"485",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"8730",10,"800",10,"8730",10,"800",33,"",33,"",33,"",33,"",10,"9440",10,"10040",10,"10400",10,"9440",10,"10040",10,"10400",10,"9440",10,"10040",10,"10400",10,"600",10,"600",10,"600",30,"",30,"",30,"",30,"",30,"",30,"",10,"7782",10,"7782",10,"7782",10,"1474",10,"1474",10,"1474",10,"1474",10,"1474",10,"1474",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"","","20256","12474","","20256","12474","","20256","12474"
"100706",10,"3818",10,"870",10,"147",30,"",10,"3818",10,"870",10,"147",30,"",10,"8146",10,"1740",10,"312",30,"",10,"5170",10,"696",10,"244",10,"5170",10,"696",10,"244",10,"10668",10,"1392",10,"500",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"4126",10,"4516",10,"4688",10,"4126",10,"4516",10,"4688",10,"8702",10,"9518",10,"9886",10,"720",10,"720",10,"720",10,"6380",10,"6480",10,"6600",10,"2015",10,"2015",10,"2015",10,"6380",10,"6480",10,"6600",10,"2280",10,"2280",10,"2280",10,"2280",10,"2280",10,"2280",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"","14023","14288","7688","14023","14288","7688","19221","19486","12886"
"100724",10,"4008",10,"0",10,"133",30,"",10,"4008",10,"0",10,"133",30,"",10,"8016",10,"0",10,"267",30,"",10,"4608",10,"0",10,"192",10,"4608",10,"0",10,"192",10,"9216",10,"0",10,"384",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"3600",10,"4008",10,"4008",10,"3600",10,"4008",10,"4008",10,"7200",10,"8016",10,"8016",10,"800",10,"800",10,"800",10,"3600",10,"3600",10,"3600",10,"2310",10,"2310",10,"2310",10,"5625",10,"5625",10,"5625",10,"2820",10,"2820",10,"2820",10,"2820",10,"2820",10,"2820",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"","10718","13253","7628","10718","13253","7628","14726","17261","11636"
"100751",10,"4864",10,"0",10,"268",30,"",10,"4864",10,"0",10,"268",30,"",10,"13516",10,"0",10,"641",30,"",10,"4864",10,"0",10,"294",10,"4864",10,"0",10,"294",10,"13516",10,"0",10,"709",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"12507",10,"0",10,"35237",10,"0",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"8660",10,"0",10,"18028",10,"0",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"4134",10,"4630",10,"4864",10,"4134",10,"4630",10,"4864",10,"11294",10,"12664",10,"13516",10,"800",10,"800",10,"900",10,"6568",10,"7098",10,"8000",10,"2392",10,"2426",10,"2820",10,"7102",10,"7310",10,"8000",10,"2722",10,"2762",10,"2820",10,"3378",10,"3438",10,"2820",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"","16584","16584","8584","16584","16584","8584","25236","25236","17236"
"100760",10,"2130",10,"570",10,"71",30,"",10,"2130",10,"570",10,"71",30,"",10,"4260",10,"570",10,"142",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"2296",10,"2700",10,"2340",10,"2296",10,"2700",10,"2340",10,"4560",10,"5400",10,"4830",10,"700",10,"700",10,"700",30,"",30,"",30,"",30,"",30,"",30,"",10,"6400",10,"6400",10,"6400",10,"1075",10,"1075",10,"1075",10,"1000",10,"1000",10,"1000",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"","","10515","4040","","10515","4040","","13005","6530"
"100812",10,"3300",10,"570",10,"110",30,"",10,"3300",10,"570",10,"110",30,"",10,"6600",10,"570",10,"220",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"","","","","","","","","",""
"100830",10,"4640",10,"230",10,"147",30,"",10,"4640",10,"230",10,"147",30,"",10,"13200",10,"230",10,"440",30,"",10,"4224",10,"200",10,"176",10,"4225",10,"200",10,"176",10,"12672",10,"200",10,"528",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"4130",10,"4460",10,"4640",10,"4130",10,"4460",10,"4640",10,"11930",10,"12920",10,"13460",10,"600",10,"600",10,"600",10,"4890",10,"4890",10,"4890",10,"2360",10,"2510",10,"2510",10,"6890",10,"6890",10,"6890",10,"2360",10,"2510",10,"2510",10,"2360",10,"2510",10,"2510",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"","12640","14640","7750","12640","14640","7750","21460","23460","16570"
