unitid,"xtuit1",tuition1,"xfee1",fee1,"xhrchg1",hrchg1,"xcmpfee1",cmpfee1,"xtuit2",tuition2,"xfee2",fee2,"xhrchg2",hrchg2,"xcmpfee2",cmpfee2,"xtuit3",tuition3,"xfee3",fee3,"xhrchg3",hrchg3,"xcmpfee3",cmpfee3,"xtuit5",tuition5,"xfee5",fee5,"xhrchg5",hrchg5,"xtuit6",tuition6,"xfee6",fee6,"xhrchg6",hrchg6,"xtuit7",tuition7,"xfee7",fee7,"xhrchg7",hrchg7,"xispro1",isprof1,"xispfe1",ispfee1,"xospro1",osprof1,"xospfe1",ospfee1,"xispro2",isprof2,"xispfe2",ispfee2,"xospro2",osprof2,"xospfe2",ospfee2,"xispro3",isprof3,"xispfe3",ispfee3,"xospro3",osprof3,"xospfe3",ospfee3,"xispro4",isprof4,"xispfe4",ispfee4,"xospro4",osprof4,"xospfe4",ospfee4,"xispro5",isprof5,"xispfe5",ispfee5,"xospro5",osprof5,"xospfe5",ospfee5,"xispro6",isprof6,"xispfe6",ispfee6,"xospro6",osprof6,"xospfe6",ospfee6,"xispro7",isprof7,"xispfe7",ispfee7,"xospro7",osprof7,"xospfe7",ospfee7,"xispro8",isprof8,"xispfe8",ispfee8,"xospro8",osprof8,"xospfe8",ospfee8,"xispro9",isprof9,"xispfe9",ispfee9,"xospro9",osprof9,"xospfe9",ospfee9,"xispro10",isprof10,"xispfe10",ispfee10,"xospro10",osprof10,"xospfe10",ospfee10,"xispro11",isprof11,"xispfe11",ispfee11,"xospro11",osprof11,"xospfe11",ospfee11,"xchg1ay1",chg1ay1,"xchg1ay2",chg1ay2,"xchg1ay3",chg1ay3,"xchg2ay1",chg2ay1,"xchg2ay2",chg2ay2,"xchg2ay3",chg2ay3,"xchg3ay1",chg3ay1,"xchg3ay2",chg3ay2,"xchg3ay3",chg3ay3,"xchg4ay1",chg4ay1,"xchg4ay2",chg4ay2,"xchg4ay3",chg4ay3,"xchg5ay1",chg5ay1,"xchg5ay2",chg5ay2,"xchg5ay3",chg5ay3,"xchg6ay1",chg6ay1,"xchg6ay2",chg6ay2,"xchg6ay3",chg6ay3,"xchg7ay1",chg7ay1,"xchg7ay2",chg7ay2,"xchg7ay3",chg7ay3,"xchg8ay1",chg8ay1,"xchg8ay2",chg8ay2,"xchg8ay3",chg8ay3,"xchg9ay1",chg9ay1,"xchg9ay2",chg9ay2,"xchg9ay3",chg9ay3,"xcmp1ay1",cmp1ay1,"xcmp1ay2",cmp1ay2,"xcmp1ay3",cmp1ay3,"xcmp2ay1",cmp2ay1,"xcmp2ay2",cmp2ay2,"xcmp2ay3",cmp2ay3,"xcmp3ay1",cmp3ay1,"xcmp3ay2",cmp3ay2,"xcmp3ay3",cmp3ay3
"100636",10,"0",10,"0",10,"0",30,"",10,"0",13,"0",10,"0",30,"",10,"0",13,"0",10,"0",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
"100654",10,"3432",10,"640",10,"143",30,"",10,"3432",10,"640",10,"143",30,"",10,"6864",10,"640",10,"286",30,"",10,"3924",10,"650",10,"218",10,"3924",10,"650",10,"218",10,"7848",10,"650",10,"436",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"3640",10,"4072",10,"4072",10,"3640",10,"4072",10,"4072",10,"6760",10,"7304",10,"7304",10,"1800",10,"1800",10,"1800",10,"4770",10,"4770",10,"4770",10,"2600",10,"2600",10,"2600",10,"4770",10,"4770",10,"4770",10,"2600",10,"2600",10,"2600",10,"1300",10,"1300",10,"1300",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
"100663",10,"3792",10,"872",10,"158",30,"",10,"3792",10,"872",10,"158",30,"",10,"9480",10,"872",10,"395",30,"",10,"3672",10,"762",10,"204",10,"3672",10,"762",10,"204",10,"9180",10,"762",10,"510",33,"",33,"",33,"",33,"",10,"13276",10,"1740",10,"39828",10,"1740",10,"15254",10,"1477",10,"45762",10,"1477",10,"13341",10,"2917",10,"40023",10,"2917",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"3892",10,"4208",10,"4664",10,"3892",10,"4208",10,"4664",10,"8644",10,"9296",10,"10352",10,"900",10,"900",10,"900",10,"9080",10,"8924",10,"8924",10,"2438",10,"3575",10,"3750",10,"8904",10,"8924",10,"8924",10,"3375",10,"3575",10,"3750",10,"3375",10,"3575",10,"3750",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
"100690",10,"6600",10,"0",10,"275",30,"",10,"6600",13,"0",10,"275",30,"",10,"6600",13,"0",10,"275",30,"",10,"9630",10,"800",10,"535",10,"9630",10,"800",10,"535",10,"9630",10,"800",10,"535",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"9630",10,"800",10,"9630",10,"800",33,"",33,"",33,"",33,"",10,"6000",10,"6240",10,"6600",10,"6000",10,"6240",10,"6600",10,"6000",10,"6240",10,"6600",10,"1350",10,"1350",10,"1500",30,"",30,"",30,"",30,"",30,"",30,"",10,"5600",10,"5600",10,"6720",10,"1400",10,"1400",10,"1600",10,"1400",10,"1400",10,"1600",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
"100706",10,"5052",10,"900",10,"193",30,"",10,"5052",10,"900",10,"193",30,"",10,"11112",10,"1980",10,"425",30,"",10,"6624",10,"720",10,"311",10,"6624",10,"720",10,"311",10,"14570",10,"1584",10,"681",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"4848",10,"5216",10,"5952",10,"4848",10,"5216",10,"5952",10,"10224",10,"11024",10,"13092",10,"720",10,"942",10,"1042",10,"6180",10,"6290",10,"6576",10,"2176",10,"2944",10,"3306",10,"6180",10,"6290",10,"6576",10,"2176",10,"2944",10,"3306",10,"2176",10,"2944",10,"3306",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
"100724",10,"4608",10,"852",10,"192",30,"",10,"4608",10,"852",10,"192",30,"",10,"9216",10,"852",10,"384",30,"",10,"5328",10,"852",10,"222",10,"5328",10,"852",10,"222",10,"10656",10,"852",10,"444",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"4008",10,"4508",10,"5460",10,"4008",10,"4508",10,"5460",10,"8016",10,"8516",10,"10068",10,"1000",10,"1000",10,"1000",10,"3600",10,"4150",10,"4400",10,"2310",10,"2310",10,"2544",10,"5625",10,"5625",10,"7350",10,"2310",10,"2310",10,"3172",10,"2820",10,"2820",10,"3172",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
"100751",10,"6400",10,"0",10,"486",30,"",10,"6400",10,"0",10,"486",30,"",10,"18000",10,"0",10,"988",30,"",10,"6400",10,"0",10,"503",10,"6400",10,"0",10,"503",10,"18000",10,"0",10,"1060",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"16731",10,"0",10,"47239",10,"0",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"12564",10,"0",10,"24158",10,"0",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"5278",10,"5700",10,"6400",10,"5278",10,"5700",10,"6400",10,"15294",10,"16518",10,"18000",10,"950",10,"950",10,"1000",10,"8550",10,"8950",10,"9842",10,"3093",10,"3002",10,"3154",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
"100760",10,"2130",10,"570",10,"71",30,"",10,"2130",10,"570",10,"71",30,"",10,"4260",10,"570",10,"142",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"2340",10,"2700",10,"2700",10,"2340",10,"2700",10,"2700",10,"4830",10,"4830",10,"4830",10,"800",10,"800",10,"800",30,"",30,"",30,"",30,"",30,"",30,"",10,"6400",10,"6400",10,"6400",10,"1075",10,"1075",10,"1075",10,"1000",10,"1000",10,"1000",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
"100812",10,"3300",10,"750",10,"110",30,"",10,"3300",10,"750",10,"110",30,"",10,"6600",10,"750",10,"220",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
"100830",10,"5310",10,"270",10,"177",30,"",10,"5310",10,"270",10,"177",30,"",10,"15930",10,"270",10,"531",30,"",10,"5088",10,"234",10,"212",10,"5088",10,"234",10,"212",10,"15364",10,"234",10,"636",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",10,"4760",10,"5010",10,"5580",10,"4760",10,"5010",10,"5580",10,"13760",10,"14490",10,"16200",10,"800",10,"800",10,"900",10,"4890",10,"4890",10,"5025",10,"1910",10,"2150",10,"2760",10,"6890",10,"6890",10,"7790",10,"2360",10,"2600",10,"2760",10,"1910",10,"2150",10,"2760",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
"100858",10,"5880",10,"620",10,"243",30,"",10,"5880",10,"620",10,"243",30,"",10,"17640",10,"620",10,"729",30,"",10,"5880",10,"540",10,"243",10,"5880",10,"540",10,"243",10,"17640",10,"540",10,"729",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"14446",10,"380",10,"26206",10,"380",33,"",33,"",33,"",33,"",10,"11240",10,"380",10,"33720",10,"380",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",33,"",10,"5496",10,"5834",10,"6500",10,"5496",10,"5834",10,"6500",10,"15496",10,"16334",10,"18260",10,"1100",10,"1100",10,"1100",10,"7564",10,"7466",10,"7968",10,"2304",10,"2350",10,"2398",10,"7564",10,"7466",10,"7968",10,"2484",10,"2350",10,"2398",10,"2304",10,"2350",10,"2398",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,"",30,""
