unitid,ftstu,apfee,applfeeu,applfeeg,tfdu,tfdi,ffind,ffamt,ffper,ffmin,ffmax,phind,phamt,phper,noftug,chgper,tuition1,tuition2,tuition3,tuition4,tuition5,tuition6,tuition7,tuition8,prof1,prof2,prof3,prof4,prof5,prof6,prof7,prof8,prof9,prof10,prof11,"profoth",profna,room,roomamt,roomcap,board,boardamt,mealswk,roombord,avgamt1,avgamt2,avgamt3,avgamt4,prgmoffr,pg600,cipcode1,ciptuit1,ciplgth1,cipenrl1,cipcode2,ciptuit2,ciplgth2,cipenrl2,cipcode3,ciptuit3,ciplgth3,cipenrl3,cipcode4,ciptuit4,ciplgth4,cipenrl4,cipcode5,ciptuit5,ciplgth5,cipenrl5,cipcode6,ciptuit6,ciplgth6,cipenrl6
"100636","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,
"100645","1","1","10","","2","2","1","200","2","10","21","","","","","","860","860","1460","","","","","","","","","","","","","","","","","","","2","","","2","","","","316","1000","4800","1500","","",,,,,,,,,,,,,,,,,,,,,,,,
"100654","1","1","10","15","2","2","1","624","1","6","18","1","68","1","","","1248","1248","2236","","1422","1422","1800","","","","","","","","","","","","","","1","1","794","1900","1","1242","21","1","450","600","2036","976","","",,,,,,,,,,,,,,,,,,,,,,,,
"100663","1","1","20","25","2","","","","","","","1","58","1","","","1920","1920","3660","","2070","2070","3960","","","7391","4908","3139","","","","","","","","","","1","1440","2000","2","","","","690","1500","4800","1200","","",,,,,,,,,,,,,,,,,,,,,,,,
"100672","","1","10","","","","1","200","2","10","21","","","","","","860","860","1460","","","","","","","","","","","","","","","","","","","1","840","64","2","","","","316","1000","4800","1500","","",,,,,,,,,,,,,,,,,,,,,,,,
"100681","","","","","","","","","","","","","","","","","802","802","802","","","","","","","","","","","","","","","","","","","2","","","2","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,
"100690","1","1","35","35","2","2","1","95","2","","","1","85","2","","","3440","3440","3440","","3440","3440","3440","","","","","","","","","","","3440","","","","2","","","2","","","","400","1476","5794","3525","","",,,,,,,,,,,,,,,,,,,,,,,,
"100706","1","1","25","25","2","2","","","","","","1","74","1","","","1996","1996","3992","","1758","1758","3516","","","","5110","","","","","","","","","","","1","1995","596","1","1605","17","","450","1350","3510","1200","","",,,,,,,,,,,,,,,,,,,,,,,,
"100724","1","1","","10","2","2","1","580","1","","","1","28","1","","","1268","1268","2428","","1396","1396","2716","","","","","","","","","","","","","","1","1","1910","2005","1","810","20","1","570","900","1910","1200","","",,,,,,,,,,,,,,,,,,,,,,,,
"100733","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,
"100751","1","1","20","20","2","2","1","905","1","12","18","","","","","","1810","1810","4486","","1810","1810","4486","","","","4566","","","","","","2472","","","","","1","1700","4500","1","1458","15","","525","773","3509","1323","","",,,,,,,,,,,,,,,,,,,,,,,,
"100760","1","1","10","","2","2","","","","","","1","20","2","","","645","645","1095","","","","","","","","","","","","","","","","","","","2","","","2","","","","300","600","1800","500","","",,,,,,,,,,,,,,,,,,,,,,,,
"100779","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,
"100788","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,
"100797","","2","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125","","","","2","",120403,1200,1500,6,120499,2200,,0,,,,,,,,,,,,,,,,
"100812","1","1","15","","2","2","","","","","","1","26","2","","","1305","1305","2490","","","","","","","","","","","","","","","","","","","1","675","100","","","","","400","903","2879","1011","","",,,,,,,,,,,,,,,,,,,,,,,,
"100821","1","2","","","2","2","1","200","2","","","","","","","","800","800","1400","","","","","","","","","","","","","","","","","","","2","","","2","","","","400","","1100","","","",,,,,,,,,,,,,,,,,,,,,,,,
"100830","1","1","10","10","2","2","1","439","2","12","20","","","","","","1317","1317","3951","","1317","1317","3951","","","","","","","","","","","","","","","1","1380","576","","","","","630","1040","2580","1323","","",,,,,,,,,,,,,,,,,,,,,,,,
"100849","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,
"100858","1","1","15","15","2","2","1","492","2","10","15","1","16","2","","","1476","1476","4428","","1476","1476","4428","","","","","","","1806","","1875","","","","","","1","1467","3079","2","","","","600","600","3339","1200","","",,,,,,,,,,,,,,,,,,,,,,,,
"100867","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","",120403,2995,1200,24,,,,,,,,,,,,,,,,,,,,
"100885","1","2","","","2","2","1","2500","4","","","","","","","","2500","2500","2500","","0","0","0","","","","","","","","","","","","","","","2","","","2","","","","0","","","","","",,,,,,,,,,,,,,,,,,,,,,,,
"100900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","",61701,250,,20,,,,,,,,,,,,,,,,,,,,
"100919","1","1","10","","2","2","","","","","","1","20","2","","","800","800","1400","","","","","","","","","","","","","","","","","","","2","","","2","","","","656","1200","4800","800","","",,,,,,,,,,,,,,,,,,,,,,,,
"100928","","","","","","","","","","","","","","","","","","","","","1330","1330","1330","","","","","","","","","","","","","","","2","","","2","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,
"100937","1","1","25","25","2","2","1","8900","4","24","40","","","","","","8900","8900","8900","","6500","6500","6500","","","","","","","","","","","","","","1","1","1360","1190","1","2075","14","","420","1500","3545","990","","",,,,,,,,,,,,,,,,,,,,,,,,
"100964","1","1","5","","2","","","","","","","1","20","2","","","645","645","1095","","","","","","","","","","","","","","","","","","","2","","","2","","","","375","900","1700","500","","",,,,,,,,,,,,,,,,,,,,,,,,
"100973","1","1","5","","2","2","","","","","","1","26","2","","","600","600","1050","","","","","","","","","","","","","","","","","","","2","","","2","","","","400","300","1500","809","","",,,,,,,,,,,,,,,,,,,,,,,,
"100982","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","",120403,1000,1500,10,,,,,,,,,,,,,,,,,,,,
"100991","1","1","10","","2","2","1","215","2","12","21","1","20","2","","","872","872","1517","","","","","","","","","","","","","","","","","","","2","","","2","","","","150","300","2300","300","","",,,,,,,,,,,,,,,,,,,,,,,,
"101000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,
"101019","1","1","100","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","400","500","5750","1050","1","1",120403,4375,1200,67,,,,,,,,,,,,,,,,,,,,
"101028","1","1","10","","2","2","","","","","","1","20","2","","","645","645","1095","","","","","","","","","","","","","","","","","","","2","","","2","","","","300","600","1800","500","","",,,,,,,,,,,,,,,,,,,,,,,,
"101037","1","1","10","","2","2","1","200","","15","21","","","","","","800","800","1400","","","","","","","","","","","","","","","","","","","2","","","2","","","","400","","1800","","","",,,,,,,,,,,,,,,,,,,,,,,,
"101046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","",120403,4775,1500,65,,,,,,,,,,,,,,,,,,,,
