unitid,calsys,crsloc1,crsloc2,crsloc3,crsloc4,crsloc5,crsloc6,facloc1,facloc2,facloc3,facloc4,facloc5,facloc6,facloc7,facloc8,facloc9,facloc10,mili,mil1insl,mil2insl,admreq1,admreq2,admreq3,admreq4,admreq5,admreq6,admreq7,admreq8,admreq9,admreq10,admreq11,admreq12,admreq13,yrscol,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10,mode11,mode12,mode13,mode14,stusrv1,stusrv2,stusrv3,stusrv4,stusrv5,stusrv6,stusrv7,stusrv8,stusrv9,libfac,libshar1,libshar2,libshar3
"100636","6","1","1","1","","","","1","","","1","","","","","","","1","1","1","","","","1","","","1","","","","","","1","","1","","1","1","","","","","","","","","","","1","1","","","","","","","","3","","",""
"100654","1","1","","","","","","1","","","","1","","","","","","2","","","","1","","1","","1","","","","","1","","1","","1","1","","","","","","","","","","","","","1","1","1","","","","1","","","1","","",""
"100663","2","1","","1","1","","1","1","","1","","1","1","","1","1","1","2","","","","1","","1","1","1","","","1","1","1","","","","1","1","","","","","","","1","","","","","","1","1","1","1","1","1","1","","","1","","",""
"100672","2","1","","","","","","1","","","","","","","","","","1","1","","","1","","","","","","","1","","1","","","","","","","","","","1","","","","","","","1","1","1","1","1","","","1","","","1","","",""
"100690","2","1","","","","","","1","","","","1","","","","","","2","","","1","","","","","","","","","","","","","1","","","","","","","1","","","","","","","1","","1","1","1","","","","","","1","","",""
"100706","1","1","","","1","","","1","","","","","1","","","","","2","","","","1","","1","1","1","","","","","1","","","","1","1","","","","","","","","","","","","1","1","1","1","1","1","1","1","","","1","","",""
"100724","1","1","","","1","","","1","","","","1","1","","","","","2","","","","1","","1","1","1","","","1","","1","","","","1","1","","","","","","","","","","","","","1","1","","1","","","1","","","1","","",""
"100733","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100751","1","1","1","1","1","1","1","1","","1","1","","1","","1","1","1","1","1","","","1","","1","1","1","","","","","1","","","","1","1","1","1","1","","","1","1","1","1","1","","","1","1","1","1","1","1","1","1","","1","","",""
"100760","2","1","","","1","","","1","","1","","","1","","","","","1","1","","","1","","","","","","","1","","1","","","","","","","","","","1","","","","","","","1","1","1","","","1","1","1","","","1","","",""
"100788","5","1","1","","","","","1","","","","1","","","","","","2","","","","1","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","3","","",""
"100797","6","1","","","","","","","","","","","","","","","","2","","","","","","","","","","","","1","","","1","","","1","","","","","","","","","","","","","","","","","","","","","1","1","","",""
"100812","2","1","","","1","","","1","","","1","","1","","","","","1","1","","1","","","","","","","","","","","","","2","1","","","","","","","","","","","","","","","1","1","1","1","1","1","","","1","","",""
"100830","2","1","","","1","","","1","","","1","","1","","","1","","1","1","","","1","","1","1","1","","","1","","1","","","","1","1","","","","","","1","","","","","","","1","1","1","1","1","1","1","1","","1","","",""
