unitid,ftstu,apfee,applfeeu,applfeeg,applfeep,chgper1,chgper2,chgper3,chgper4,chgper5,tuition1,tuition2,tuition3,tuition4,tpugcred,tpugcont,tuition5,tuition6,tuition7,tuition8,tpgdcred,isprof1,osprof1,isprof2,osprof2,isprof3,osprof3,isprof4,osprof4,isprof5,osprof5,isprof6,osprof6,isprof7,osprof7,isprof8,osprof8,isprof9,osprof9,isprof10,osprof10,isprof11,osprof11,profna,tpfpcred,room,roomcap,board,mealswk,mealsvry,roomamt,boardamt,roombord,rmbrdamt,prgmoffr,pg300,cipcode1,ciptuit1,cipsupp1,ciplgth1,cipenrl1,cipcomp1,cipcode2,ciptuit2,cipsupp2,ciplgth2,cipenrl2,cipcomp2,cipcode3,ciptuit3,cipsupp3,ciplgth3,cipenrl3,cipcomp3,cipcode4,ciptuit4,cipsupp4,ciplgth4,cipenrl4,cipcomp4,cipcode5,ciptuit5,cipsupp5,ciplgth5,cipenrl5,cipcomp5,cipcode6,ciptuit6,cipsupp6,ciplgth6,cipenrl6,cipcomp6
"100636","1","2","","","","","","","","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","1","0","0","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"100654","1","1","10","20","","","1","","","","2420","2420","4352","","","","2848","2848","5656","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2391","1","21","","1164","1514","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"100663","1","1","25","30","25","1","","","","","2850","2850","5370","","","","2592","2592","4896","","","","","6423","17265","7538","20610","5391","13863","","","","","","","","","","","","","","","","","1","1585","2","","","3090","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"100672","1","2","","","","1","","","","","1350","1350","2475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","64","2","","","1110","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"100690","1","1","35","35","35","1","","","","","5562","5562","5562","","","","4284","4284","4284","","","","","","","","","","","","","","","","","","","","","4284","4284","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"100706","1","1","20","20","","1","","","","","2832","2832","5938","","","","3550","3550","7260","","","","","","","","","","","","","","","","","","","","","","","","","","","1","742","1","","1","2700","1000","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"100724","1","1","","10","0","","1","","","","2090","2090","3890","","","","2376","2376","4416","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2357","1","20","","1924","1320","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"100733","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"100751","1","1","25","25","5","","1","","","","2594","2594","6808","","","","2594","2594","6808","","","","","","","7196","20268","","","","","","","","","","","3758","8382","","","","","","","1","3420","1","15","","2060","1550","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"100760","1","2","","","","1","","","","","1800","1800","3948","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"100788","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2",521501,298,,60,20,,521501,495,,75,15,,521501,125,,15,0,,,,,,,,,,,,,,,,,,,
"100797","1","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1",120403,1625,,1500,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"100812","1","1","30","","","1","","","","","1905","1905","3660","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","100","2","","","825","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"100830","1","1","30","30","","1","","","","","2289","2289","6867","","","","2289","2289","6867","","","","","","","","","","","","","","","","","","","","","","","","","","","1","576","2","","","1830","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"100858","1","1","25","25","","","1","","","","2565","2565","7695","","","","2565","2565","7695","","","","","","","","","","","","","4905","14715","","","4905","14715","","","","","","","","","1","3350","2","","","1905","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"100885","1","1","25","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",510907,1300,,3000,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"100900","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2",521501,265,,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"100919","1","2","","","","1","","","","","1278","1278","2358","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"100928","1","1","","","50","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2050","2050","","","","","","20","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"100937","1","1","25","25","0","","1","","","","13750","13750","13750","","","","9030","9030","9030","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1145","1","","1","2330","2545","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101000","1","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1",120403,250,,1500,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101019","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1",120403,1000,,1200,,,120499,1250,,1250,,,,,,,,,,,,,,,,,,,,,,,,,,
"101028","1","2","","","","1","","","","","1350","1350","2475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101037","1","2","","","","1","","","","","1660","1660","3132","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101073","1","1","10","","","1","","","","","4982","4982","4982","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","340","1","21","","1200","1400","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101107","1","2","","","","1","","","","","864","864","1656","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101116","1","1","25","","","","1","","","","6285","6285","6285","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101125","1","2","","","","","","1","","","500","500","500","","","1900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101143","1","2","","","","1","","","","","1350","1350","2475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101161","1","2","","","","1","","","","","1161","1161","2061","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","268","1","15","","","","1","2325","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101189","1","1","25","25","25","1","","","","","6980","6980","6980","","","","10007","10007","10007","","","","","","","","","","","","","","","","","","","4050","4050","","","","","","","1","334","1","19","","1700","2000","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101198","1","1","25","","","1","","","","","6420","6420","6420","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101204","1","1","25","","","1","","","","","6300","6300","6300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101213","1","1","25","","","1","","","","","6420","6420","6420","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101231","1","1","35","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","1",510801,5630,100,936,,,520301,5030,0,624,,,520201,5030,0,624,,,520404,5030,0,600,,,520499,5030,0,552,,,,,,,,
"101240","1","2","","","","1","","","","","1437","1437","2637","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","115","1","15","","","","1","2250","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101268","1","1","35","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","1",510801,5630,100,936,,,520301,5030,0,624,,,520201,5030,0,624,,,520404,5030,0,600,,,520499,5030,0,552,,,,,,,,
"101277","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1",120403,2000,,1500,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101286","1","2","","","","1","","","","","1089","1089","1989","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101295","1","2","","","","1","","","","","1179","1179","2259","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","224","2","","","1200","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101301","1","2","","","","1","","","","","1350","1350","2475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101310","1","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","1",490107,2900,,75,,,490102,10250,,295,,,490102,3300,,65,,,490102,3300,,64,,,490102,2000,,22,,,490102,25550,,465,,
"101347","1","2","","","","1","","","","","1275","1275","2325","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101365","1","1","50","","","","1","","","","5400","5400","5400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101392","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","2",470408,545,,40,12,,470408,595,,40,10,,470408,595,,40,8,,,,,,,,,,,,,,,,,,,
"101417","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101435","1","1","25","","","","1","","","","10600","10600","10600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","450","1","20","","1850","2960","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101444","1","1","10","","","","1","","","","1000","1000","1000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101453","1","2","","","","1","","","","","4008","4008","4008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","27","2","","","1200","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101462","1","2","","","","1","","","","","1560","1560","3000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101471","1","2","","","","1","","","","","1392","1392","1392","","43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101480","1","1","20","20","","","1","","","","2040","2040","4080","","","","2040","2040","4080","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1622","1","20","","1100","1770","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101499","1","2","","","","1","","","","","1533","1533","2808","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","160","2","","","1350","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101505","1","2","","","","1","","","","","1350","1350","2475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101514","1","2","","","","1","","","","","1437","1437","2637","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","51","2","","","525","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101523","1","2","","","","1","","","","","1260","1260","2520","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101532","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1",120403,2000,,1500,20,,120499,2000,,1500,0,,,,,,,,,,,,,,,,,,,,,,,,,
"101541","1","1","25","","","","1","","","","6700","6700","6700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","262","1","20","","2505","1645","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101569","1","2","","","","1","","","","","1305","1305","2385","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101587","1","1","15","","","1","1","","","","2568","2568","4758","","","","2595","2595","5115","","","","","","","","","","","","","","","","","","","","","","","","","","","1","902","1","14","","1326","1383","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101602","1","2","","","","1","","","","","1437","1437","2637","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101648","1","1","35","","","","1","","","","7740","7740","8740","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","488","1","21","","","","1","3300","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101657","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101675","1","1","25","","","","1","","","","4500","4500","4500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","393","1","19","","1250","1500","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
