unitid,"instnm","city","stabbr",fips,obereg,fice,rstatus,imptype,parchild,idx,sector,iclevel,control,affil,hloffer,fpoffer,locale,pctmin1,pctmin2,pctmin3,pctmin4,hbcu,hospital,medical,tribal,carnegie,source,"opeid",opeind,hdegoffr,ncesedit,"formrt",cntygeo,resplast,respstat,"addr","zip","countynm",congdist,"gentele","fintele","admtele","ein","chfnm","chftitle"
"100636","COMMUNITY COLLEGE OF THE AIR FORCE","MONTGOMERY","AL","1","0","12308","1","","","","4","2","1","1","3","","2","15","0","2","3","","","","","40","4","01230800","1","40","2","IC1","101","1","1","130 W MAXWELL BLVD","361126613","MONTGOMERY","2","3349536436","3349536436","3349536436","","TAMZY J  HOUSE","PRESIDENT COLONEL"
"100654","ALABAMA A & M UNIVERSITY","NORMAL","AL","1","5","1002","1","","","","1","1","1","1","9","","4","79","0","0","0","1","","","","21","4","00100200","1","10","1","IC1","89","1","1","4107 MERIDIAN ST","35762","MADISON","5","2058515000","2058515400","2058515245","636001109","JOHN T GIBSON","PRESIDENT"
"100663","UNIVERSITY OF ALABAMA AT BIRMINGHAM","BIRMINGHAM","AL","1","5","1052","1","","","","1","1","1","1","9","1","1","20","0","3","1","","1","1","","11","4","00105200","1","11","1","IC1","73","1","1","ADMINISTRATION BLDG STE 1070-2010","352940110","JEFFERSON","6","2059344011","2059348223","2059348221","636005396","W ANN REYNOLDS","PRESIDENT"
"100672","ALABAMA AVIATION AND TECHNICAL COLLEGE","OZARK","AL","1","5","5749","1","","","","4","2","1","1","3","","4","23","1","1","3","","","","","40","4","00574900","1","40","1","IC1","45","1","1","US HWY 231","36360","DALE","2","3347745113","3347745113","3347745113","630435160","IMOGENE M MIXSON","INTERIM PRESIDENT"
"100690","SOUTHERN CHRISTIAN UNIVERSITY","MONTGOMERY","AL","1","5","25034","1","","","","2","1","2","6","9","1","2","19","0","3","1","","","","","51","4","02503400","1","11","1","IC1","101","1","1","1200 TAYLOR RD","361173553","MONTGOMERY","2","3342772277","3342772277","3342772277","237034324","REX TURNER JR","PRESIDENT"
"100706","UNIVERSITY OF ALABAMA IN HUNTSVILLE","HUNTSVILLE","AL","1","5","1055","1","","","","1","1","1","1","9","","4","11","1","4","2","","","","","14","4","00105500","1","10","1","IC1","89","1","1","301 SPARKMAN DR","35899","MADISON","5","2058906120","2058906241","2058906070","630520830","FRANK A FRANZ","PRESIDENT"
"100724","ALABAMA STATE UNIVERSITY","MONTGOMERY","AL","1","5","1005","1","","","","1","1","1","1","8","","2","89","0","0","0","1","","","","21","4","00100500","1","20","1","IC1","101","1","1","915 S JACKSON ST","361010271","MONTGOMERY","2","3342294100","3342294324","3342294291","636001101","WILLIAM H HARRIS","PRESIDENT"
"100733","UNIVERSITY OF ALABAMA SYSTEM OFFICE","TUSCALOOSA","AL","1","5","8004","3","","","","0","1","1","1","9","1","2","","","","","","","","","","4","001055A1","2","11","1","IC1","125","1","1","401 QUEEN CITY AVE","35401","TUSCALOOSA","7","2053485121","2053485121","2053485121","","THOMAS C MEREDITH","CHANCELLOR"
"100751","THE UNIVERSITY OF ALABAMA","TUSCALOOSA","AL","1","5","1051","1","","","","1","1","1","1","9","1","2","11","0","1","1","","","","","13","4","00105100","1","11","1","IC1","125","1","1","PO BOX 870166","354870166","TUSCALOOSA","7","2053486010","2053486756","2053485666","636001138","ANDREW A SORENSEN","PRESIDENT"
"100760","CENTRAL ALABAMA COMMUNITY COLLEGE","ALEXANDER CITY","AL","1","5","1007","1","","","","4","2","1","1","3","","6","19","1","0","0","","","","","40","4","00100700","1","40","1","IC1","123","1","1","1675 CHEROKEE RD","35010","TALLAPOOSA","3","2052346346","2052346346","2052346346","631022757","JAMES CORNELL","PRESIDENT"
"100788","AMERICAN REAL ESTATE INSTITUTE INC","MONTGOMERY","AL","1","5","","1","9","","","9","3","3","2","1","","2","","","","","","","","","","6","","","0","1","IC4","101","1","1","2426 SPRUCE","36107","MONTGOMERY","2","2052622701","","2052622701","419180995","LORREN L PERDUE","PRESIDENT"
"100797","ANNISTON ACADEMY OF HAIR DESIGN","ANNISTON","AL","1","5","","1","","","","9","3","3","2","2","","2","","","","","","","","","","4","","","0","1","IC4","15","1","1","702 NOBLE ST","36201","CALHOUN","3","2052379574","","","630652182","PAULINE GOODWIN","PRESIDENT"
"100812","ATHENS STATE COLLEGE","ATHENS","AL","1","5","1008","1","","","","1","1","1","1","5","","4","8","1","1","1","","","","","32","4","00100800","1","30","1","IC1","83","1","1","300 N BEATY ST","35611","LIMESTONE","5","2052338100","2052338122","2052338220","630701340","JERRY BARTLETT","PRESIDENT"
"100830","AUBURN UNIVERSITY-MONTGOMERY","MONTGOMERY","AL","1","5","8310","1","","","","1","1","1","1","9","","2","28","0","2","1","","","","","21","4","00831000","1","10","1","IC1","101","1","1","PO BOX 244023","361244023","MONTGOMERY","2","3342443000","3342443673","3342443611","636000724","ROY H SAIGO","CHANCELLOR"
"100858","AUBURN UNIVERSITY MAIN CAMPUS","AUBURN UNIVERSITY","AL","1","5","1009","1","","","","1","1","1","1","9","1","9","6","0","1","1","","1","1","","12","4","00100900","1","11","1","IC1","81","1","1","","36849","LEE","3","3348444000","3348444723","3348444080","636000724","WILLIAM V MUSE","PRESIDENT"
"100885","BAPTIST MEDICAL CENTER","MONTGOMERY","AL","1","5","","1","","","","2","1","2","6","6","","2","","","","","","","","","","4","","","0","2","IC4","101","1","1","2105 E SOUTH BLVD","36116","MONTGOMERY","2","2052882100","","2052862860","","C BRUCE LAWRENCE","SR VICE PRESIDENT"
"100900","BEN PORTER REAL ESTATE SCHOOL","HUNTSVILLE","AL","1","5","","1","9","","","9","3","3","2","1","","2","","","","","","","","","","6","","","0","1","IC4","89","1","1","3409 S MEMORIAL PKY","35801","","5","2058819676","","","630865852","KENNETH R GREENWOOD","INSTRUCTOR"
"100919","BESSEMER STATE TECHNICAL COLLEGE","BESSEMER","AL","1","5","5704","1","","","","4","2","1","1","3","","3","34","0","0","0","","","","","40","4","00570400","1","40","1","IC1","73","1","1","1100 9TH AVE","35021","JEFFERSON","7","2054286391","2054286391","2054286391","","W BAILEY","PRESIDENT"
"100928","BIRMINGHAM SCHOOL OF LAW","BIRMINGHAM","AL","1","5","","1","","","","3","1","3","2","","1","1","","","","","","","","","","4","","","1","1","IC4","73","1","1","823 FRANK NELSON BLDG 205 N 20TH","35203","BIRMINGHAM","6","2053226122","","2053226122","","DONNA MADISON","ASSISTANT DEAN"
"100937","BIRMINGHAM SOUTHERN COLLEGE","BIRMINGHAM","AL","1","5","1012","1","","","","2","1","2","6","7","","1","14","0","3","0","","","","","31","4","00101200","1","20","1","IC1","73","1","1","900 ARKADELPHIA RD","35254","JEFFERSON","7","2052264600","2052264688","2052264686","630708730","NEAL R BERTE","PRESIDENT"
"101000","CENTER POINT BEAUTY SCHOOL","BIRMINGHAM","AL","1","5","","1","","","","9","3","3","2","2","","1","","","","","","","","","","4","","","0","1","IC4","73","1","1","2328 FIRST ST NE","35215","","","2058530085","","","","NELIA HUNT","INSTRUCTOR"
"101019","CHARLES ACADEMY OF BEAUTY CULTURE","MOBILE","AL","1","5","","1","","","","9","3","3","2","2","","2","69","0","3","0","","","","","","6","02319500","3","0","1","IC3","97","1","1","2986 ESLAVA CREEK PKY","36606","MOBILE","1","3344785510","3344786401","3344786401","630807404","CHARLES PRINE","DIRECTOR PRESIDENT"
"101028","CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE","PHENIX CITY","AL","1","5","12182","1","","","","4","2","1","1","3","","4","41","0","0","2","","","","","40","4","01218200","1","40","1","IC1","113","1","1","2602 COLLEGE DR","36869","RUSSELL","3","3342914900","3342914915","3342914929","630657380","RICHARD FEDERINKO","PRESIDENT"
"101037","CHAUNCEY SPARKS STATE TECHNICAL COLLEGE","EUFAULA","AL","1","5","5736","1","","","","4","2","1","1","3","","6","52","0","1","0","","","","","40","4","00573600","1","40","1","IC1","5","1","1","HWY 431 S","36027","EUFAULA","2","3346873543","3346873543","3346873543","630509475","L C YOUNG","PRESIDENT"
"101073","CONCORDIA COLLEGE","SELMA","AL","1","5","10554","1","","","","2","1","2","6","5","","6","96","0","0","0","1","","","","40","4","01055400","1","30","1","IC1","47","1","1","1804 GREEN ST","36701","DALLAS","7","3348745700","3348747143","3348747143","","JULIUS JENKINS","PRESIDENT"
"101107","DOUGLAS MACARTHUR STATE TECHNICAL COLLEGE","OPP","AL","1","5","5698","1","","","","4","2","1","1","3","","6","21","1","0","0","","","","","40","4","00569800","1","40","1","IC1","39","1","1","1708 N MAIN ST","36467","COVINGTON","2","3344933573","3344933573","3344933473","","L WAYNE BENNETT","INTERIM PRESIDENT"
"101116","DRAUGHONS JUNIOR COLLEGE","MONTGOMERY","AL","1","5","4463","1","","","","6","2","3","2","3","","2","59","0","0","0","","","","","40","4","00446300","1","40","1","IC1","101","1","1","122 COMMERCE ST","36104","MONTGOMERY","2","3342631013","3342631013","3342631013","630314610","VICTOR K BIEBIGHAUSER","PRESIDENT"
"101125","DCH REGIONAL MEDICAL CENTER RADIOGRAPHER PROGRAM","TUSCALOOSA","AL","1","5","","1","","","","4","2","1","1","4","","2","","","","","","","","","","4","","","0","1","IC4","125","1","1","809 UNIVERSITY BLVD E","35401","TUSCALOOSA","7","2057596266","","2057596266","","BILL CASSELS","ADMINISTRATOR VICE PRESIDENT"
"101143","ENTERPRISE STATE JUNIOR COLLEGE","ENTERPRISE","AL","1","5","1015","1","","","","4","2","1","1","3","","6","16","2","2","4","","","","","40","4","00101500","1","40","1","IC1","31","1","1","600 PLAZA DR","36330","COFFEE","2","3343472623","3343472623","3343472623","630504851","DR STAFFORD L THOMPSON","PRESIDENT"
"101161","JAMES H FAULKNER STATE COMMUNITY COLLEGE","BAY MINETTE","AL","1","5","1060","1","","","","4","2","1","1","3","","4","10","1","1","0","","","","","40","4","00106000","1","40","1","IC1","3","1","1","1900 US HWY 31 S","36507","BALDWIN","2","3345802100","3345802151","3345802111","630501805","GARY BRANCH","PRESIDENT"
"101189","FAULKNER UNIVERSITY","MONTGOMERY","AL","1","5","1003","1","","","","2","1","2","6","7","1","2","25","0","1","1","","","","","32","4","00100300","1","21","2","IC1","101","1","1","5345 ATLANTA HWY","361093378","MONTGOMERY","2","3342725820","3342606195","3342606200","","BILLY D HILYER","PRESIDENT"
"101198","FAULKNER UNIVERSITY-BIRMINGHAM","BIRMINGHAM","AL","1","5","901003","1","","","","5","2","2","6","3","","1","","","","","","","","","","4","00100301","1","40","2","IC1","73","1","1","488 PALISADES BLVD","35209","JEFFERSON","6","2058795588","2052527532","2052527532","","TRACEY HEBERT","DIRECTOR"
"101204","FAULKNER UNIVERSITY-FLORENCE","FLORENCE","AL","1","5","901003","1","","","","5","2","2","6","3","","2","","","","","","","","","","4","00100302","1","40","2","IC1","77","1","1","1001 FLORENCE BLVD","35630","LAUDERDALE","5","2057665660","2057665660","2057665660","","","DIRECTOR"
"101213","FAULKNER UNIVERSITY-HUNTSVILLE","HUNTSVILLE","AL","1","5","901003","1","","","","5","2","2","6","3","","2","","","","","","","","","","4","00100303","1","40","2","IC1","89","1","1","420 WYNN DR","35805","MADISON","5","2058302626","2058302626","2058302626","","BARBARA GAMBLE","DIRECTOR"
"101231","GADSDEN BUSINESS COLLEGE","GADSDEN","AL","1","5","","1","","","","9","3","3","2","2","","2","28","0","0","0","","","","","","4","00446200","1","0","1","IC3","55","1","1","750 FORREST AVE","35901","ETOWAH","4","2055462863","2055462863","2055462863","631150847","FRED KERR","PRESIDENT"
"101240","GADSDEN STATE COMMUNITY COLLEGE","GADSDEN","AL","1","5","1017","1","","","","4","2","1","1","3","","2","18","0","1","1","","","","","40","4","00101700","1","40","1","IC1","55","1","1","1001 GEORGE WALLACE DR","359020227","ETOWAH","4","2055498210","2055498266","2055498229","630501425","VICTOR FICKER","PRESIDENT"
"101268","GADSDEN BUSINESS COLLEGE-ANNISTON","ANNISTON","AL","1","5","","1","","","","9","3","3","2","2","","2","31","0","0","0","","","","","","4","00446201","1","0","1","IC3","15","1","1","PO BOX 1559","362021575","CALHOUN","3","2052377517","2052377517","2052377517","631150847","FRED KERR","PRESIDENT"
"101277","NEW BEGINNINGS COLLEGE OF COSMETOLOGY","ALBERTVILLE","AL","1","5","","1","9","","","9","3","3","2","2","","6","","","","","","","","","","6","","","0","1","IC4","95","3","1","509 BALTIMORE AVE","35950","MARSHALL","","2058786430","2058786430","2058786430","","JOYCE BAIRD","DIRECTOR"
"101310","GOLD DUST FLYING SERVICE","EASTABOGA","AL","1","5","","1","","","","9","3","3","2","1","","9","","","","","","","","","","4","","","0","1","IC4","121","1","1","TALLADEGA AIRPORT PO BOX 75","36260","TALLADEG","3","2053620895","","2053620895","630640521","JEAN WAGNON","CERTIFING OFFICER"
"101365","HERZING COLLEGE","BIRMINGHAM","AL","1","5","","1","","","","3","1","3","2","5","","1","50","0","0","0","","","","","40","4","01019300","1","30","2","IC1","73","1","1","280 W VALLEY AVE","35209","JEFFERSON","6","2059162800","2059162800","2059162800","391040865","DONALD E LEWIS","DIRECTOR VICE PRESIDENT"
"101286","GEORGE C WALLACE STATE COMMUNITY COLLEGE-DOTHAN","DOTHAN","AL","1","5","1018","1","","","","4","2","1","1","3","","2","18","1","1","1","","","","","40","4","00101800","1","40","1","IC1","69","1","1","RTE 6 BOX 62","363039234","DALE","3","3349833521","3349833521","3349833521","630507618","LARRY BEATY","PRESIDENT"
"101295","GEORGE C WALLACE STATE COMMUNITY COLL-HANCEVILLE","HANCEVILLE","AL","1","5","7871","1","","","","4","2","1","1","3","","7","2","0","0","0","","","","","40","4","00787100","1","40","1","IC1","43","1","1","801 MAIN ST NW","350772000","CULLMAN","4","2053528000","2053528182","2053528128","630498828","JAMES BAILEY","PRESIDENT"
