unitid,form_ic,stat_ic,stat_pte,prch_ic,idx_ic,imp_ic,cyactive,"closedat","instnm","addr","city","stabbr","zip","countynm",cntygeo,fips,obereg,"chfnm","chftitle","gentele","fintele","admtele","ein","duns","opeid",opeflag,refu_ic,src_ic,edit_ic,"date_ic",sector,iclevel,control,affil,hloffer,ugoffer,groffer,fpoffer,hdegoffr,pctmin1,pctmin2,pctmin3,pctmin4,hbcu,hospital,medical,tribal,carnegie,locale,"act",newid,deathyr
"100788","3","3","4","-2","-2","1","1","-2","AMERICAN REAL ESTATE INSTITUTE INC","2426 SPRUCE","MONTGOMERY","AL","36107","MONTGOMERY","101","1","5","LORREN L PERDUE","PRESIDENT","2052622701","-1","2052622701","419180995","-3","-2","6","-2","-2","-2","-2","9","3","3","2","1","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","2","A","-2","-2"
"100797","3","1","1","-2","-2","-2","1","-2","ANNISTON ACADEMY OF HAIR DESIGN","702 NOBLE ST","ANNISTON","AL","36201","CALHOUN","15","1","5","PAULINE GOODWIN","PRESIDENT","2562379574","-1","-1","630652182","-3","-2","6","-2","4","1","01111999","9","3","3","2","2","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","2","A","-2","-2"
"100812","1","1","1","-2","-2","-2","1","-2","ATHENS STATE UNIVERSITY","300 N BEATY ST","ATHENS","AL","35611","LIMESTONE","83","1","5","JERRY BARTLETT","PRESIDENT","2562338100","2562338122","2562338220","630701340","040651853","00100800","1","-2","4","2","11161998","1","1","1","1","5","1","2","2","30","8","2","0","1","2","2","2","2","32","4","A","-2","-2"
"100830","1","1","1","-2","-2","-2","1","-2","AUBURN UNIVERSITY-MONTGOMERY","PO BOX 244023","MONTGOMERY","AL","361244023","MONTGOMERY","101","1","5","ROY H SAIGO","CHANCELLOR","3342443571","3342443673","3342443611","636000724","183862119","00831000","1","-2","4","1","10261998","1","1","1","1","9","1","1","2","10","30","0","1","1","2","2","2","2","21","2","A","-2","-2"
"100858","1","1","1","-2","-2","-2","1","-2","AUBURN UNIVERSITY MAIN CAMPUS","","AUBURN UNIVERSITY","AL","36849","LEE","81","1","5","WILLIAM V MUSE","PRESIDENT","3348444000","3348444723","3348444080","636000724","066470972","00100900","1","-2","4","1","01271999","1","1","1","1","9","1","1","1","11","6","1","1","1","2","1","1","2","12","9","A","-2","-2"
"100885","1","1","1","-2","-2","-2","1","-2","BAPTIST MEDICAL CENTER","2105 E SOUTH BLVD","MONTGOMERY","AL","36116","MONTGOMERY","101","1","5","C BRUCE LAWRENCE","SR VICE PRESIDENT","3342882100","-1","3342862860","-1","-3","-2","6","-2","4","1","01261999","2","1","2","6","6","1","1","2","0","-3","-3","-3","-3","2","2","2","2","-2","2","A","-2","-2"
"100900","3","3","4","-2","-2","1","1","-2","BEN PORTER REAL ESTATE SCHOOL","3409 S MEMORIAL PKY","HUNTSVILLE","AL","35801","-1","89","1","5","KENNETH R GREENWOOD","INSTRUCTOR","2058819676","-1","-1","630865852","-3","-2","6","-2","-2","-2","-2","9","3","3","2","1","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","2","A","-2","-2"
"100919","1","1","1","-2","-2","-2","1","-2","BESSEMER STATE TECHNICAL COLLEGE","1100 9TH AVE","BESSEMER","AL","35021","JEFFERSON","73","1","5","W BAILEY","PRESIDENT","2054286391","2054286391","2054286391","-1","797414224","00570400","1","-2","4","1","11231998","4","2","1","1","3","1","2","2","40","37","0","0","0","2","2","2","2","40","3","A","-2","-2"
"100928","1","3","4","-2","-2","1","1","-2","BIRMINGHAM SCHOOL OF LAW","823 FRANK NELSON BLDG 205 N 20TH","BIRMINGHAM","AL","35203","BIRMINGHAM","73","1","5","DONNA MADISON","ASSISTANT DEAN","2053226122","-1","2053226122","-1","-3","-2","6","-2","-2","-2","-2","3","1","3","2","-2","2","2","1","1","-3","-3","-3","-3","2","2","2","2","-2","1","A","-2","-2"
"204820","1","1","1","-2","-2","-2","1","-2","OHIO UNIVERSITY-CHILLICOTHE BRANCH","571 W FIFTH ST","CHILLICOTHE","OH","45601","ROSS","141","39","3","DELBERT MEYER","DEAN","6147759500","6147759500","6147759500","-1","-3","00310005","1","-2","4","1","01131999","1","1","1","1","7","1","1","2","20","2","1","0","1","2","2","2","2","40","6","A","-2","-2"
"204839","1","1","1","-2","-2","-2","1","-2","OHIO UNIVERSITY-SOUTHERN CAMPUS","1804 LIBERTY AVE","IRONTON","OH","45638","LAWRENCE","87","39","3","BILL DINGUS","DEAN","6145329021","6145329021","6145329021","-1","-3","00310004","1","-2","4","1","01131999","1","1","1","1","7","1","1","2","20","2","0","0","0","2","2","2","2","-2","4","A","-2","-2"
