school,year_of_pub,acceptance_rate,top10pct,alumni_giving_rate,top25pct,usnews_score,usnews_academic_rep_old,sat_act_25_75,avg_sat_act,usnews_academic_rep_new
Arizona State U.,1989,78,23,,,,,,,
Auburn U.,1989,84,28,,,,,,,
Ball State U.,1989,91,13,,,,,,,
Baylor U,1989,86,39,,,,,,,
Boston College,1989,33,83,,,,,,,
Bowling Green State U.,1989,69,20,,,,,,,
Brigham Young U.,1989,81,,,,,,,,
Clemson U.,1989,69,33,,,,,,,
Colorado State U.,1989,61,18,,,,,,,
Duke U.,1989,23,93,,,,,,,
Florida Atlantic U.,1989,,,,,,,,,
Florida Inst. Of Tech,1989,71,30,,,,,,,
Florida State U.,1989,59,,,,,,,,
Georgia Inst. Of Tech,1989,66,75,,,,,,,
Washington State U.,1989,88,8,,,,,,,
West Virginia U.,1989,84,,,,,,,,
Western Michigan U.,1989,73,20,,,,,,,
SUNY Buffalo State College,1989,56,,,40,,,,,
Arkansas State U.,1989,91,,,,,,,,
East Carolina U.,1989,82,,,31,,,,,
Florida Int. U.,1989,45,,,77,,,,,
Wake Forest U.,1989,34,,,86,,,,,
Central Michigan U.,1989,70,,,50,,,,,
San Diego State U.,1989,73,,,,,,,,
Georgia Inst. Of Tech.,1990,65,80,,,,,,,
Penn State U. at Univ. Park,1990,44,53,,,,,,,
Purdue U. at West Lafayette,1990,77,59,,,,,,,
Rutgers State U. at New Brunswick,1990,52,44,,,,,,,
Tulane U.,1990,70,37,,,,,,,
U. of Georgia,1990,69,52,,,,,,,
U. of Illinois at Urbana,1990,65,64,,,,,,,
U. of Miami,1990,57,42,,,,,,,
U. of Notre Dame,1990,34,81,,,,,,,
U. of Southern California,1990,74,40,,,,,,,
U. of Washington,1990,65,50,,,,,,,
U. of Wisconsin at Madison,1990,72,32,,,,,,,
Vanderbilt U.,1990,58,56,,,,,,,
Virginia Tech,1990,66,35,,,,,,,
Boston College,1990,37,85,,,,,,,
Clemson U.,1990,65,34,,,,,,,
Colorado State U.,1990,59,20,,,,,,,
Florida State U.,1990,54,45,,,,,,,
Indiana U. at Bloomington,1990,75,30,,,,,,,
Iowa State U.,1990,87,28,,,,,,,
Miami U.,1990,65,53,,,,,,,
Michigan State U.,1990,73,31,,,,,,,
North Carolina State U. at Raleigh,1990,61,37,,,,,,,
Ohio State U.,1990,78,25,,,,,,,
Rutgers State U. at Newark,1990,48,28,,,,,,,
SUNY at Buffalo,1990,47,37,,,,,,,
Southern Methodist U. ,1990,61,34,,,,,,,
Syracuse U.,1990,61,27,,,,,,,
Temple U.,1990,67,22,,,,,,,
Texas A&M U. at College Station,1990,85,43,,,,,,,
U. of Alabama at Birmingham,1990,65,,,,,,,,
U. of Texas at Austin,1990,62,52,,,,,,,
U. of Colorado at Boulder,1990,69,33,,,,,,,
U. of Florida,1990,53,,,,,,,,
U. of Iowa,1990,84,24,,,,,,,
U. of Kentucky,1990,69,,,,,,,,
U. of Maryland at College Park,1990,55,24,,,,,,,
U. of Minnesota at Twin Cities,1990,67,25,,,,,,,
U. of Missouri at Columbia,1990,77,29,,,,,,,
U. of Pittsburgh at Main Campus,1990,72,27,,,,,,,
U. of Tennessee at Knoxville,1990,79,25,,,,,,,
U. of Utah,1990,90,10,,,,,,,
Washington State U.,1990,88,8,,,,,,,
Arizona State U.,1990,77,23,,,,,,,
Auburn U. Main Campus,1990,85,23,,,,,,,
Baylor U.,1990,88,29,,,,,,,
Bolwing Green State U.,1990,64,22,,,,,,,
Brigham Young U. at Provo,1990,77,35,,,,,,,
Florida Atlantic U.,1990,29,95,,,,,,,
Kansas State U.,1990,83,25,,,,,,,
Mississippi State U.,1990,72,37,,,,,,,
Ohio U.,1990,73,20,,,,,,,
Oklahoma State U.,1990,79,24,,,,,,,
Oregon State U.,1990,85,,,,,,,,
Texas Christian U.,1990,80,28,,,,,,,
U. of Alabama at Tuscaloosa,1990,80,9,,,,,,,
U. of Arizona,1990,79,31,,,,,,,
U. of Arkansas at Fayetteville,1990,98,,,,,,,,
U. of Cincinnati,1990,86,24,,,,,,,
U. of Hawaii at Manoa,1990,72,,,,,,,,
U. of Houston Main Campus,1990,72,32,,,,,,,
U. of Idaho,1990,96,20,,,,,,,
U. of Kansas,1990,71,,,,,,,,
U. of Louisville,1990,68,,,,,,,,
U. of Mississippi,1990,88,20,,,,,,,
U. of Nebraska at Lincoln,1990,84,18,,,,,,,
U. of New Mexico,1990,90,28,,,,,,,
U. of Oklahoma,1990,95,27,,,,,,,
U. of Oregon,1990,73,,,,,,,,
U. of South Carolina at Columbia,1990,79,26,,,,,,,
U. of South Florida,1990,59,,,,,,,,
U. of Tulsa,1990,92,39,,,,,,,
U. of Wyoming,1990,87,28,,,,,,,
UtahState U. ,1990,95,26,,,,,,,
Ball State U.,1990,76,6,,,,,,,
Kent State U.,1990,96,14,,,,,,,
Louisiana Tech U.,1990,100,7,,,,,,,
Middle Tennessee State U.,1990,77,,,,,,,,
New Mexico State U.,1990,91,,,,,,,,
Northern Illinois U.,1990,67,17,,,,,,,
Texas Tech U.,1990,80,,,,,,,,
U. of Akron,1990,79,,,,,,,,
