Private Research/Doctoral / FY2009 																																						
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
	Ops/Academic	Ops/Fac-Staff	Ops/Research 	Ops/Pub Serv	Ops/Libraries 	Ops/Physical	Ops/Student	Ops/Athletics 	Ops/Other Purposes 	Operations		Alumni Participation 	for Current	of Alumni Solicited 	as a Percentage	Record 		"Giving ($,"	Ops: Donors	Ops: Total	Purp: Donors	Purp (PV):	Donors (#) 	(PV): Total	Total 	Per Student 	Total 	Curr Ops/Athletics 	Current Operations	Curr Ops/Athletics 	Current Operations	Ops/Athletics 	Operations 	(2004 and after) 	(2003 and earlier) 	Grandp) - Curr	Grandp) - Curr	Grandp) - Curr
	Divisions 	Comp 		& Ext 		Plant O&M 	Aid 			Total 			Ops. as % of		of Total Giving 			from Details) 	(#) 	Amount ($) 	(#) 	Total Amount		Amount ($) 					Total 		Total 					Ops Solicited	Ops Donors	Ops ($ Details) 
													# of Record 									($) 														(#) 	(#) 	
"Adelphi University (Garden City, NY) "	$0 	$0 	$0 	$0 	$0 	$0 	$0 	$0 	"$70,229 "	"$358,800 "	4.00%	--	2.70%	97.80%	28.00%	"85,382"	"3,456"	"$1,046,445 "	--	--	--	--	--	--	"$458,555 "	"$19,616 "	"$1,292,064 "	$0 	"$505,450 "	$0 	"$186,038 "	$0 	"$1,324,765 "	"$3,742,555 "	"$3,804,985 "	--	--	--
"American University (Washington, DC) "	"$926,577 "	"$1,900 "	"$1,500 "	"$173,556 "	"$52,790 "	$0 	"$202,296 "	"$272,034 "	"$281,231 "	"$2,174,910 "	12.60%	12.50%	11.10%	89.00%	27.10%	"77,092"	"9,717"	"$4,255,928 "	--	--	--	--	--	--	"$1,316,918 "	"$30,764 "	"$620,720 "	"$3,250 "	"$590,720 "	"$14,725 "	"$1,129,213 "	"$410,080 "	"$11,669,346 "	"$15,725,366 "	"$15,725,366 "	--	--	--
"Andrews University (Berrien Springs, MI) "	"$296,485 "	$0 	$763 	"$11,884 "	"$12,974 "	$400 	"$52,601 "	$0 	"$24,184 "	"$665,452 "	7.40%	--	6.80%	41.80%	59.80%	"32,006"	"2,369"	"$1,193,234 "	--	--	--	--	--	--	"$232,784 "	"$19,498 "	"$51,555 "	$0 	"$50,555 "	$0 	"$217,459 "	$0 	"$1,205,497 "	"$1,993,725 "	"$1,993,725 "	--	--	--
"Azusa Pacific University (Azusa, CA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Barry University (Miami Shores, FL) "	"$6,183 "	$0 	$0 	"$1,175 "	$310 	$0 	"$45,884 "	"$1,856 "	"$9,092 "	"$198,411 "	2.70%	2.60%	2.70%	100.00%	6.40%	"40,542"	"1,110"	"$223,145 "	--	--	--	--	--	--	"$984,347 "	"$15,717 "	"$1,334,172 "	"$2,144 "	"$969,240 "	"$50,328 "	"$962,902 "	"$89,976 "	"$2,960,825 "	"$3,504,228 "	"$3,504,228 "	--	--	--
"Baylor University (Waco, TX) "	"$790,654 "	"$89,235 "	"$7,200 "	$50 	"$85,506 "	"$6,330 "	"$429,142 "	"$4,266,617 "	"$442,554 "	"$6,339,649 "	6.10%	7.90%	5.30%	86.70%	48.70%	"133,416"	"8,117"	"$22,792,621 "	"3,221"	"$10,531,782 "	87	"$209,853 "	"3,308"	"$10,741,635 "	"$7,491,880 "	"$34,769 "	"$6,916,959 "	"$93,258 "	"$2,630,608 "	"$1,071,861 "	"$3,043,114 "	"$6,694,696 "	"$18,296,071 "	"$46,807,639 "	"$48,736,631 "	--	--	--
"Biola University (La Mirada, CA) "	"$121,326 "	$97 	"$12,376 "	"$90,806 "	"$28,331 "	$0 	"$101,159 "	"$47,658 "	"$161,217 "	"$942,501 "	6.90%	--	6.60%	88.50%	14.40%	"41,894"	"2,901"	"$1,251,189 "	0	$0 	0	$0 	0	$0 	"$1,360,365 "	"$15,756 "	"$1,077,750 "	"$2,422 "	"$496,624 "	"$146,492 "	"$459,243 "	"$383,627 "	"$4,824,008 "	"$8,678,748 "	"$8,907,937 "	--	--	--
