Public Research/Doctoral / FY1999 																																						
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
	Ops/Academic	Ops/Fac-Staff	Ops/Research 	Ops/Pub Serv	Ops/Libraries 	Ops/Physical	Ops/Student	Ops/Athletics 	Ops/Other Purposes 	Operations		Alumni Participation 	for Current	of Alumni Solicited 	as a Percentage	Record 		"Giving ($,"	Ops: Donors	Ops: Total	Purp: Donors	Purp (PV):	Donors (#) 	(PV): Total	Total 	Per Student 	Total 	Curr Ops/Athletics 	Current Operations	Curr Ops/Athletics 	Current Operations	Ops/Athletics 	Operations 	(2004 and after) 	(2003 and earlier) 	Grandp) - Curr	Grandp) - Curr	Grandp) - Curr
	Divisions 	Comp 		& Ext 		Plant O&M 	Aid 			Total 			Ops. as % of		of Total Giving 			from Details) 	(#) 	Amount ($) 	(#) 	Total Amount		Amount ($) 					Total 		Total 					Ops Solicited	Ops Donors	Ops ($ Details) 
													# of Record 									($) 														(#) 	(#) 	
"Arizona State University Foundation (Tempe, AZ) "	"$938,664 "	$0 	$10 	$0 	"$5,751 "	$0 	"$147,086 "	"$744,780 "	"$507,271 "	"$2,393,860 "	7.10%	--	6.90%	87.40%	--	"216,078"	"15,382"	"$7,163,030 "	"2,445"	"$1,675,620 "	6	--	"2,451"	--	"$24,728,900 "	"$13,123 "	"$6,135,240 "	"$171,790 "	"$3,822,100 "	"$314,789 "	"$15,341,500 "	"$1,675,620 "	"$24,909,900 "	--	"$46,609,800 "	--	--	--
"Auburn University (Auburn, AL) "	"$2,087,520 "	"$8,886 "	"$105,310 "	"$86,282 "	"$88,043 "	$75 	"$1,930,700 "	"$2,582,540 "	"$88,690 "	"$7,065,570 "	11.50%	11.90%	11.20%	78.80%	--	"158,385"	"18,203"	"$15,858,700 "	"7,709"	"$5,263,420 "	43	--	"7,752"	--	"$10,120,400 "	"$17,796 "	"$3,174,210 "	"$12,164 "	"$1,412,340 "	"$1,369,500 "	"$6,904,700 "	"$5,263,420 "	"$19,376,800 "	--	"$37,911,100 "	--	--	--
"Ball State University (Muncie, IN) "	"$332,561 "	"$5,930 "	"$1,827 "	"$271,628 "	"$14,611 "	$0 	"$81,179 "	"$258,422 "	"$167,040 "	"$1,704,880 "	19.20%	--	16.50%	99.20%	--	"110,076"	"21,175"	"$3,021,170 "	"2,667"	"$484,843 "	33	--	"2,700"	--	"$1,929,220 "	"$12,718 "	"$3,917,120 "	"$4,650 "	"$3,615,840 "	"$83,584 "	"$1,741,110 "	"$484,843 "	"$10,735,600 "	--	"$15,088,000 "	--	--	--
"Bowling Green State University (Bowling Green, OH) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"California State Univ., San Diego (San Diego, CA) "	"$413,635 "	$891 	"$1,418 "	"$1,070 "	"$23,549 "	$650 	"$33,734 "	"$20,956 "	"$98,258 "	"$641,560 "	5.00%	5.00%	4.90%	64.80%	--	"171,345"	"8,641"	"$1,052,300 "	"2,704"	"$1,816,460 "	9	--	"2,713"	--	"$5,103,040 "	"$12,804 "	"$4,092,000 "	"$17,900 "	"$3,816,390 "	"$752,406 "	"$4,381,680 "	"$1,816,460 "	"$20,168,200 "	--	"$32,255,900 "	--	--	--
"Central Michigan University (Mt. Pleasant, MI) "	"$238,649 "	$0 	"$7,905 "	"$156,882 "	"$7,213 "	"$2,409 "	"$28,137 "	"$283,055 "	"$160,184 "	"$1,020,220 "	11.20%	12.80%	9.50%	69.30%	--	"117,691"	"13,189"	"$2,026,890 "	"1,734"	"$531,499 "	126	--	"1,860"	--	"$1,335,250 "	"$9,650 "	"$484,867 "	$0 	"$150,100 "	"$141,849 "	"$1,048,310 "	"$527,000 "	"$3,544,250 "	--	"$5,633,610 "	--	--	--
"Clemson University (Clemson, SC) "	"$108,843 "	$0 	$0 	$0 	$0 	$0 	$0 	$0 	"$928,003 "	"$1,500,940 "	16.60%	--	13.60%	100.00%	--	"78,533"	"13,019"	"$12,021,400 "	--	"$6,962,450 "	--	--	--	--	"$7,962,800 "	"$23,696 "	"$2,597,710 "	$0 	"$1,511,870 "	$0 	"$3,636,050 "	$0 	"$14,779,400 "	--	"$33,313,900 "	--	--	--
