School,Year,Total Support,Alumni,Others,Foundations,Corporations and Businesses,Total No. of Alumni of Record,No. of Alumni Solicited,No. of Alumni Donors
"Arizona State University Foundation (Tempe, AZ) ",1990,25712211,973140,6594027,4928467,8911560,0,0,0
"Arizona State University Foundation (Tempe, AZ) ",1991,22503925,830427,6526392,3292383,7281847,133375,79085,11271
"Arizona State University Foundation (Tempe, AZ) ",1992,27301563,773012,8412554,4466182,10386736,140493,70650,9891
"Arizona State University Foundation (Tempe, AZ) ",1993,28397050,744751,7780560,5217628,11452594,142872,,7204
"Arizona State University Foundation (Tempe, AZ) ",1995,31904,1082,7309,7295,12716,163399,163399,7595
"Arizona State University Foundation (Tempe, AZ) ",1996,37647,1469,9881,5898,12409,168961,127389,9690
"Arizona State University Foundation (Tempe, AZ) ",1997,40154,2684,8196,5215,18883,170219,86473,14066
"Arizona State University Foundation (Tempe, AZ) ",1998,50537,8931,9083,11265,17488,205789,184210,19105
"Arkansas State University (State University, AR) ",1990,1171097,322773,308632,123974,366997,33830,33830,2897
"Arkansas State University (State University, AR) ",1991,1669450,226059,639910,59365,141480,35000,35000,2805
"Arkansas State University (State University, AR) ",1992,1705856,474911,358261,21461,840770,35878,35878,2680
"Arkansas State University (State University, AR) ",1993,2062528,447822,382547,6053,1101854,37341,37341,3786
"Arkansas State University (State University, AR) ",1995,2684,742,306,151,560,38008,38008,4704
"Arkansas State University (State University, AR) ",1996,2864,677,536,478,1161,41188,41188,5255
"Arkansas State University (State University, AR) ",1997,,,,,,,,
"Arkansas State University (State University, AR) ",1998,,,,,,,,
"Auburn University (Auburn, AL) ",1990,15389135,6196244,1145316,1125670,4342918,121120,105231,24142
"Auburn University (Auburn, AL) ",1991,15286541,5148130,1669834,1259664,4646019,124282,117887,27063
"Auburn University (Auburn, AL) ",1992,24149475,6573888,2761181,1361814,10700386,128605,116764,28367
"Auburn University (Auburn, AL) ",1993,16851023,4604443,2671114,1630574,6229398,147553,131881,16334
"Auburn University (Auburn, AL) ",1995,22312,8650,4280,2579,5699,135074,120000,22811
"Auburn University (Auburn, AL) ",1996,28856,10334,6667,1936,8283,155827,138428,24467
"Auburn University (Auburn, AL) ",1997,27636,9996,3786,2363,9485,159430,142458,24318
"Auburn University (Auburn, AL) ",1998,36002,14405,9048,2359,8803,165076,161218,21228
"Ball State University (Muncie, IN) ",1990,8792549,3201427,1298411,1783216,1240000,90821,74037,18231
"Ball State University (Muncie, IN) ",1991,10918510,2260742,1787266,2275194,3303920,103889,95644,18759
"Ball State University (Muncie, IN) ",1992,11761707,2703693,2034871,2778032,3199247,98162,98162,18715
"Ball State University (Muncie, IN) ",1993,13241460,2935519,3884111,3124104,2362473,97752,97752,21489
"Ball State University (Muncie, IN) ",1995,12607,2297,722,1897,4888,105533,84426,20569
"Ball State University (Muncie, IN) ",1996,9611,2272,986,2277,1935,105533,82830,19533
"Ball State University (Muncie, IN) ",1997,11833,2643,1011,3425,1687,108050,91451,19511
"Ball State University (Muncie, IN) ",1998,19146,3571,5728,5496,2246,111520,111520,22107
"Baylor University (Waco, TX) ",1990,22965020,8165209,2132653,4137522,1492732,61186,50891,6878
"Baylor University (Waco, TX) ",1991,23915585,9963839,3595846,5757620,1667426,60481,49000,6560
"Baylor University (Waco, TX) ",1992,26107614,8104855,5320876,2323885,1643245,65547,45000,6423
"Baylor University (Waco, TX) ",1993,18932321,6449315,1891397,3446094,1982376,60913,45000,8049
"Baylor University (Waco, TX) ",1995,23644,7291,3205,1916,1422,77177,65000,18800
"Baylor University (Waco, TX) ",1996,19093,7354,2091,1750,1776,77613,67500,16534
"Baylor University (Waco, TX) ",1997,59173,7794,7778,2163,35141,82761,65059,18671
"Baylor University (Waco, TX) ",1998,34381,16262,3192,4552,1845,83589,83589,10624
