team	teamname	longname	vseteamname
42	Air Force	Air Force Academy	
124	Akron	University of Akron	"University of Akron (Akron, OH) "
51	Alabama	University of Alabama (Tuscaloosa)	"University of Alabama (Tuscaloosa, AL) "
146	Alabama-Birmingham	University of Alabama Birmingham	"University of Alabama at Birmingham (Birmingham, AL) "
83	Arizona	University of Arizona	"University of Arizona (Tucson, AZ) "
112	Arizona State	Airzona State University	"Arizona State University Foundation (Tempe, AZ) "
126	Arkansas	University of Arkansas (in Fayetteville)	"University of Arkansas (Fayetteville, AR) "
75	Arkansas State	Arkansas State University	"Arkansas State University (State University, AR) "
127	Army	United States Military Academy	
84	Auburn	Auburn University	"Auburn University (Auburn, AL) "
86	Ball State	Ball State University	"Ball State University (Muncie, IN) "
88	Baylor	Baylor University	"Baylor University (Waco, TX) "
92	Boise State	Boise State University	"Boise State University (Boise, ID) "
34	Boston College	Boston College	"Boston College (Chestnut Hill, MA) "
85	Bowling Green	Bowling Green State University	"Bowling Green State University (Bowling Green, OH) "
33	Brigham Young	Brigham Young University	
145	Buffalo	State University of New York at Buffalo	"SUNY-Buffalo (Buffalo, NY) "
44	California	"University of California, Berkeley"	"Univ of California, Berkeley (Berkeley, CA) "
142	Central Florida	University of Central Florida	"University of Central Florida (Orlando, FL) "
141	Central Michigan	Central Michigan University	"Central Michigan University (Mt. Pleasant, MI) "
46	Cincinnati	University of Cincinnati	"University of Cincinnati (Cincinnati, OH) "
128	Clemson	Clemson University	"Clemson University (Clemson, SC) "
90	Colorado	University of Colorado at Boulder	"University of Colorado Foundation (Boulder, CO) "
89	Colorado State	Colorado State University	"Colorado State University (Fort Collins, CO) "
144	Connecticut	University of Connecticut	"University of Connecticut Foundation (Storrs, CT) "
95	Duke	Duke University	"Duke University (Durham, NC) "
78	East Carolina	East Carolina University	"East Carolina University (Greenville, NC) "
136	Eastern Michigan	Eastern Michigan University	"Eastern Michigan University (Ypsilanti, MI) "
69	Florida	"University of Florida (Gainesville, Florida)"	"University of Florida (Gainesville, FL) "
221	Florida Atlantic	Florida Atlantic University	"Florida Atlantic University (Boca Raton, FL) "
230	Florida International	Florida International University	"Florida International University (Miami, FL) "
47	Florida State	Florida State University	"Florida State University (Tallahassee, FL) "
109	Fresno State	Fresno State University	"California State Univ., Fresno (Fresno, CA) "
